Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Área do conhecimento CNPq,Tipos de acesso,Tipo de documento,Assuntos em português,Assuntos em inglês,Idioma,Resumo,Link de acesso,Resumo em Português,Resumo em Inglês,Referência Bibliográfica
"Krob, Bruna Emerim",Não informado pela instituição,"Xavier, Regina Célia Lima||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"""Com a condição de servir gratuitamente a mim ou a meus herdeiros"" : alforrias, contratos e experiências de trabalho de libertos (Porto Alegre, 1884 - 1888)",2016,Universidade Federal do Rio Grande do Sul (UFRGS),UFRGS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Escravidão||Abolição da escravatura||Cartas de alforria||Escravos libertos||Lei do ventre livre||Contrato de trabalho||Porto Alegre (RS),Slavery||Manumission||Abolition||Freedom,por,"A presente pesquisa parte da emancipação de escravos ocorrida em 1884 em Porto Alegre – ano que teria havido uma suposta “abolição antecipada” no Rio Grande do Sul, para buscar examinar as experiências de trabalho vividas por libertandos, no período transcorrido entre aquele ano e a abolição da escravidão no Brasil em 1888. O processo emancipacionista em curso no país na segunda metade do século XIX pautava-se pela expectativa de uma abolição gradual, que se fizesse de maneira controlada e com respeito ao direito à propriedade escrava. A Lei de 1871 atendia a estes princípios, tendo alterado as bases do escravismo brasileiro e as condições para a conquista da liberdade. É nesse contexto mais amplo que observamos a estratégia de emancipação através de alforrias condicionadas à prestação de serviços adotada em Porto Alegre e estendida ao restante da província. Analisamos, assim, as alforrias registradas em cartório entre 1884 e 1888, traçando um perfil dos libertandos e examinando as condições sob as quais alcançaram a liberdade. Os resultados a que chegamos foram contrastados com a memória oficial construída em torno da uma suposta antecipação da abolição na província. Tal contraste evidenciou que, além de a estratégia de emancipar através de alforrias condicionais ter significado a imposição de limitações ao gozo da liberdade, a própria quantidade de alforrias mapeadas esteve muito longe de extinguir de fato a escravidão. Por outro lado, ao observar de perto o modo como os libertandos teriam vivenciado o período de cumprimento das condições impostas em suas alforrias, pudemos perceber as tensões em que aqueles sujeitos se viram enredados e as disputas em torno dos diferentes modos de compreender o que deveria ser um liberto sob condições. Houve aqueles que cumpriram com seus contratos de prestação de serviços. No entanto, outros tantos impuseram resistência aos desmandos senhoriais, recusando-se a agir conforme a vontade daqueles. Entre estes dois extremos coube toda sorte de experiências. Nos limites do que lhes permitia o mundo do trabalho e os quadros da liberdade nos quais se inseriam na condição de libertos contratados, pudemos identificar uns ou outros tentando modificar suas condições de vida – de modo mais radical ou mais sutil, deixando transparecer o seu entendimento de que ser um liberto condicional não era o mesmo que ser escravo.",http://hdl.handle.net/10183/148467,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Brusantin, Beatriz de Miranda",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Capitães e Mateus : relações sociais e as culturas festivas e de luta dos trabalhadores dos engenhos da mata norte de Pernambuco (comarca de Nazareth - 1870-1888),2011,Universidade Estadual de Campinas (UNICAMP),UNICAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,"Escravidão - Pernambuco||Escravos - Alforrias||Engenhos - Brasil, Nordeste||Abolicionismo - Brasil||Cavalo-marinho||Teatro||Cultura popular||Slavery - Pernambuco||Slavery - Manumission||Enginery - Brazil, Northeast||Abolitionism - Brazil||Cavalo-Marinho||Theatre||Popular culture",Não informado pela instituição,por,Orientador: Robert Wayne Andrew Slenes,"https://hdl.handle.net/20.500.12733/1615341||BRUSANTIN, Beatriz de Miranda. Capitães e Mateus: relações sociais e as culturas festivas e de luta dos trabalhadores dos engenhos da mata norte de Pernambuco (comarca de Nazareth - 1870-1888). 2011. 511 p. Tese (doutorado) - Universidade Estadual de Campinas, Instituto de Filosofia e Ciências Humanas, Campinas, SP. Disponível em: https://hdl.handle.net/20.500.12733/1615341. Acesso em: 15 mai. 2024.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Palma, Rogério da",Não informado pela instituição,"Truzzi, Oswaldo Mário Serra||Não informado pela instituição",http://lattes.cnpq.br/5005536921435787||Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Liberdade sob tensão: negros e relações interpessoais na São Carlos pós-abolição,2014,Universidade Federal de São Carlos (UFSCAR),UFSCAR,BR,Não informado pela instituição,Programa de Pós-Graduação em Sociologia - PPGS,CIENCIAS HUMANAS::SOCIOLOGIA,openAccess,doctoralThesis,Negros||Escravidão - pós-abolição||Relações humanas||Liberdade||São Carlos (SP),Blacks||Post-abolition||Interpersonal relationships||Freedom||São Carlos,por,"Post-abolition can be conceptualized as a historical moment in which places and social hierarchies built during centuries crumble. Master and slave, essential categories to understand slaveholding societies, don´t make sense anymore in this new social reality. By bringing the promise of freedom for the former captive, abolition established new bases for negotiation and therefore potentiate certain types of conflicts. While some tried to keep, even if under other terms, the old social asymmetries, former slaves sought to assert their new legal and social status of citizen. Through an approach of a variety of documentary sources of the period, this paper aims to demonstrate that interpersonal relationships were a set of interactions in which these political struggles by redefining certain social situations were present. Through of the interpersonal relationships, one can perceive the establishment of new forms of subjection to the black population, which saw their citizenship be precarious by the racialization of social relations characteristic of this time.",https://repositorio.ufscar.br/handle/ufscar/6690,Não informado pela instituição,Não informado pela instituição,"PALMA, Rogério da. Liberdade sob tensão: negros e relações interpessoais na São Carlos pós-abolição. 2014. 258 f. Tese (Doutorado em Ciências Humanas) - Universidade Federal de São Carlos, São Carlos, 2014."
"Sgarbosa, Lívia",Não informado pela instituição,"Nascimento, Manoel Nelito Matheus||Não informado pela instituição",http://lattes.cnpq.br/4486910967478337||Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,O Colégio São Benedito e a escolarização da população negra em Campinas-SP no início do século XX,2018,Universidade Federal de São Carlos (UFSCAR),UFSCAR,Não informado pela instituição,Não informado pela instituição,Programa de Pós-Graduação em Educação - PPGE,CIENCIAS HUMANAS::EDUCACAO,openAccess,masterThesis,Educação de negros||Colégio São Benedito||Pós-abolição||Educação e Irmandades||Francisco José de Oliveira||Benedito Evangelista,Black education||Post-abolition,por,"In the post-abolition period and in the First Republic, the black population was removed from the minimum conditions to integrate into Brazilian society, which underwent major transformations with the goal of developing the nation. There was a great enthusiasm for education, considered as redemptive and capable of removing Brazil from the situation of backwardness caused by the long period of colonial slavery. Defending the expansion of schools and expanding the supply of places did not apply to blacks, who encountered many barriers to access to education. In this context, the Irmandade São Benedito began, at the end of the 19th century, in Campinas, the offer of education for the brothers and their children of the ""men of color"", seeking to fill the vacancies in public schools. With this work, we try to understand how the professor Francisco José de Oliveira constituted and maintained the functioning of the Colégio São Benedito in the period from 1902 to 1936 and the participation of the Colégio São Benedito and the performance of the black professors Francisco José de Oliveira and Benedito Evangelista in the process of emancipation of the black population of Campinas, in the post-abolition period, in the early twentieth century. The Colégio São Benedito closed its doors in 1936, and members found themselves drifting, but the struggle of the educators who were involved in this educational institution, lasted for decades, through a litigation process of reintegration of possession. The work then sought to understand these passages and actions of the educators, and was carried out through bibliographical and documentary research. The historical sources were searched in the Memory Center of UNICAMP (CMU), in the archives of the City Hall and Campinas City Council and in the collection of prof. Benedito Evangelista, with documents from the Colégio São Benedito.",https://repositorio.ufscar.br/handle/ufscar/11302,Não informado pela instituição,Não informado pela instituição,"SGARBOSA, Lívia. O Colégio São Benedito e a escolarização da população negra em Campinas-SP no início do século XX. 2018. Dissertação (Mestrado em Educação) – Universidade Federal de São Carlos, São Carlos, 2018. Disponível em: https://repositorio.ufscar.br/handle/ufscar/11302."
"Alcântara, Mauro Henrique Miranda de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,D. Pedro II e a emancipação dos escravos,2013,Universidade Federal de Mato Grosso (UFMT),UFMT,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,D. Pedro II||Abolição da escravidão||Brasil Império||Falas do trono||Biografias||CNPQ::CIENCIAS HUMANAS::HISTORIA||D. Pedro II||Abolition of slavery||Brazil Empire||Speeches from the throne||Biographies,Não informado pela instituição,por,"When you mention the topic abolition of slavery in Brazil, automatically refers to the figure of the Princess Isabel. Probably for having been responsible for the signing of the ""Áurea"" Law, which extinguished slavery in the country. This relation continued until today. However, it was during the reign of D. Pedro II that we saw the unfolding of the abolitionist process: since the end of the slave trade in 1850 to the signing of that law in 1888. Through biographies about the monarch and discourse analysis of the “Fala do Trono”, we seek to verify their importance in the process that ended the slavery regime and brazilian the projection discourse on this theme. To analyze the dimension of historical process of extinction of slavery in the country, there were readings / analyzes historical works on the topic. Realizing the problematics involving biographical writing, use the reading of Pierre Bourdieu, we pay attention to them. On the other hand, to verify the importance and possibilities of reading this genre, we admitted him in the writings of François Dosse, Giovanni Levi and Philippe Levillain. Regarding the analysis of the discourse of “Fala do Trono”, we seek contributions Michel Pêcheux, Paul Henry, Dominique Maingueneau, Antoine Prost and John R. Searle. We conduct readings / analysis of biographies about the Emperor to visualize how they portrays their relationship about the power and its role in the process that brought an end the enslavement. We found more than forty biographical works on the monarch. However, due to the impossibility of exhausting the analysis of such readings, we decided to pick only the latest and greatest documentary basis. View of this, we performed the reading and analysis of biographies of Roderick J. Barman (Citizen Emperor), Lilia Moritz Schwarcz (The Barbs Emperor), José Murilo de Carvalho (Pedro II), Napoleão Paulo Nogueira da Silva (Pedro II and his destiny) and Lídia Besouchet (Pedro II and the nineteenth century). To better perform the task of analyzing “Falas do Trono”, we divide the analysis into three periods: the period of the adoption of the law has put in the illegal slave trade (1841-1857). Discourses surrounding the approval of the first abolitionist legislation: the Law of the Free Womb (1867-1872). Finally, the speeches of the final period of the abolition of slavery (1883-1889). Visualize the relationship between the Emperor D. Pedro II and the process of abolition of slavery in Brazil, is therefore the object of this work.","ALCÂNTARA, Mauro Henrique Miranda de. D. Pedro II e a emancipação dos escravos. 2013. 165 f. Dissertação (Mestrado em História) - Universidade Federal de Mato Grosso, Instituto de Ciências Humanas e Sociais, Cuiabá, 2013.||http://ri.ufmt.br/handle/1/1389",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"França, Michele Corrêa de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Identidades na perspectiva da educação infantil da Escola Estadual Quilombola Maria de Arruda Muller – Quilombo Abolição/MT,2019,Universidade Federal de Mato Grosso (UFMT),UFMT,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Identidade negra||Identidade quilombola||Educação infantil quilombola||Quilombo abolição||CNPQ::CIENCIAS HUMANAS::EDUCACAO||Black identity||Quilombola identity||Quilombola early childhood education||Quilombo abolition,Não informado pela instituição,por,"This study presents the results of an ethnographic research, complemented by action research, carried out at the Quilombola Maria de Arruda Muller State School, located in the Quilombola Abolição Community, in Santo Antônio de Leverger-MT. Its main objective is to understand how children of Quilombola Kindergarten perceive Quilombo in their identity aspects and what is the perspective of an education for the affirmation of their identity, from the materiality of the curricular proposal for Quilombola School Education in Mato Grosso, as an important educational public policy. Theoretically, this study is supported by Arroyo (2001), Castilho (2011 and 2016), Cuche (1999), Cerisara (1999), Geertz (2008), Hall (2005), Leite (1999; 2005 and 2008), Moura (2001), Munanga (2004; 2009 and 2012), Rosemberg (2003), Silva, Hall and Woodward (2014) and Thiollent (1986). The instruments used for data collection consisted of: participant observation, semi-structured interview, Dolls Test and Image Technique, record in the field notebook, documents and photographs. The results showed the absence of a positive reference for the black and quilombola children, who early suffer and crystallize racial prejudices widespread in the mass communication educational processes that affect them, added to the silence of the implemented pedagogical proposal. Moreover, they demonstrated that the confrontation with this situation is the inclusion of the specificities of Quilombola School Education in the pedagogical proposal of quilombos schools in all stages of Basic Education, in this specific case in Early Childhood Education. The research also revealed that the educational practices that problematize the black and quilombola identities can contribute, in order to subsidize the teaching practice in the systematization of the traditional knowledge that feeds the quilombola school curriculum and that the biggest challenges are related to obtaining material specific didactic, material and financial resources.","FRANÇA, Michele Corrêa de. Identidades na perspectiva da educação infantil da Escola Estadual Quilombola Maria De Arruda Muller – Quilombo Abolição/MT. 2019. 256 f. Dissertação (Mestrado em Educação) - Universidade Federal de Mato Grosso, Instituto de Educação, Cuiabá, 2019.||http://ri.ufmt.br/handle/1/3954",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Oliveira, Franciele Rocha de",http://lattes.cnpq.br/5654643866675205,"Konrad, Diorge Alceno||Não informado pela instituição",http://lattes.cnpq.br/6649023072655942||Não informado pela instituição,"Rosa, Marcus Vinicius de Freitas||Grigio, Ênio||Não informado pela instituição||Não informado pela instituição||Não informado pela instituição",http://lattes.cnpq.br/7600006965100895||http://lattes.cnpq.br/2810630912921242||Não informado pela instituição||Não informado pela instituição||Não informado pela instituição,Dos laços entre José e Innocência: trajetórias de uma família negra entre a escravidão e a liberdade no Rio Grande do Sul,2017,Universidade Federal de Santa Maria (UFSM),UFSM,Brasil,História,Programa de Pós-Graduação em História,CNPQ::CIENCIAS HUMANAS::HISTORIA,openAccess,masterThesis,Pós-abolição||Escravidão||Liberdade||Clubes sociais negros||Operariado||Rio Grande do Sul,Post-abolition||Slavery||Liberty||Black social clubs||Operariate,por,"In order to comprehend the complex process of “transition” between slavery and freedom in Rio Grande do Sul, we’ve reduced our scale of analysis and observed the trajectories of José, that was slaved for about 29 years, in São Leopoldo, and Innocência, a child born within the Ventre Livre period, at the place today known as Rincão de São Pedro, in Santa Maria. In the paths of life in freedom, José and Innocência come together and, in Santa Maria da Boca do Monte, aggregate to the local operariate, start a numerous family, sharing a popular and pheriperal black culture, marked by its struggles in the effectivation of its freedom projects, that also involves the participation and constitution of black societies. Thus, leading us to the comprehension of the Post-Abolition in the city of Santa Maria, revolving questions like the experience of slavery and freedom, territorial questions, housing, constitution of affective bonds, conflicts, professional trajectories and social organizatives. Dialogating with the local history of work, the studies of slavery, freedom and post-abolition, and by the means of the microanalytics practice in our study, involving the period from 1859 to 1936, José, Innocência and its children point to their meanings of liberty in a reality marked by struggleness and social hierquization.",http://repositorio.ufsm.br/handle/1/13470,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Sônego, Márcio Jesus Ferreira",http://lattes.cnpq.br/9955773006989474,"Farinatti, Luís Augusto Ebling||Não informado pela instituição",http://lattes.cnpq.br/1043707938149901||Não informado pela instituição,"Moreira, Paulo Roberto Staudt||Grigio, Ênio||Flores, Mariana Flores da Cunha Thompson||Vargas, Jonas Moreira||Não informado pela instituição",Não informado pela instituição,"O processo de emancipação da escravidão no Brasil meridional (Alegrete, 1871-1911)",2022,Universidade Federal de Santa Maria (UFSM),UFSM,Brasil,História,Programa de Pós-Graduação em História,CNPQ::CIENCIAS HUMANAS::HISTORIA,openAccess,doctoralThesis,Escravidão||Emancipacionismo||Abolição||Pós-abolição||Alegrete (RS),Slavery||Emancipationism||Abolition||Post-abolition,por,"This paper aims to analyze the process of emancipation and abolition of slavery in the municipality of Alegrete (western border of Rio Grande do Sul). The main issue we seek is to understand, through diverse historical sources, what the emancipationist and abolitionist proposals and initiatives were like, as well as the performance of the subjects involved and which sectors and segments participated in this process for the end of slavery in the municipality. Within this universe, we have verified that the antislavery movement was not restricted only to the actions of the political, economic and intellectual elite, but was also built by the actions of the enslaved and freed people themselves, who, through different possibilities and strategies, were protagonists in the overthrow of slavery. Thus, we seek to access the various fronts and forms of resistance developed by the captives in their search for freedom. In this way, our research analyzes and problematizes both the actions of emancipationists and abolitionists as well as the agency of the enslaved. As we advance in the post-abolition period (1888), tracing an overview of the attempts of insertion, conquests of rights, dynamics of sociability and experiences of freedmen and their descendants in the plan of work and daily life, we chose as a time frame the years from 1871 to 1911. The choice of this period is due to the fact that in 1871 the Lei do Ventre Livre (Free Womb Law) was approved, a law that regulated several situations regarding the issue of freedom for slaves in Brazil. The law represented a more incisive interference of the State in slave relations, also allowing slaves to access the provisions of this emancipation legislation in favor of their freedom. The final milestone of 1911 is due to the fact that it was the year of death of Onofre Nunes Quiroga, a former captive, in which we analyze some episodes of his trajectory, from slavery to freedom. In order to do so, we rely on the theoretical framework of the Social History of Slavery, Abolition, and Post-Abolition. The methodology of our study is influenced by Micro-History, mainly in the crossing of sources to reconstitute social trajectories and experiences, also based on the onomastic method, using the name as the conductor of the research. The main sources used were newspapers, letters of pardon, criminal processes, wills, post-mortem inventories, baptism, death and marriage registers, correspondence and reports from the City Council, parliamentary speeches, memorialistic reports, and the list of slave classification to be freed by the emancipation fund. The present study shows that, despite some similarities with the abolitionist movement developed nationally, such as the creation of emancipation and abolitionist clubs and associations, aimed at raising funds for the purchase of freedoms and also the use of the press as an important instrument in the fight against slavery, in Alegrete, the campaign had an emancipationist, moderate and gradual character in its activities, aiming at compensating the masters, through the granting of private freedoms, especially conditional. When the abolition was decreed, not all the freedmen and their descendants left the old properties, because, depending on the context and possibilities, they tried to reaffirm new working conditions and strategies for social mobility.",http://repositorio.ufsm.br/handle/1/27184,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Trindade, Gabriel Garmendia da",http://lattes.cnpq.br/6770358458457650,"Napoli, Ricardo Bins di||Não informado pela instituição",http://lattes.cnpq.br/0018710144049443||Não informado pela instituição,"Nahra, Cinara Maria Leite||Sattler, Janyne||Não informado pela instituição||Não informado pela instituição||Não informado pela instituição",http://lattes.cnpq.br/3185309694904313||http://lattes.cnpq.br/9316851338632064||Não informado pela instituição||Não informado pela instituição||Não informado pela instituição,Animais como pessoas: a abordagem abolicionista de Gary L. Francione,2013,Universidade Federal de Santa Maria (UFSM),UFSM,BR,Filosofia,Programa de Pós-Graduação em Filosofia,CNPQ::CIENCIAS HUMANAS::FILOSOFIA,openAccess,masterThesis,Gary L. Francione||Direitos dos animais||Abordagem abolicionista||Ética,Gary L. Francione||Animal rights||Abolitionist approach||Ethics,por,"The present study addresses the Abolitionist Approach to Animal Rights proposed by the American legal scholar Gary L. Francione. This research aims to discuss three h v w h h : h moral relationship between humans and nonhumans; (B) the property status of nonhuman animals; (C) the philosophical grounding for a moral theory in defense of nonhuman animals based solely on sentience. For doing so, this study not only x h k g q y h h h perspectives of other authors. In view of this, the present dissertation is divided in three chapters. In the first chapter, it will be investigated the issue of the moral relations held between human beings and nonhumans animals. Major emphasis will be placed on the analysis of the d moral schizophrenia the last one was coined by Francione. In the second chapter, it will be detailed the moral and legal status of nonhuman animals as economic resources and its numerous theoretical and practical implications. Other key issues approached in this h h y K h hy defense of animal rights, and a reconstruction of the debate among Francione and Robert Garner on the relation between equal consideration of interests and property. In the third chapter, four major themes will be subject of problematization: (a) the attempts to exclude nonhuman animals from the moral community; (b) the similar-minds theory of the human/nonhuman relationship; (c) the lifeboat dilemma, the harm of death on sentient beings and their interest in continued existence; and (d) the creation of an animal rights moral theory based solely on sentience and the extension of the moral personhood to all sentient nonhuman animals. As a general conclusion, it will be sustained that the extension of moral personhood as well as moral rights to nonhuman animals will lead to the abolition of institutionalized animal exploitation.",http://repositorio.ufsm.br/handle/1/9119,Não informado pela instituição,Não informado pela instituição,"TRINDADE, Gabriel Garmendia da. Animals as persons: Gary L. Francione's abolitionist approach. 2013. 221 f. Dissertação (Mestrado em Filosofia) - Universidade Federal de Santa Maria, Santa Maria, 2013."
"Lima, Taiane Anhanha",http://lattes.cnpq.br/3060956453155800,"Santos, João Manuel Casquinha Malaia||Não informado pela instituição",http://lattes.cnpq.br/9724555442252785||Não informado pela instituição,"Farinatti, Luís Augusto Ebling||Silva, Diana Mendes Machado da||Não informado pela instituição||Não informado pela instituição||Não informado pela instituição",Não informado pela instituição,Clubes negros de futebol em Santa Maria no pós-abolição (1916- 1932),2023,Universidade Federal de Santa Maria (UFSM),UFSM,Brasil,História,Programa de Pós-Graduação em História,CNPQ::CIENCIAS HUMANAS::HISTORIA,openAccess,masterThesis,Clubes negros de futebol||Santa Maria||Pós-abolição||Imprensa negra,Black soccer clubs||Post-abolition||Black press,por,"In this paper, through the investigation of two black soccer teams that existed in Santa MariaRS, the Club Foot Ball 7 de Setembro and Sport Club Rio Branco, the first founded in 1916 and the second being mentioned in the sources in 1920, we seek to understand the post-Abolition context from the point of view of black soccer clubs. Thinking of this sport as a means of social integration, black sociability, but also of protest against racism, we found several references of these black clubs created in cities of Rio Grande do Sul. In the same way, we noticed how common relationships and trips to inter-city games between these teams were. Important research on the post-abolition period and slavery in Santa Maria has been produced in recent years, studies on the trajectories of social and collective subjects, with emphasis on black organizations, which make it possible to understand the various forms of black resistance in the period, but black soccer associations are only found in brief citations or were not the focus of the authors' analysis. Facing the national context of racial segregation in some elite soccer clubs or leagues in the early twentieth century, we tried to understand whether the city fit into this situation or not. Investigating the phenomenon of the creation of these black soccer clubs, besides better understanding the post-Abolition and the ethno-racial relations in the city and in the state, proves relevant because we are listening to the voices of the past, which for a long time were hidden by a traditional historiography, which did not make the agency of these black people visible.",http://repositorio.ufsm.br/handle/1/29639,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
