Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Área do conhecimento CNPq,Tipos de acesso,Tipo de documento,Assuntos em português,Assuntos em inglês,Idioma,Resumo,Link de acesso,Resumo em Português,Resumo em Inglês,Referência Bibliográfica
"Borba, Alessandro Rivellino Oliveira de",Não informado pela instituição,"Nunes, Silvia Balestreri||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Fratura exposta,2017,Universidade Federal do Rio Grande do Sul (UFRGS),UFRGS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Corpo (Teatro)||Performance (Arte)||Dança||Xamanismo : Teatro||Indios yanomamis||Danca : Butoh : Japao,Body||Microbiopolitcs||Dance||Shamanism,por,"A presente dissertação concorda com Marshall Mcluchan quando diz: o meio é a mensagem; seu formato é sitespecifi c e não se dá da forma que não se dá, permitindo o não-ir aos modos convencionais de relação da mesma com as coreografi as preestabelecidas dos viéses fi losófi cos e acadêmicos; a investigação parte dos estudos de Butoh, Filosofi a da Diferença, Performance Art e Antropologia da Performance e nasce do desdobramento da frase de Tadashi Endo: ""eu não danço, eu sou dançado"" no corpo cujo nome em cartório está Alessandro Rivellino. A partir disto a pesquisa se desenvolve entendendo a possibilidade da suspensão da identidade e da habitação de uma perspectiva fl exível e temporária para ela, a fi m de permitir que as forças que atravessam um corpo possam ter mais potência em seus desdobramentos criativos, extáticos, sinestésicos e performáticos, permitindo assim alterações dos estados corporais, relacionando-se com os sistemas de controle internos e externos, panopticons e senhores de engenho. A pesquisa é daquilo que não pode ser dito, ou seja, o invisível que atravessa um corpo; sendo assim, possui um viés antropológico no que diz respeito aos poderes que regulam o comportamento humano e um viés artístico no que se relaciona com a suspensão ou defasagem do controle cognitivo e voluntário de um artista, dando expressão às forças que lhe atravessam, transviam e infl uenciam, sejam físicas, químicas, xamânicas ou inventadas, com processos indo em direção a criações artísticas e experiências performáticas, nas ruas e fora delas. A pesquisa é um gerúndio. Um devir-pesquisante. Está mais para o microbiopolítico do desejo. O processo pode ser vislumbrado através do blog fraturexposta. blogspot.com. A relação entre arte e vida é mote dos estudos e se você der um abraço em quem ou algo que está próximo de você agora terá vivido um pouco melhor de que se trata.",http://hdl.handle.net/10183/163949,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Gonçalves, Iago Freitas",http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K8961210Y0,"Abumanssur, Edin Sued||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Pentecostalismo xamânico: o modo Terena de ser pentecostal,2018,Pontifícia Universidade Católica de São Paulo (PUC-SP),PUC_SP,Brasil,Faculdade de Ciências Sociais,Programa de Estudos Pós-Graduados em Ciência da Religião,CNPQ::CIENCIAS HUMANAS::SOCIOLOGIA::OUTRAS SOCIOLOGIAS ESPECIFICAS,openAccess,masterThesis,Índios Terena||Pentecostalismo||Xamanismo,Terena Indians||Pentecostalism||Shamanism,por,"The Pentecostal movement became so expressive in the Brazilian religious scene that it reached the natives of Brazil, specifically the Terena people. They are especially in Brazilian Pantanal, in the state of Mato Grosso do Sul. This research will focus on studying the insertion of the Pentecostal movement within the Terena culture, specifically on Moreira village, located in Miranda-MS. On this village, the Pentecostal Christian influence on the Terena people is evidenced when the numbers of churches and the numbers of people that participate of this religious expression is analyzed. There are five churches, three Pentecostal, representing about twenty-five percent of the total population from the village. It is relevant to note that Christian influence is present among the Terena people more than a century and half since the Catolican arrival in the mid-nineteenth century. However, the Terena people kept personal characteristics, as your shamanic practice. Thus, two distinct religious expressions coexists. The focus of this research is the relationship of Shamanism-Pentecostalism based on bibliographic review and field research to investigate the ways that Shamanism and Pentecostalism have been appropriated on this religious field, what has generated a new way of being a Pentecostal, which was denominated as Pentecostalism Shamanic",https://tede2.pucsp.br/handle/handle/21855,Não informado pela instituição,Não informado pela instituição,"Gonçalves, Iago Freitas. Pentecostalismo xamânico: o modo Terena de ser pentecostal. 2018. 103 f. Dissertação (Mestrado em Ciência da Religião) - Programa de Estudos Pós-Graduados em Ciência da Religião, Pontifícia Universidade Católica de São Paulo, São Paulo, 2018."
"Anzolin, André Soares",Não informado pela instituição,"Neumann, Eduardo Santos||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Entre espíritos doentios e doenças do espírito : tupi, jesuítas e as epidemias na América portuguesa (1549-1585)",2013,Universidade Federal do Rio Grande do Sul (UFRGS),UFRGS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,História do Brasil||Brasil colônia : 1500-1822||América portuguesa||Capitanias hereditarias||Missões jesuíticas||Indios tupi-guarani||Xamanismo||Epidemias||Contatos interetnicos||Relações culturais||Brasil,Shamanism||Jesuit mission||Epidemics of contact||Therapeutic practices||Cultural encounter,por,"Esta pesquisa visa analisar algumas das principais implicações causadas pelas epidemias nas interações desenvolvidas entre índios Tupi e jesuítas na América Portuguesa entre os anos de 1549 e 1585. Para isto, buscamos, inicialmente, salientar a influência das interpretações elaboradas sobre as origens dos contágios, tanto para a construção de concepções sobre o “outro” formuladas a partir do encontro, quanto para a criação de diferentes soluções e acomodações concebidas com o intuito de mitigar os efeitos provocados por estes fenômenos. Em seguida, destacamos como as implicações acarretadas por estas medidas de proteção, aliadas as transformações ocasionadas pelas abruptas quedas demográficas, repercutiram nas relações que se estabeleceram entre indígenas e inacianos durante estas pouco mais de três décadas. Deste modo, foi possível relacionar a emergência de diferentes epidemias ao desenvolvimento de aproximações e rupturas nestas interações, e, com isto, sublinhar as consequências drásticas destes surtos nas dinâmicas dos primeiros contatos desenvolvidos entre os Tupi e a missão jesuítica no período quinhentista.",http://hdl.handle.net/10183/88355,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Moura, Noemia dos Santos Pereira",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,O processo de terenização do cristianismo na terra indigena Taunay/Ipegue no seculo XX,2009,Universidade Estadual de Campinas (UNICAMP),UNICAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Historia moderna - Relações interetnicas||Índios Terena - História||Xamanismo||Cristianismo e outras religiões||Mato Grosso do Sul - Política e governo||Modern history - Interethnic relations||Tereno Indians - History||Shamanism||Christianity and other religions||Mato Grosso do Sul - Politics and government,Não informado pela instituição,por,"Orientadores: Robin Michel Wright, Osvaldo Zorzato","https://hdl.handle.net/20.500.12733/1608916||MOURA, Noemia dos Santos Pereira. O processo de terenização do cristianismo na terra indigena Taunay/Ipegue no seculo XX. 2009. 312 p. Tese (doutorado) - Universidade Estadual de Campinas, Instituto de Filosofia e Ciencias Humanas, Campinas, SP. Disponível em: https://hdl.handle.net/20.500.12733/1608916. Acesso em: 15 mai. 2024.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Albuquerque de Moraes, Ana Carolina, 1981-",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"""Sonhos"", de Claudia Andujar : experimentalismo e cosmovisão yanomami = ""Dreams"", by Claudia Andujar: experimentalism and Yanomami cosmovision",2023,Universidade Estadual de Campinas (UNICAMP),UNICAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,"Andujar, Cláudia, 1931-||Índios Yanomami||Xamanismo||Fotografia||Decolonização||Yanomami||Shamanism||Photography||Decoloniality",Não informado pela instituição,por,Orientador: Maria de Fátima Morethy Couto,"https://hdl.handle.net/20.500.12733/14606||ALBUQUERQUE DE MORAES, Ana Carolina. ""Sonhos"", de Claudia Andujar: experimentalismo e cosmovisão yanomami = ""Dreams"", by Claudia Andujar: experimentalism and Yanomami cosmovision. 2023. 1 recurso online (291 p.) Tese (doutorado) - Universidade Estadual de Campinas, Instituto de Artes, Campinas, SP. Disponível em: https://hdl.handle.net/20.500.12733/14606. Acesso em: 15 mai. 2024.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Silveira, Teresa Cristina",Não informado pela instituição,"Cardoso, Marina Denise||Não informado pela instituição",http://lattes.cnpq.br/9673720768173749||Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,“Mbya retxãi Opy tekoaxy mongy'a oa” : a manutenção da saúde Guarani-Mbya na Casa de Reza,2011,Universidade Federal de São Carlos (UFSCAR),UFSCAR,Não informado pela instituição,Não informado pela instituição,Programa de Pós-Graduação em Antropologia Social - PPGAS,CIENCIAS HUMANAS::ANTROPOLOGIA,openAccess,masterThesis,Guarani-Mbya||Manutenção da saúde||Xamanismo,Helth maintenance||Shamanism,por,"This ethnography proposes a reflection on the meaning of the concept of “helth maintenance” among the Guarani-Mbya people who live in the Indigenous Land Ribeirão Silveira, located at the coastal region of the state of São Paulo. From the presentation of the native notion of embodiment, wich is constituted through everyday practies of its manufacture and the rituals performed in Opy (cerimonial House) this work wants to show how the native people understands the Person notion.",https://repositorio.ufscar.br/handle/ufscar/9012,Não informado pela instituição,Não informado pela instituição,"SILVEIRA, Teresa Cristina. “Mbya retxãi Opy tekoaxy mongy'a oa” : a manutenção da saúde Guarani-Mbya na Casa de Reza. 2011. Dissertação (Mestrado em Antropologia Social) – Universidade Federal de São Carlos, São Carlos, 2011. Disponível em: https://repositorio.ufscar.br/handle/ufscar/9012."
"Yokoi, Marcelo",Não informado pela instituição,"Peggion, Edmundo Antonio||Não informado pela instituição",http://lattes.cnpq.br/9849805103860827||Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Na terra, no céu: os Awá-Guajá e os Outros",2014,Universidade Federal de São Carlos (UFSCAR),UFSCAR,BR,Não informado pela instituição,Programa de Pós-Graduação em Antropologia Social - PPGAS,CIENCIAS HUMANAS::ANTROPOLOGIA,openAccess,masterThesis,Antropologia||Brancos||Alteridade||Xamanismo||Política||Aldeias indígenas||Aldeia Awá,Whites||Alterity||Shamanism||Politics||Awá village,por,"Result of a field work among the Awá-Guajá, a Tupi-Guarani speaking people of Eastern Amazon, this dissertation focuses on the various relations of alterity that are currently being lived and experienced with the many powers that act directly and indirectly in Awá life. Are these Others, now approaching or distancing, but always present in some way, whether in speech, in memory or in action. The transformation is constant and the present study attempts to explore some of these developments whose dialogues, multiplied as they are, become essential for us to think about the Awá-Guajá politics. To this end, I go through certain paths that lead us to these agents full of enemies and/or affines: karaí (non-Indians), kamará (other Indians), awá ka a pahara (other Awá) and karawara (celestial beings). Sometimes ambiguous, these Others give the tonality of a ""new indigenous politics whose contours never cease to be problematized.",https://repositorio.ufscar.br/handle/ufscar/234,Não informado pela instituição,Não informado pela instituição,"YOKOI, Marcelo. Na terra, no céu: os Awá-Guajá e os Outros. 2014. 179 f. Dissertação (Mestrado em Ciências Humanas) - Universidade Federal de São Carlos, São Carlos, 2014."
"Ribeiro, João Paulo",Não informado pela instituição,"Martins, Maria Sílvia Cintra||Não informado pela instituição",http://lattes.cnpq.br/9241992645160356||Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Tikanga rikue: as íntimas ligações na tradução de Vidas Secas para língua indígena,2018,Universidade Federal de São Carlos (UFSCAR),UFSCAR,Não informado pela instituição,Não informado pela instituição,Programa de Pós-Graduação em Linguística - PPGL,"LINGUISTICA, LETRAS E ARTES::LINGUISTICA::FISIOLOGIA DA LINGUAGEM",openAccess,masterThesis,Tradução em línguas indígenas||Profética da tradução||Xamanismo||Tradução,Translation in indigenous languages||Prophetic of translation||Shamanism||Translation,por,"The objective of this work is to present a stage of experience in the translation of Vidas secas (RAMOS, [1938] 2015) to the Nheengatu, indigenous language spoken by the Baré, Baniwa and Werekena ethnicities in the Upper Rio Negro. On the interest of translation appeared visions. We name it by prophetic of translation to this experience with worlds. For this translator, the geography of thought will represent a technique of shifts on the meeting places of the worlds in the power of intimate-connections active. It is for a new place that we believe has passed by adopting relations between shamanism and translation.",https://repositorio.ufscar.br/handle/ufscar/9950,Não informado pela instituição,Não informado pela instituição,"RIBEIRO, João Paulo. Tikanga rikue: as íntimas ligações na tradução de Vidas Secas para língua indígena. 2018. Dissertação (Mestrado em Linguística) – Universidade Federal de São Carlos, São Carlos, 2018. Disponível em: https://repositorio.ufscar.br/handle/ufscar/9950."
"Junio Felipe, Henrique",Não informado pela instituição,"Andrello, Geraldo Luciano||Não informado pela instituição",http://lattes.cnpq.br/5447074379881029||Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Falas, lugares e transformação: os Yuhupdeh do baixo rio Tiquié",2018,Universidade Federal de São Carlos (UFSCAR),UFSCAR,Não informado pela instituição,Não informado pela instituição,Programa de Pós-Graduação em Antropologia Social - PPGAS,CIENCIAS HUMANAS::ANTROPOLOGIA::ETNOLOGIA INDIGENA,openAccess,doctoralThesis,Yuhupdeh||Maku||Xamanismo||Paisagem||Território||Noroeste Amazônico,Yuhupdeh||Maku||Shamanism||Landscape||Territory||Amazon Northwest,por,"This thesis corresponds to an ethnography about the yuhupdeh of the lower Tiquié river, a people belonging to the Nadehup (Maku linguistic family, located in the Amazon Northwest. It is sought to retake here the theme of Maku mobility as the guiding thread of the report that develops in the four chapters of the thesis, understanding it as a characteristic of its sociability, its way of inhabiting the world in relation to its production of knowledge about the world itself. As the ethnographic experience reveals, the yuhupdeh perform a broad movement on the axis from the Serra do Bacurau region, at the headwaters of the Igarapé Ira, home of the Yuhupdeh clans, to the city of São Gabriel da Cachoeira and from there, to the Lake (Rio de Janeiro and other major cities of the country) in the written and photographic records of anthropologists and linguists. It is a pendular movement that coincides with the space-time axis upstream of the trip of the canoe snake, but also around which the cosmos and the yuhupdeh social life are organized. In general, we will try to understand the way in which the yuhupdeh relate their own history, from their appearance in mythical time to the present moment where they are increasingly frequent in the city and have their language and narratives conducted even further, to Rio de Janeiro or São Paulo. In fact, it becomes a focus of interest of the analysis to understand the way the yuhupdeh formulate the transformations in that upstream space-time axis, that is, from Milky Lake to the Serra do Bacurau and, conversely, from Serra to Lake.",https://repositorio.ufscar.br/handle/ufscar/10651,Não informado pela instituição,Não informado pela instituição,"JUNIO FELIPE, Henrique. Falas, lugares e transformação: os Yuhupdeh do baixo rio Tiquié. 2018. Tese (Doutorado em Antropologia Social) – Universidade Federal de São Carlos, São Carlos, 2018. Disponível em: https://repositorio.ufscar.br/handle/ufscar/10651."
"Alves, Jessica Martins",Não informado pela instituição,"Silva, Ana Rosa Cloclet da||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Apropriações culturais das práticas xamânicas na contemporaneidade: um estudo dos ritos e significados da cura,2002,Pontifícia Universidade Católica de Campinas (PUC-CAMPINAS),PUC_CAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Xamanismo||Pluralidade religiosa||Religião como técnica||Cura alternativa||Intituto Cristão Filhos da Luz||Shamanism||Religious plurality||Religion as technique||Alternative cure,Não informado pela instituição,por,"Novas formas de afirmar o sagrado vêm se mostrando mais presentes no Brasil contemporâneo. É este o caso observado com o neoxamanismo, num cenário em que o religioso e o secular se reconfiguram de maneiras inéditas, mesclando-se práticas e saberes tradicionais com conteúdos novos, de forma a atender às demandas das sociedades ocidentais. O que orienta a questão central desta pesquisa é, a partir de um estudo de caso – o Instituto Cristão Filhos da Luz - problematizar como as práticas, conteúdos simbólicos e discursivos aí observados, ressignificam elementos do xamanismo ameríndio, com propósitos atuais. Para tanto, a metodologia parte de uma abordagem histórico-cultural do fenômeno religioso, que amparada nos fundamentos da Escola italiana de História das Religiões, investiga de que modo as matrizes americanas do xamanismo, ao serem apropriadas no plano discursivo e na ritualidade, produzem uma realidade simbólico-ritual capaz de criar soluções de cura para as patologias individuais e coletivas da mente, do corpo e da alma. Especificamente, a pesquisa se ampara no ferramental conceitual de Ernesto De Martino, procurando compreender comoo contexto ritualístico abordado, ao criar o que o autor define como um “regime protegido” de práticas mágicas estruturadas, funciona como um lugar de deshistorificação e reelaboração cultural, eficaz na resolução da “crise da presença”, que em traduziria o risco de perda do ser no mundo. No caso estudado, além das técnicas performáticas, será considerado o uso da ayahuasca, substância psicoativa capaz de induzir o estado de dissociação psíquica dos participantes do ritual e sua reconstituição em contexto simbólico, com eficácia na resolução de determinadas dores da existência humana.",http://repositorio.sis.puc-campinas.edu.br/xmlui/handle/123456789/16544,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
