Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Área do conhecimento CNPq,Tipos de acesso,Tipo de documento,Assuntos em português,Assuntos em inglês,Idioma,Resumo,Link de acesso,Resumo em Português,Resumo em Inglês,Referência Bibliográfica
"Silvério, Nirce Aparecida Ferreira",Não informado pela instituição,"Silva, Soeli Maria Schreiber da||Não informado pela instituição",http://lattes.cnpq.br/8794598988783452||Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Argumentação e político em enunciações da escravidão,2018,Universidade Federal de São Carlos (UFSCAR),UFSCAR,Não informado pela instituição,Não informado pela instituição,Programa de Pós-Graduação em Linguística - PPGL,"LINGUISTICA, LETRAS E ARTES::LINGUISTICA::TEORIA E ANALISE LINGUISTICA",openAccess,doctoralThesis,Argumentação||Semântica do acontecimento||Escravidão||Século XIX e atualidade||Político,Argumentation||Semantics of the event||Slavery||19th century and actuality||Political,por,"This thesis develops a semantic study and approaches argumentative movements related to slavery both at the end of the XIX century, as at present. We analyze print and digital media, texts from late 19th century newspapers and texts from current websites. We discuss the hypothesis that: just as there are religious, legal, socio-historical arguments that indicate / guide the end of slavery there are those who prescribe, regulate, justify and perpetuate it. And these arguments are sometimes explicitly immersed in silence that conceals an argumentative orientation and argumentation of permanence (or extinction) of slavery. We also have a sub-hypothesis: a social place of saying argues based on the argumentativeness that is put into operation due to the argumentation and this makes emerge words that produce effects and are exposed to the drift of the senses, which can produce the ( s) anticipated direction (s) or other (s). Some of our questions were: do people allow themselves to be enslaved? How is slavery signified in the argumentative movements and games of sayings in the utterances we analyze? The three clusters we took to analyze: a) the newspaper O Abolicionista, b) the Correio Paulistano newspaper, c) the texts of sites; have led us to different semantic meanings for the word slavery, which, however, have a common background signified by its memorable in relation to the present and futurity. We are based on the semantics of the event, created by the Brazilian researcher Eduardo Guimarães, and with contributions from discourse analysis, in which the argument is studied differently from rhetorical studies and argumentation in the Ducrot language. We explore the argumentation and the political from the enunciative scenes that particularize the space of enunciation and look for designations that indicate games of forces and enunciative processes that inscribe silencings. Thus, we do not only work with the argumentative directives of a speaker to an allocutionary one, but we also seek the positions sustained in the argumentation and the interpretation of the set of enunciative scenes in integration. We then identify: the space of enunciation of the legal validity of slavery in Brazil and the space of enunciation of slavery in the present, in the first, we saw a relation with the space of English enunciation, determining the meanings of slavery, abolition and what words like abolitionist, emancipation and manumission present contradictory meanings that give us other aspects of its functioning; in the second, we see the effects of the memorable of slavery determining the criada, sinhazinha, the designation of contemporary slavery, besides presenting us with a slave in Brazil, which is no longer only the Negro, which is now determined in juridical discourse, excludes processes of silencing of enslavement in the present time.",https://repositorio.ufscar.br/handle/ufscar/10531,Não informado pela instituição,Não informado pela instituição,"SILVÉRIO, Nirce Aparecida Ferreira. Argumentação e político em enunciações da escravidão. 2018. Tese (Doutorado em Linguística) – Universidade Federal de São Carlos, São Carlos, 2018. Disponível em: https://repositorio.ufscar.br/handle/ufscar/10531."
"Garcia, Graciela Bonassa",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Terra, trabalho e propriedade: a estrutura agrária da campanha Rio-grandense nas décadas finais do período imperial (1870-1890)",2010,Universidade Federal Fluminense (UFF),UFF,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Estrutura agrária||Escravidão rural||Cercamento dos campos||Conflitos de terra||Direitos de propriedade||Estrutura agrária||História do Rio Grande do Sul||Escravidão||Demarcação de terra||Estructura agraria||Esclavitud rural||Cercamiento de los campos||Conflictos de tierra||Derechos de propiedad||Land conflicts||Agrarian structure||Land enclosures||Rural slavery||Property rights,Não informado pela instituição,por,"No Brasil a escravidão negra teve um fôlego muito longo, se comparado aos demais países americanos. Diferentes atividades produtivas dependiam da mão-de-obra cativa e esta estava difundida entre todos os grupos sociais. Na atividade pecuária realizada no sul do Brasil isso não foi diferente e na medida que o escravismo entrava em crise era necessário buscar alternativas aos braços escravos que escasseavam. Neste trabalho busca-se investigar a estrutura agrária da Campanha rio-grandense (região localizada na fronteira sul do Brasil) nas duas últimas décadas do regime escravista (1870-1890). Foi justamente na década que antecedeu o fim da escravidão que o processo de cercamento dos campos na região tomou fôlego. Esse será, portanto, um período de profundas transformações na estrutura agrária da região: o fim iminente da escravidão, junta e paralelamente ao início do processo de cercamento dos campos, redefinirá os padrões de trabalho e propriedade vigentes até então. Buscar explicar essas transformações, suas motivações e conseqüências é o objetivo central deste trabalho.",https://app.uff.br/riuff/handle/1/17026||Aluno de Doutorado,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Elias, Roger",Não informado pela instituição,"Osório, Helen||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Ao derramar os santos óleos : propriedade, família e compadrio de escravos em Porto Alegre (1810-1835)",2013,Universidade Federal do Rio Grande do Sul (UFRGS),UFRGS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Escravidão||Escravos||População||Família||Propriedade||Porto Alegre (RS),Slavery||Population||Slave ownership||Family||Compadrio,por,"O presente trabalho de dissertação é um exercício de demografia histórica que examina a população, a configuração dos fogos e a família escrava em Porto Alegre entre 1810 e 1835. Utilizamos fontes primárias de caráter seriado: o rol de confessados de 1814 e os registros de batismo de escravos de 1810 a 1835, ambas alocadas no Arquivo Histórico da Cúria Metropolitana de Porto Alegre (AHCMPA). No contexto das primeiras décadas do século XIX, marcado pelas dinâmicas sociais e econômicas de uma zona de fronteira, a Capitania de São Pedro do Rio Grande do Sul, examinamos a população de Porto Alegre considerando a estrutura da propriedade escrava e a configuração dos fogos. Encontramos um grande percentual de população escrava frente à população total. Esses escravos estavam dispersos em fogos chefiados por homens casados, homens não-casados e mulheres, totalizando quase 2/3 dos fogos de Porto Alegre, o que demonstrava o forte vínculo da capital sulina com a escravidão, no período estudado. Ao procurarmos a família escrava, quer sacramentada quer consensual, investigamos as cores e as origens dos pais e das mães das crianças escravas recém-nascidas batizadas (designadas como crioulos escravos batizados). Constatamos a preferência por uniões endogâmicas, principalmente quanto à cor, mas também quanto à origem. Procuramos relacionar esses parâmetros ao mercado de escravos e pudemos constatar que havia relação entre as variações nos batismos dos cativos e as oscilações do tráfico de escravos. Para isso, também contribuiu a análise das origens, das idades e da razão de masculinidade dos batizados africanos. Finalmente, ao estudarmos as famílias escravas, nos detivemos às possibilidades de acesso ao matrimônio católico por parte dos escravos e às relações de compadrio, em cruzamento com duas variáveis: o tamanho relativo de plantel e a freqüência ao compadrio. Identificamos que a grande maioria dos batizados escravos de Porto Alegre era formada por crianças crioulas naturais, sendo a legitimidade um atributo de menos de 10% dos rebentos batizados. Esses recém-nascidos teriam grandes chances de ter escravos de outros plantéis como padrinhos e madrinhas de seus batizados. Entretanto, esse padrão poderia variar de diferentes formas: o tamanho da escravaria e a freqüência com que um escravo era batizado influenciavam sua legitimidade e, também, a condição jurídica, a cor, a origem e até mesmo a pertinência ou não de seu padrinho e de sua madrinha ao mesmo plantel. Essas condições estavam relacionadas às escolhas dos escravos por firmar relações sociais horizontais ou verticais através do compadrio e também ao grau de influência dos senhores nessas relações. No caso dos africanos, o leque de escolhas parece ter sido menor e a possibilidade do compadrio ser usado como estratégia de administração da mão-de-obra escrava no cativeiro, por parte dos senhores, foi provavelmente maior.",http://hdl.handle.net/10183/132373,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Brizola, Jaqueline Hasan",Não informado pela instituição,"Kühn, Fábio||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Cidades enfermas : epidemias, instituições e sujeitos : Rio de Janeiro e La Habana na época colonial (1758 – 1808)",2022,Universidade Federal do Rio Grande do Sul (UFRGS),UFRGS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Epidemias||Quarentena||Portos||Escravos||Médicos||Inoculacao||Vacinação,Epidemics||Quarantines||Ports||Slaves||Doctors||Inoculation||Vaccination||18th and 19th centuries,por,"Cette thèse de doctorat vise à étudier les mécanismes de contrôle des épidémies dans deux villes portuaires du continent américain entre le XVIIIe et le début du XIXe siècle, Rio de Janeiro et La Havane. En comparant la documentation préparée par les agents des Empires espagnol et portugais ou par les médecins qui ont travaillé à Cuba et au Brésil, on peut observer un scénario de maladies épidémiques incontrôlées comme la variole ou la fièvre jaune, ainsi que l'existence d'actions visant à ""prévenir"" les maladies dans les ports des deux villes. Ces mesures, cependant, ne garantissaient pas toujours les conditions de protection des sujets qui vivaient dans ces lieux puisqu'elles s'adressaient à une partie de la population, principalement des Africains réduits en esclavage et récemment arrivés sur le continent, tandis que d'autres groupes circulaient librement ou n'étaient pas soumis à des quarantaines. Les déplacements d'hommes liés à l'activité militaire se sont également avérés déterminants pour le développement des épidémies de la période étudiée, comme celle qui s'est produite à La Havane en 1762, lors du conflit entre les Anglais et les Espagnols pour la possession de l'île. Enfin, les actions de lutte contre la variole, à une époque antérieure à la découverte du vaccin et dans les premières années d'application de la prévention, ont démontré que les esclaves étaient parmi les sujets les plus vaccinés à Cuba, en plus d'avoir rendu possible les premières stratégies de vaccination au Brésil.",http://hdl.handle.net/10183/255357,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Alphonse, Fritznel",Não informado pela instituição,"Macedo, José Rivair||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Racismo, xenofobia e exploração de mão de obra haitiana no Brasil : 2011-2019",2022,Universidade Federal do Rio Grande do Sul (UFRGS),UFRGS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Racismo||Migrantes||Migração internacional||Discriminação||Xenofobia||Trabalho escravo||Discriminação racial||Haitianos,International migration||Haitian migrants||Racism||Racial discrimination||Xenophobia||Slavery||Haitian black women,por,"Cette thèse de doctorat discute l'exploitation de la main-d’œuvre des migrants haïtiens dans le marché du travail brésilien, le racisme et la xénophobie qu´ont souffert les migrants haïtiens à travers le processus migratoire au Brésil de 2010 à 2019. Pour cela, nous analyserons :1) l`opérationnalisation du racisme, de la xénophobie et l'exploration de cette main d´œuvre dans le marché du travail brésilien ; 2) les types d´occupations et les attentes de ces ouvriers au Brésil dans cette période ; 3) les rapports existants entre le racisme, la xénophobie et l'exploitation de ses migrants dans le cadre de l'expansion du système capitaliste ; 4) les impacts considérables du racisme, de la xénophobie et de l'exploitation dans la vie de ces sujets au Brésil. La thèse problématise les formes dont le racisme et la xénophobie sont manifestées à travers l’exploitation des ouvriers haïtiens dans le marché du travail brésilien dans cette période. L'hypothèse centrale de cette thèse est que le racisme et la xénophobie sont des marques fondamentales d'un nouveau système de l'esclavage brésilien de 1822 à 1888, et de politique publique migratrice très sélective a rendu effectif en parallèle au lent processus d'abolition du système d'esclavage au Brésil depuis 1888 (HASENBALG, 1979). À partir de l´usage de marques lié à classe, race, couleur (GUIMARÃES, 2017), pays d'origine, croyance liée à la religion du vodou et la condition de l'admission ou type du visa dans le moment de l'immigration de noir et pauvres haïtiens, cultive le concept de néo-racisme. La thèse a été développée avec le soutien d'analyse de base qualitative et quantitative qui s’opère dans une perspective socio-historique et il a recours à l'usage de sources documentaires et les données officielles du gouvernement fédéral brésilien, productions académiques et autres matériels aussi bien que les documents et données non officielles dans les cas des entrevues présentiels réalisées avec les migrantes haïtiens (nes) dans les villes de Sorocaba, Belo Horizonte et Caxias du Sud parmi les années de 2018 et 2019.",http://hdl.handle.net/10183/258011,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Pinto, Larissa Chaves",Não informado pela instituição,"Chaves, Edneila Rodrigues||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Escravid?o e Cotidiano: as experi?ncias de escravizados na pr?tica de atos criminalizados, Diamantina - Minas Gerais (1850-1888)",2022,Universidade Federal dos Vales do Jequitinhonha e Mucuri (UFVJM),UFVJM,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Não informado pela instituição,Não informado pela instituição,por,O presente trabalho foi realizado com apoio da Coordena??o de Aperfei?oamento de Pessoal de N?vel Superior - Brasil (CAPES) - C?digo de Financiamento 001.,http://acervo.ufvjm.edu.br/jspui/handle/1/3183,Não informado pela instituição,Não informado pela instituição,"PINTO, Larissa Chaves. Escravid?o e Cotidiano: as experi?ncias de escravizados na pr?tica de atos criminalizados, Diamantina - Minas Gerais (1850-1888). 2022. 129 p. Disserta??o (Mestrado em Estudos Rurais) ? Programa de P?s-Gradua??o em Estudos Rurais, Universidade Federal dos Vales do Jequitinhonha e Mucuri, Diamantina, 2022."
"Martins, Antonio Marco Ventura",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Escravidão e Estado: entre princípios e necessidades, São Paulo (1835-1871)",2019,Universidade Estadual Paulista (UNESP),UNESP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Escravidão||Estado||Política||Tráfico negreiro||Imigração||Província de São Paulo||Slavery||State||Politics||Slave traffic||Immigration||Province of São Paulo||Esclavage||Etat||Politique||Trafic Negreiro||L'immigration||Province de São Paulo,Não informado pela instituição,por,"A necessidade de atender à crescente demanda por braços na economia paulista do século XIX constituiu-se em uma dinâmica que exigiu dos envolvidos a elaboração de estratégias para a manutenção e redefinição do tráfico negreiro e da escravidão na província, as quais incluíram a conformação de um delicado jogo político ocorrido no momento em que o, ainda, jovem Estado brasileiro encontrava-se em construção. Assim, a presente pesquisa tem por objetivo analisar a complexa relação do binômio Escravidão e Estado a partir da óptica provincial paulista, no período compreendido entre os anos de 1835 e 1871. O ano de 1835 é fundamental por dois motivos: o início do funcionamento da assembleia legislativa provincial e a intensificação do tráfico transatlântico de escravos africanos para São Paulo. O ano de 1871, como baliza final, justifica-se pela promulgação da Lei do Elemento Servil e pelas consequências que tal legislação representou, em âmbito provincial, para o binômio escravidão e Estado. O corpus documental da pesquisa é composto por registros oficiais produzidos pelos governos da província paulista, pelo governo central do Brasil Império e pela Grã-Bretanha, os quais foram compulsados em arquivos nacionais, principalmente no Arquivo Público do Estado de São Paulo, e internacionais, especificamente no The National Archives, Londres. Toma-se por hipótese, que a escravidão, então renovada, se tornou cada vez mais central como elemento definidor das esferas econômica e social na província paulista, o que gerou uma articulação política que se refletiu na organização da própria dinâmica do poder provincial e na atuação de seus representantes nas diversas esferas de poder do cenário político nacional. Espera-se que o presente estudo possa contribuir com o avanço na compreensão de como a escravidão, já em uma fase de ilegalidade formal, foi intensificada em São Paulo, à medida que a econômica paulista se expandiu em decorrência dos desdobramentos do mercado mundial oitocentista. Ao recompor, a partir da óptica provincial, esse intrincado processo, o trabalho ainda coloca em questão binômios consagrados na historiografia tais como: Grã-Bretanha e abolição, escravidão e imigração, conservadores e liberais, dentre outros.",http://hdl.handle.net/11449/182313||000917692||33004072013P0||6899226322073487||0000-0002-6243-0968,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Chavez, Luciana",Não informado pela instituição,"Ferreira, Lúcio Menezes||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"De lugares y objetos: la diáspora africana en la ciudad de San Miguel de Tucumán, Norte de Argentina.",2017,Universidade Federal de Pelotas (UFPEL),UFPEL,Brasil,Instituto de Ciências Humanas,Programa de Pós-Graduação em Memória Social e Patrimônio Cultural,CNPQ::CIENCIAS HUMANAS,openAccess,masterThesis,Patrimonio||Visibilización||Esclavos||Afroargentino||Cultural heritage||Visibility||Slaves||Afro-Argentines||Patrimônio||Visibilidade||Escravos||Afroargentinos,Não informado pela instituição,por,"La presencia de esclavos africanos en la Argentina continúa siendo un tema en discusión y elaboración. Negada, silenciada y en el mejor de los casos minimizada dentro de los discursos oficiales de la configuración de la identidad nacional, esta ausencia fue tal que la misma se trasladó y arraigó hasta en la propia memoria e imaginario colectivo de los argentinos. En los últimos años han surgido diversos estudios académicos motivados a reivindicar la historia acerca de la presencia de los afroargentinos así como la incidencia e importancia que los mismos tuvieron en los diferentes procesos históricos del país. Dentro de este contexto se sitúa esta investigación, la cual busca formar parte del proceso de re significación del pasado africano en la argentina visibilizando la presencia y relevancia de la población de esclavos africanos, a partir del reconocimiento e interpretación de parte de su legado material como constitutivos del patrimonio cultural afroargentino. Siendo el locus de nuestra discusión la ciudad de San Miguel de Tucumán, ubicada en el noroeste de Argentina. De esta manera, y a partir de los aportes teóricos- metodológicos de los estudios de la diáspora africana, el trabajo se plantea a partir de tres líneas de materialidad: documentos históricos, lugares y cultura material. Cada una de ellas van a aportar, en sus especificidades y generalidades, diferentes perspectivas a partir de las cuales la población de esclavos africanos se hace evidente en el pasado de la ciudad.",http://guaiaca.ufpel.edu.br/handle/prefix/5457,Não informado pela instituição,Não informado pela instituição,"CHAVEZ, Luciana. De lugares y objetos: la diáspora africana en la ciudad de San Miguel de Tucumán, Norte de Argentina. 2017. 153 f. Dissertação (Mestrado em Memória Social e Patrimônio Cultural) - Programa de Pós-Graduação em Memória Social e Patrimônio Cultural. Instituto de Ciências Humanas, Universidade Federal de Pelotas, Pelotas, 2017."
"Barbosa, Keith Valéria de Oliveira",Não informado pela instituição,"Fonseca, Maria Rachel de Gomensoro Fróes da||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Escravidão, saúde e doenças nas plantations cafeeiras do Vale do Paraíba Fluminense, Cantagalo (1815-1888)",2014,Fundação Oswaldo Cruz (FIOCRUZ),FIOCRUZ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Não informado pela instituição,Não informado pela instituição,por,"O presente estudo analisa a experiência escrava relativa à saúde e à doença em uma importante região de plantation cafeeira do Vale do Paraíba fluminense, a região de Cantagalo, entre os anos 1815 e 1888. Por meio de diversos ângulos, muitos pesquisadores debruçaram-se sobre as múltiplas características dos universos sociais escravistas em variados contextos atlânticos, examinando o cotidiano daqueles escravos, seus arranjos familiares e suas sociabilidades diversas. Os debates sobre a saúde e as causas das doenças dos cativos têm se constituído como objeto de estudos de pesquisadores de diferentes campos de conhecimento, revelando novas perspectivas a respeito de historicidades muito mais complexas do que até então se entendia. Com a análise das doenças e das condições de saúde dos cativos que viviam nas referidas plantations, pretendemos examinar suas experiências como enfermos e as respectivas ações dos senhores acionadas para o seu tratamento. Por meio da análise dos processos de inventários post-mortem e de outros envolvendo a cobrança de honorários médicos, além de manuais e relatórios médicos, investiga-se o conjunto de conhecimentos produzidos, sistematizados e disponibilizados para os cuidados da população escrava inserida em um cenário social de rápida expansão da economia cafeeira, que se caracterizou pelo crescimento demográfico e o incremento do tráfico atlântico de africanos. Nesse sentido, mundos da escravidão são revelados nessa importante paisagem social do Rio de Janeiro imperial, de cujas mudanças o trabalho escravo era peça-chave, permeando as experiências e as relações sociais tecidas entre esses trabalhadores e seus senhores.",https://www.arca.fiocruz.br/handle/icict/16231,Não informado pela instituição,Não informado pela instituição,"BARBOSA, Keith Valéria de Oliveira. Escravidão, saúde e doenças nas plantations cafeeiras do Vale do Paraíba Fluminense, Cantagalo (1815-1888). Tese (Doutorado em História das Ciências e da Saúde) - Casa de Oswaldo Cruz / Fiocruz, Rio de Janeiro, 2014. 269 f."
"Lima, Silvio Cezar de Souza",Não informado pela instituição,"Kury, Lorelai Brilhante||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,O corpo escravo como objeto das práticas médicas no Rio de Janeiro (1830-1850),2011,Fundação Oswaldo Cruz (FIOCRUZ),FIOCRUZ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Não informado pela instituição,Não informado pela instituição,por,"A proposta desta tese é mostrar como o contexto social da escravidão influenciou os saberes e práticas médicas nas primeiras décadas do Império brasileiro. A pesquisa dos escritos médicos produzidos entre 1830 e 1850 tornou possível perceber a presença significativa dos escravos no cotidiano daquela profissão ora como pacientes, ora como objeto de estudos. Esta produção textual encarnava o discurso médico do período e era disseminada através de artigos dos periódicos médicos ligados à Academia Imperial de Medicina. A construção deste conhecimento era feita a partir da experiência prática que os estudantes e médicos tinham com os doentes, sobretudo nas enfermarias da Santa Casa de Misericórdia. Assim é possível estabelecer uma ligação entre a escravidão e o aprendizado e treinamento médico a partir do estudo dos textos produzidos no conjunto de instituições responsáveis pela institucionalização da medicina na Corte. Desta forma, é possível defender a hipótese de que em uma sociedade escravista como o Rio de Janeiro, certamente o escravo era objeto de preocupação dos médicos, seja como paciente, seja como objeto de experimentos de novos tratamentos ou para o treinamento dos estudantes de medicina.",https://www.arca.fiocruz.br/handle/icict/16349,Não informado pela instituição,Não informado pela instituição,"LIMA, Silvio Cezar de Souza. O corpo escravo como objeto das práticas médicas no Rio de Janeiro (1830-1850). Tese (Doutorado em História das Ciências e da Saúde) - Casa de Oswaldo Cruz / Fiocruz, Rio de Janeiro, 2011. 208 f."
