Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Área do conhecimento CNPq,Tipos de acesso,Tipo de documento,Assuntos em português,Assuntos em inglês,Idioma,Resumo,Link de acesso,Resumo em Português,Resumo em Inglês,Referência Bibliográfica
"Corraini, Stefani Ramos [UNESP]",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"A construção política e social Tupi Guarani: uma visão sobre os povos Tupi Guarani ao longo da história, seus enredos cosmológicos, diferenças e posições entre os subgrupos",2017,Universidade Estadual Paulista (UNESP),UNESP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,colonização||povos Guarani||Tupi-Guarani||subgrupos||mistura||Guaraní||Tupí-Guaraní||colonización,Não informado pela instituição,por,"Desde o advento da colonização, com a chegada à América do Sul, portugueses e espanhóis impuseram suas cosmovisões em desrespeito para com as cosmologias de outros povos que ali habitavam originalmente. Isto porque instituíram a legalidade da escravização indígena, cuidaram de evangelizar os índios nos padrões europeus, e trouxeram doenças que terminaram por dizimar muitas dos povos originários em função da desestabilização ocasionada da chegada colonial. O que se evidencia é que, apesar dessas ações terem se pretendido a erradicar as concepções indígenas por completo, elas continuaram a resistir religiosa e cosmologicamente enquanto incisiva diferença às construções ocidentais, demonstrando a excelência de suas alteridades e resistências diante de todos os impulsos destrutivos que lhes foram transmitidos historicamente. O presente trabalho busca contextualizar os povos Tupi Guarani enquanto subgrupo Guarani e enquanto resistência mediante as imposições coloniais. Com base nas teses, trabalhos acadêmicos e dissertações consultadas verificar as reivindicações de identidade desses povos a partir da posição dos subgrupos que faz coesa suas preocupações de se manterem fiéis às inaugurações cosmológicas que lhes são particulares ao mesmo tempo em que criam estratégias possíveis de convivência e sobrevivência em um mundo povoado por pessoas não Guarani.",http://hdl.handle.net/11449/153963||000901677||33004030017P7,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Silva, Karine Dourado",Não informado pela instituição,"Praça, Walkíria Neiva||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,A funcionalidade do sufixo -a em línguas Tupí-Guaraní,2016,Universidade de Brasília (UnB),UNB,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Não informado pela instituição,Não informado pela instituição,por,"Dissertação (mestrado)—Universidade de Brasília, Instituto de Letras, Departamento de Linguística, Português e Línguas Clássicas, Programa de Pós-Graduação em Linguística, 2016.",http://repositorio.unb.br/handle/10482/22121,Não informado pela instituição,Não informado pela instituição,"SILVA, Karine Dourado. A funcionalidade do sufixo -a em línguas Tupí-Guaraní. 2016. xviii, 76 f., il. Dissertação (Mestrado em Linguística)—Universidade de Brasília, Brasília, 2016."
"Andrade, Wildes Souza",Não informado pela instituição,"Silva, Cristhian Teófilo da||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,A construção da nação guarani pela Asamblea del Pueblo Guaraní a partir da comemoração do massacre de Kuruyuki,2014,Universidade de Brasília (UnB),UNB,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Não informado pela instituição,Não informado pela instituição,por,"Dissertação (mestrado)—Universidade de Brasília, Instituto de Ciências Sociais, Centro de Pesquisa e Pós-Graduação sobre as Américas, 2014.",http://repositorio.unb.br/handle/10482/17055,Não informado pela instituição,Não informado pela instituição,"ANDRADE, Wildes Souza. A construção da nação guarani pela Asamblea del Pueblo Guaraní a partir da comemoração do massacre de Kuruyuki. 2014. xiv, 115 f., il. Dissertação (Mestrado em Ciências Sociais)—Universidade de Brasília, Brasília, 2014."
"Vieira, Driéli da Silva",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Ñemperỹ Jevy : resgatando tradições, inventando patrimônios",2012,Universidade Estadual de Maringá (UEM),UEM,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Índios Guarani Nhandéva - Dança||Índios Guarani Nhandéva - Canto||Índios Guarani Nhandéva - Narrativas||Índios Guarani Nhandéva - Patrimônio cultural||Ciências Humanas||Sociologia,Não informado pela instituição,por,"The current research was carried out with the Guarani (Nhandéva) from Tekoha Porã in the city of Guaíra, Paraná. The interest in studying this ethnic group originated due to a choir and dance group being formed at that place, as well as the compiling of a book of narratives about the chief of the tekoha?s life. According to the leader, the objective of these measures was to keep this heritage alive for the youth. Then, I started thinking about what the Guarani understood by heritage. Why were dancing, singing and narratives chosen as part of their cultural heritage? What?s the importance of these practices for them? In order to answer these questions, first of all, I searched for bibliographical data by reviewing studies on the Guarani from the colonial period up to the present. Then, I devoted myself to studying about heritage and, at last, through field research aimed to have better understanding of how the Guarani approach dance, singing and narratives","VIEIRA, Driéli da Silva. Ñemperỹ Jevy : resgatando tradições, inventando patrimônios. 2012. 153 f. Dissertação (mestrado em Ciências Sociais) - Universidade Estadual de Maringá, Maringá, 2012.||http://repositorio.uem.br:8080/jspui/handle/1/4687",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Tanger, Jéferson Pereira",Não informado pela instituição,"Menezes, Magali Mendes de||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"O dizer, a temporalidade e a reciprocidade: dimensões de pensamento Mbyá Guarani em diálogo com os fazeres pedagógicos na Tekoá Yvy Poty",2019,Universidade Federal do Rio Grande do Sul (UFRGS),UFRGS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Educação indígena||Interculturalidade||Pensamento||Cosmologia Guarani||Mbyá-guarani,Mbyá Guarani||Interculturality||Pedagogical||Thought||Cosmological,por,"Esta escrita teve sua origem no estar junto dos Mbyá Guarani na Tekoá Yvy Poty, localizada no bairro de Douradilhos em Sertão Santana, nos anos de 2018 e 2019. A caminhada surge na aproximação de algumas dimensões de seus pensamentos a temporalidade, o dizer e a reciprocidade ao mesmo tempo em que eu entrava em contato com seus fazeres pedagógicos. A valorização de aspectos da cosmologia deste povo que se expressa na presentificação do passado, nos dizeres precisos e no fazer coletivo, constituíram minhas motivações iniciais.. Então, passei a me perguntar: como essas dimensões de pensamento emergem no cotidiano Guarani e como permeiam seus fazeres educativos? As percepções destas instâncias de pensamento revelaram-se como elos que permitem nos aproximarmos dos acontecimentos, dos fazeres educativos e das imagens simbólicas Mbyá, nos espaços da aldeia. O estar com os Guarani e a participação em algumas de suas atividades diárias foram registradas em meu caderno de campo e auxiliaram na percepção de sensações e sentimentos constituídos no estar sendo compartilhado e visualizado, através de pensamentos revelados. Momentos em que os Mbyá vivenciavam espontaneamente seu cotidiano e seus saberes historicamente constituídos, gerando cenários compostos por sequencia de imagens e dizeres. Passei a escutar suas traduções cosmológicas e sentir seu modo de educar e estar no mundo. Então um segundo questionamento passou a me instigar: Como essas dimensões de pensamento destacadas e evidenciadas nas imagens gravadas e vivenciadas e na cultura das palavras, geradas nas conversas diárias e consolidadas nos fazeres educativos, podem nos revelar o processo educativo Mbyá? E como podem gerar diálogos e elementos que contribuam para uma pedagogia intercultural? Inicialmente apresento algumas lembranças de minha infância e da adolescência, em bairros populares, onde vivenciei interações interculturais. A partir destas memórias trago imagens e fatos que evidenciam meu convívio com os Guarani e a vivencia de aspectos de sua espiritualidade e cosmologia. Estes saberes que rememoro facilitaram o dialogo e os aprendizados interculturais que são constituídos neste encontro na Yvy Poty. Depois disto, apresento um breve resumo da história deste grupo humano como “povo caminhante”, fazendo referencia a alguns momentos de sua trajetória histórica e dos constantes deslocamentos até se fixarem no sul da América Latina e no Rio Grande do Sul. Em seguida trago as sensações geradas pelas primeiras caminhadas no território da Tekoá. Aprofundo a descrição destas impressões sobre as instâncias de pensamento citadas e passo a relacioná-las com práticas educativas traduzidas, geradas e sentidas no convívio com este povo. Aproximo-me da dinâmica de diálogos cotidiana, desenvolvida pelos Guarani, nas conversas em roda. Saliento as interações educativas constituídas por estes Mbya, que são gestadas e estruturadas por produções gráficas de imagens, histórico simbólicas. E por fim apresento fazeres educativos, experienciados por mim, no estar junto dos Guarani. Relacionados às traduções que ouvi dos Guarani, na aproximação permitida destes processos pedagógicos e interculturais.",http://hdl.handle.net/10183/212035,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Schaan, Eduardo Santos",Não informado pela instituição,"Schuch, Patrice||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Uns Guarani : os Mbya e suas alteridades : parentesco, movimento e tempo",2018,Universidade Federal do Rio Grande do Sul (UFRGS),UFRGS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Índios mbyá-guarani||Kaingang||Casamento : Aspectos culturais||Identidade||Alteridade||Cultura guarani,Mbya guarani||Alterity||Kinship,por,"A maneira como os Mbya Guarani estabelecem relações com as alteridades Kaingang, não indígenas e do mato são o foco deste trabalho. Percebe-se como os grupos constituem seu parentesco ao longo do tempo, criando alianças e casamentos, e desfazendo alianças e casamentos. Esse processo se desenvolve em uma dinâmica tanto espacial quanto temporal, e a movimentação entre os dois eixos nos diversos temas descritos ilustra essa lógica subjacente ao parentesco Guarani. Discute-se a tensão que existe entre manter um corpo Mbya e, ao mesmo tempo, estabelecer relações de tipo mutual e de tipo predatório, e como esses processos modificam o corpo e o parentesco de um determinado grupo. A movimentação entre essas duas faces, a incorporação e predação de alteridades, por um lado, e a construção de um corpo Mbya, em várias de suas facetas, por outro lado, é o motivo deste trabalho. Estuda-se este movimento em seus desdobramentos, como nas narrativas, nas retomadas territoriais, na busca por conhecimento, nos casamentos, na purificação do corpo de parentes, nos alimentos e na procura pelo paraíso. A origem desta pesquisa são experiências e entrevistas reunidas ao longo de cinco anos, entre 2013 e 2018. A região de pesquisa foi, de forma genérica, o Sul do Brasil, com especial ênfase para a Aldeia Mbya Guarani da Estiva, em Viamão (RS).",http://hdl.handle.net/10183/180592,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Silva, Jéssica Gomes de Gusmão da",Não informado pela instituição,"Cabral, Ana Suelly Arruda Câmara||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,O desenvolvimento de pronomes de terceira pessoa e a importância dos prefixos relacionais na estrutura argumental dos núcleos dependentes em Kayabí,2019,Universidade de Brasília (UnB),UNB,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Não informado pela instituição,Não informado pela instituição,por,"Dissertação (mestrado)—Universidade de Brasília, Instituto de Letras, Departamento de Linguística, Português e Línguas Clássicas, Programa de Pós-Graduação em Linguística, 2019.",http://repositorio.unb.br/handle/10482/35550,Não informado pela instituição,Não informado pela instituição,"SILVA, Jéssica Gomes de Gusmão da. O desenvolvimento de pronomes de terceira pessoa e a importância dos prefixos relacionais na estrutura argumental dos núcleos dependentes em Kayabí. 2019. 95 f., il. Dissertação (Mestrado em Linguística)—Universidade de Brasília, Brasília, 2019."
"Pereira, Gabriel",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Liga de Futebol Mbya Guarani de Santa Catarina: território, mobilidade e cultura - yvy rupa, djaguatá ha'e nhandereko",2024,Universidade Estadual Paulista (UNESP),UNESP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Futebol Guarani||Futebol indígena||Geografia do futebol||Território Guarani||Redes Guarani||Fútbol Guarani||Fútbol indígena||Geografía del fútbol||Guarani football||Territorio Guaraní||Redes Guaraníes||Indigenous football||Football geography||Guarani territory||Guaraníes networks||Nhevangá jaogaá rupi Guarani mbya||Jaogá regua||Manga Ñembosarái||Yvyrupa||Kya Guarani,Não informado pela instituição,por,"A Liga Mbya Guarani de Santa Catarina é um campeonato de futebol de sete jogadores, pensado e organizado por e para a comunidade Mbya Guarani do litoral de Santa Catarina, que circulam entre aldeias a cada rodada do campeonato, promovendo integração, conexão, lazer, saúde e alegria. O objetivo central deste trabalho foi mapear tal campeonato e compreender seu papel na mobilidade (guatá) e nos encontros (nheamboaty) que conectam pessoas e seus modos de vida (nhandereko) no extenso, e atualmente fragmentado, território Guarani (Yvy Rupa). Além disso, outros objetivos foram: compreender o “futebol” pré-colonial Guarani (conhecido na literatura como Manga Ñembosarái) relatado por missionários jesuítas antes mesmo da criação do futebol moderno inglês; e, identificar meios de, através do futebol, trazer visibilidade a existência, a resistência e a cultura Guarani. Para isso, foram utilizados os seguintes procedimentos metodológicos: levantamento bibliográfico, levantamento documental em documentos jesuítas, matérias de jornais e vídeo-documentários, observação participante, entrevistas livres e semiestruturadas, transcrição de entrevistas, além de buscar criar um trabalho participativo e anticolonial. Os principais resultados apontaram que a Liga Mbya Guarani de Santa Catarina tece uma rede de relações entre as aldeias, conectando-as e construindo a própria concepção de território Guarani. Além disso, os resultados apontam que o “futebol” pré-colonial Guarani, trata-se de um modelo singularmente similar ao futebol moderno “inglês”, provavelmente tendo-o influenciado.","PEREIRA, Gabriel . Liga de Futebol Mbya Guarani de Santa Catarina: território, mobilidade e cultura - yvy rupa, djaguatá ha'e nhandereko. Orientador: Neide Barrocá Faccio. 2024. 190 f. Dissertação (Mestrado em Geografia) - Faculdade de Ciências e Tecnologia, Universidade Estadual Paulista, Presidente Prudente, 2024.||https://hdl.handle.net/11449/255238||https://lattes.cnpq.br/6274196583718441||https://orcid.org/0000-0003-4403-2701",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Bergamaschi, Maria Aparecida",Não informado pela instituição,"Dorneles, Malvina do Amaral||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Nhembo'e : enquanto o encanto permanece! : processos e práticas de escolarização nas aldeias Guarani,2005,Universidade Federal do Rio Grande do Sul (UFRGS),UFRGS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Educação indígena||Guarani||Escola||Cosmologia Guarani||Índios||Rio Grande do Sul,Não informado pela instituição,por,"A escola nas aldeias Guarani do Rio Grande do Sul é um acontecimento recente. Algumas TEKOÁ decidiram não abrigá-la em seu meio, considerando que a educação tradicional, assentada na cosmologia Guarani, é suficiente para o seu viver e, portanto, prescindem dos saberes escolares. Outras, evidenciando a necessidade de saberes que se relacionam à escola – como a escrita, a leitura, a Língua Portuguesa e o sistema monetário, entre outros –, a solicitam e a acolhem, iniciando processos e práticas de escolarização que afirmam o desejo de se apropriar de instrumentos que permitam um diálogo mais eqüitativo com a sociedade não indígena. Num movimento de interlocução com os gestores das políticas públicas, tensionam a Secretaria de Estado da Educação para criar condições de implementar a Escola Específica e Diferenciada nas aldeias. No entanto, experimentam a ambigüidade de uma aproximação e de um afastamento, de um querer e um não querer a escola em suas aldeias, pois intuem as mudanças que poderá desencadear no modo de vida tradicional. Para compreender os processos de implementação da escola do povo Guarani, e os significados que atribuem à educação escolar, dirigi o olhar e aprofundei o estudo em três aldeias do Rio Grande do Sul: TEKOÁ JATAÍTY (Cantagalo, município de Viamão), TEKOÁ ANHETENGUÁ (Lomba do Pinheiro, Porto Alegre) e TEKOÁ IGUA´PORÃ (Pacheca, município de Camaquã). Os movimentos de aproximação com a cosmologia Guarani e com o universo das aldeias, constituído através de um estar-junto sensível, e o com-viver com a totalidade cosmológica de cada lugar pesquisado possibilitou a elaboração de um contorno antropológico etnográfico que busca dizer dos Guarani desde si. A perspectiva teórica, assentada principalmente na aproximação da Educação com uma Antropologia Filosófica latino-americana, possibilitou a compreensão do pensamento indígena e da ambigüidade do “ser” europeu e do “estar” americano, presente nas aldeias e fora delas também. A pesquisa mostra que há nos preceitos educacionais da cosmologia Guarani um admirável mundo a ser desvendado, em que os significados de cada gesto, de cada ação mostram a integridade de um povo que sobrevive e se recria e a escola na aldeia poderá se inserir nesse universo e dialogar com todos os princípios que compõem a educação tradicional e a cosmologia Guarani.",http://hdl.handle.net/10183/4509,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Tocchetto, Fernanda Bordin",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,A cultura material do Guarani missioneiro como simbolo de identidade etnica,1991,Universidade Federal de Santa Catarina (UFSC),UFSC,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Indios Guarani||Missões||Teses||Indios Guarani||Vida e costumes sociais||Teses,Não informado pela instituição,por,Dissertação (mestrado) - Universidade Federal de Santa Catarina. Centro de Ciencias Humanas,83345||http://repositorio.ufsc.br/xmlui/handle/123456789/75778,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
