Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Área do conhecimento CNPq,Tipos de acesso,Tipo de documento,Assuntos em português,Assuntos em inglês,Idioma,Resumo,Link de acesso,Resumo em Português,Resumo em Inglês,Referência Bibliográfica
"Marschner, Arami Argüello, 1992-",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Saberes do corpo kaiowa : lugar de murmúrio e resistência,2019,Universidade Estadual de Campinas (UNICAMP),UNICAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Corpo||Índios Guarani Kaiwá||Cultura Indígena||Ritos e cerimônias||Processo criativo||Body||Indians Kaiowa||Indigenous culture||Rites and ceremonies||Creative process,Não informado pela instituição,por,Orientador: Veronica Fabrini Machado de Almeida,"https://hdl.handle.net/20.500.12733/1640426||MARSCHNER, Arami Argüello. Saberes do corpo kaiowa: lugar de murmúrio e resistência. 2019. 1 recurso online (220 p.) Dissertação (mestrado) - Universidade Estadual de Campinas, Instituto de Artes, Campinas, SP. Disponível em: https://hdl.handle.net/20.500.12733/1640426. Acesso em: 15 mai. 2024.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Noal, Mirian Lange",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,As crianças guarani/kaiowa : o mita reko na aldeia Pirakua/MS,2006,Universidade Estadual de Campinas (UNICAMP),UNICAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Crianças indigenas||Índios Guarani Kaiwá||Índios Guarani||Crianças pequenas||Indigenous children||Guarani/kaiowa indians||Early childhood education||Infancy childhood pedagogy,Não informado pela instituição,por,Orientador: Ana Lucia Goulart de Faria,"(Broch.)||https://hdl.handle.net/20.500.12733/1603892||NOAL, Mirian Lange. As crianças guarani/kaiowa: o mita reko na aldeia Pirakua/MS. 2006. 353p. Tese (doutorado) - Universidade Estadual de Campinas, Faculdade de Educação, Campinas, SP. Disponível em: https://hdl.handle.net/20.500.12733/1603892. Acesso em: 15 mai. 2024.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Jose Filho, Antonio",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,A performatividade na linguagem dos Kaiowa/Guarani,2005,Universidade Estadual de Campinas (UNICAMP),UNICAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Linguagem||Identidade||Professores - Formação||Indígenas - Educação||Índios Guarani||Índios Guarani Kaiwá||Indígenas - Cultura||Atos de fala (Linguistica)||Language||Identity||Teacher Indians||Culture Kaiowa Guarani||Speech acts,Não informado pela instituição,por,"Orientador: Rajagopalan, Kanavillil","(Broch.)||https://hdl.handle.net/20.500.12733/1601099||JOSE FILHO, Antonio. A performatividade na linguagem dos Kaiowa/Guarani. 2005. 186p. Tese (doutorado) - Universidade Estadual de Campinas, Instituto de Estudos da Linguagem, Campinas, SP. Disponível em: https://hdl.handle.net/20.500.12733/1601099. Acesso em: 14 mai. 2024.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Corrado, Elis Fernanda, 1989-",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"""O Tekoha como uma criança pequena"" : uma etnografia de acampamentos Kaiowá em Dourados (MS)",2017,Universidade Estadual de Campinas (UNICAMP),UNICAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Sociabilidade||Territorialidade||Acampamentos indígenas||Índios Guarani Kaiwá||Índios Guarani||Sociability||Territoriality||Indian encampments||Indians Kaiowá||Indians Guarani,Não informado pela instituição,por,"Orientadores: Nashieli Cecília Rangel Loera, Aline Castilho Crespe","https://hdl.handle.net/20.500.12733/1635692||CORRADO, Elis Fernanda. ""O Tekoha como uma criança pequena"": uma etnografia de acampamentos Kaiowá em Dourados (MS). 2017. 1 recurso online (136 p.) Dissertação (mestrado) - Universidade Estadual de Campinas, Instituto de Filosofia e Ciências Humanas, Campinas, SP. Disponível em: https://hdl.handle.net/20.500.12733/1635692. Acesso em: 15 mai. 2024.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Cardoso, Valeria Faria",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Aspectos morfossintaticos da lingua Kaiowa (Guarani),2008,Universidade Estadual de Campinas (UNICAMP),UNICAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,"Línguas indígenas - Morfossintaxe||Índios Guarani Kaiwá||Gramática comparada e geral - Casos||Voz inversa||Indians Kaiowa||Indians - Languages - Morphosyntax||Grammar, Comparative and general - Case||Inverse voice",Não informado pela instituição,por,Orientador: Lucy Seki,"https://hdl.handle.net/20.500.12733/1607805||CARDOSO, Valeria Faria. Aspectos morfossintaticos da lingua Kaiowa (Guarani). 2008. 294p. Tese (doutorado) - Universidade Estadual de Campinas, Instituto de Estudos da Linguagem, Campinas, SP. Disponível em: https://hdl.handle.net/20.500.12733/1607805. Acesso em: 15 mai. 2024.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Luckmann, Sandro",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Educação escolar indígena na Terra Indígena Guarita: um olhar sobre a trajetória missionária indigenista da IECLB e COMIN,2011,Universidade Regional do Noroeste do Estado do Rio Grande do Sul,UNIJUI,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Educação escolar Kaingang||Terra Indígena Guarita||Igreja Evangélica de Confissão Luterana no Brasil||Educação intercultural||Educação nas Ciências,Não informado pela instituição,por,"A presente pesquisa aborda a historiografia e o envolvimento da Igreja Evangélica de Confissão Luterana no Brasil (IECLB) e do Conselho de Missão entre Índios (COMIN) com a educação escolar indígena na Terra Indígena Guarita. O envolvimento da IECLB/COMIN inicia com a instalação da Escola Evangélica Indígena na TI Guarita (03/03/1961). Inicialmente participou da proposta oficial de política indigenista brasileira, que estipulava a educação escolar como espaço e meio para a integração das comunidades indígenas à sociedade brasileira. Na década de 1980, ocorrem mudanças na ação indigenista da IECLB, evidenciada pela criação do COMIN. A alteração no perfil de atuação é influenciada pela solidificação do movimento indígena, exaltando o reconhecimento jurídico e estatal com a Constituição Federal de 1988 e as legislações específicas à educação escolar indígena que a seguem. Assim, pauta-se uma educação escolar indígena como política pública de garantia à educação diferenciada, bilíngue e intercultural, tendo a comunidade indígena como sujeito, no estímulo à plena cidadania dos povos indígenas do Brasil. A partir desse referencial, as ações da IECLB/COMIN se caracterizam pela ação em espaço público da educação escolar, como entidade de apoio, assessoria e diálogo com a comunidade kaingang na capacitação, qualificação, produção e definição da educação escolar kaingang. Outra característica que se pauta é a atuação na perspectiva da interculturalidade, na qual se estimula a troca de saberes e ciências da comunidade kaingang e da sociedade não indígena. A pesquisa objetiva a reflexão sobre as motivações do envolvimento com a educação escolar indígena, abordando as contribuições e dificuldades estabelecidas pela atuação indigenista da IECLB/COMIN entre as décadas de 1960 e 2000, quais os referenciais que possibilitaram partir de uma educação formal e integracionista para uma educação intercultural, de uma política de substituição da função pública da educação para a atuação no espaço público da educação.",http://bibliodigital.unijui.edu.br:8080/xmlui/handle/123456789/1862||DMD_hdl_123456789/1862,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Amaral, Fátima Trindade do",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,O protagonismo kaingang no espaço da escola indígena,2013,Universidade Regional do Noroeste do Estado do Rio Grande do Sul,UNIJUI,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Ciências Humanas||Educação nas Ciências||Protagonismo kaingang||Educação tradicional||Educação escolar,Não informado pela instituição,por,"O trabalho está referido as minhas práticas e de outros professores kaingang que se somam a tantas outras em desenvolvimento em escolas das comunidades kaingang. Decorre de questão que sempre me intrigou, ou seja, o que seria a Educação Escolar Indígena específica e diferenciada nas escolas kaingang? Nós, professores kaingang, sabemos que a educação para o kaingang tem duas dimensões que deveriam se complementar, uma antes das nossas crianças irem para a escola, a educação indígena ou educação tradicional e a outra que acontece depois que a criança kaingang passa a participar do espaço da escola, a educação escolar indígena. Está aí o maior desafio do professor indígena, que é dar sentido à “escolarização do conhecimento” em uma escola indígena. Atualmente somos desafiados a desconstruir conceitos de escola, pois sabemos que o modelo de escola dos fóg não serve para nossas comunidades. Mas também nos interrogamos: O que nos serve? Por meio de narrativas, relatos de histórias e reflexões teóricas situadas em pesquisa de campo, procuro indagar: O que é educação escolar indígena específica e diferenciada? Como são “garantidas” mudanças no cenário da educação escolar kaingang? A pesquisa de campo fez uso de registros em “cadernos de campo”, do que corresponde às minhas memórias de quinze anos de vivências como professora na escola indígena de minha comunidade, conversas informais e “diálogos dirigidos” com professoras e professores kaingang (mediante consentimento prévio informado), compartilhando dados retirados de documentos da escola. Produzi, também, histórias baseadas em fatos vivenciados por parentes kaingang e recorrendo às minhas memórias. Pautando-me na cultura kaingang proponho uma possibilidade de currículo alicerçado em seus componentes relevantes onde a escola torna-se o espaço educativo e elementos da cultura passam a ser prática educativa no âmbito escolar. Para sustentar as reflexões apresentadas na dissertação apoiei-me basicamente na produção teórica de parentes kaingang, protagonistas no processo de luta pela construção de uma educação escolar diferenciada e de qualidade (Andila Nivygsãnh Inácio, Maria Inês de Freitas, Márcia Gojten Nascimento, Bruno Ferreira, Clarice dos Santos Berton, Dorvalino Cardoso e Sara Kariká Sales) e de pesquisadores da cultura indígena (Maria Aparecida Bergamaschi, Sérgio Baptista, Sandro Luckmann e Carlos Eduardo de Sousa). O foco da pesquisa foi desdobrado em reflexões centradas nos conceitos de diálogo, consciência, experiência transmitida e resistência, para as quais a interlocução se deu, principalmente com Paulo Freire, Stuart Hall e Carlos Rodrigues Brandão.",http://bibliodigital.unijui.edu.br:8080/xmlui/handle/123456789/2312||DMD_hdl_123456789/2312,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Stefanuto, Míriam Rebeca Rodeguero",Não informado pela instituição,"Velden, Felipe Ferreira Vander||Não informado pela instituição",http://lattes.cnpq.br/7289231173735671||Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Trabalho calado : os Kaingang do Toldo Chimbangue e as indústrias de carne,2017,Universidade Federal de São Carlos (UFSCAR),UFSCAR,Não informado pela instituição,Não informado pela instituição,Programa de Pós-Graduação em Antropologia Social - PPGAS,CIENCIAS HUMANAS::ANTROPOLOGIA,openAccess,masterThesis,Kaingang||Frigoríficos||Trabalho||Animais,Slaughterhouses||Work||Animals,por,"This dissertation examines the relationship between work in the slaughterhouses and the Kaingang way of life in the Toldo Chimbangue indigenous land, located in the municipality of Chapecó, in the western region of the state of Santa Catarina. The region is an important producer of pork and poultry meat, and the state is one of the most important of the meat sector in Brazil, producing for the domestic and foreign markets. Recently, the Kaingang have been hired by the slaughterhouses, that it’s offers transportation from the village to the industries. As this research seeks to present, being employed in slaughterhouses means subjecting to conditions that are admittedly exhaustive and harmful to workers. In addition to health issues, a repetitive production line that gets sick the Kaingangs bodies differs from village practices and knowledge, especially those concerning animal breeding, feeding, notions of work and the territory of the Toldo Chimbangue. These elements are what constitute and characterize the Kaingang being, according to themselves, and the work in the slaughterhouses and what it represents and implies is opposed to this way of life considered truly Kaingang. It is on those relationships and oppositions that this research is concerned.",https://repositorio.ufscar.br/handle/ufscar/9308,Não informado pela instituição,Não informado pela instituição,"STEFANUTO, Míriam Rebeca Rodeguero. Trabalho calado : os Kaingang do Toldo Chimbangue e as indústrias de carne. 2017. Dissertação (Mestrado em Antropologia Social) – Universidade Federal de São Carlos, São Carlos, 2017. Disponível em: https://repositorio.ufscar.br/handle/ufscar/9308."
"Mantovanelli, Thais",Não informado pela instituição,"Cohn, Clarice||Não informado pela instituição",http://lattes.cnpq.br/1714080901123094||Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Crianças invisíveis da Reserva Indígena Icatu/SP,2011,Universidade Federal de São Carlos (UFSCAR),UFSCAR,BR,Não informado pela instituição,Programa de Pós-Graduação em Antropologia Social - PPGAS,CIENCIAS HUMANAS::ANTROPOLOGIA,openAccess,masterThesis,Etnologia||Índios Kaingang||Antropologia da criança||Etiquetas de restrição,Não informado pela instituição,por,Financiadora de Estudos e Projetos,https://repositorio.ufscar.br/handle/ufscar/218,Não informado pela instituição,Não informado pela instituição,"MANTOVANELLI, Thais. Crianças invisíveis da Reserva Indígena Icatu/SP. 2011. 138 f. Dissertação (Mestrado em Ciências Humanas) - Universidade Federal de São Carlos, São Carlos, 2011."
"Buratto, Lúcia Gouvêa",Não informado pela instituição,"Costa, Maria da Piedade Resende da||Não informado pela instituição",http://genos.cnpq.br:12010/dwlattes/owa/prc_imp_cv_int?f_cod=K4787585J1||Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Prevenção de deficiência: programa de formação para professores Kaingang na terra indígena Ivaí-Paraná,2010,Universidade Federal de São Carlos (UFSCAR),UFSCAR,BR,Não informado pela instituição,Programa de Pós-Graduação em Educação Especial - PPGEEs,CIENCIAS HUMANAS::EDUCACAO::TOPICOS ESPECIFICOS DE EDUCACAO::EDUCACAO ESPECIAL,openAccess,doctoralThesis,Educação especial||Educação indígena||Prevenção de deficiências||Índios Kaingang,Special education||Indigenous education||Deficiency prevention||Kaingang indigenous,por,"Many health problems and deficiencies of Kaingang indigenous that in many cases are illness sequels, that are the results of occupation process of their lands, where they were obligated to agglomerate themselves in villages without minimum sanitarium conditions putting them in vulnerability situation for many parasitic diseases, bacterial and viral. The contact propitiated the introduction of alcohol drinks and sexually transmissible diseases and other contagious pathologies that cause diseases too. Besides the indigenous begin to have children in their adolescence, the drugs as cigarette and mainly alcohol are consumed for the most of adolescents. There are still suicide cases among teenagers, adults and children with many types of deficiency such as: mental, physical, auditory, visual and multiple. The present study aims at training Kaingang teachers to act in the deficiencies prevention. Ten teachers attended the Kaingang ethnicity that obeyed the established criteria. It was used two valuation ways: a) a questionnaire to know the number of the incidence of deficiency cases; b) pre and post questionnaires application of the prevention program. Bilingual materials were produced (Portuguese and Kaingang). The informations were organized and showed in figure and graph. According to the results of the incidence of deficiency cases were found that Indigenous Land Marrecas 27 cases, Ivaí 23 and Faxinal 11. Referring to the information comparison among pre and post questionnaires, it was obvious the efficacy of the application of prevention program. The informations achieved in the post questionnaire show relevant results referring to the subjects acquisition and experiences provided by this program. Other relevant point was the contribution of the bilingual material which facilitated the accessibility to the information about deficiencies prevention. It may be considered that this present study show results which will take in account in the formulation of public policy for indigenous people and they can generate more effective and appropriate procedures and actions to Sociocultural organization of Kaingang.",https://repositorio.ufscar.br/handle/ufscar/2864,Não informado pela instituição,Não informado pela instituição,"BURATTO, Lúcia Gouvêa. Prevenção de deficiência: programa de formação para professores Kaingang na terra indígena Ivaí-Paraná. 2010. 202 f. Tese (Doutorado em Ciências Humanas) - Universidade Federal de São Carlos, São Carlos, 2010."
