Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Área do conhecimento CNPq,Tipos de acesso,Tipo de documento,Assuntos em português,Assuntos em inglês,Idioma,Resumo,Link de acesso,Resumo em Português,Resumo em Inglês,Referência Bibliográfica
LUCAS GROTH PEREIRA,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,[en] AN ABOLICIONIST ARGUMENT: PENAL ABOLITIONISM S RETAKE THROUGH CRITICAL CRIMINOLOGY,2022,Pontifícia Universidade Católica do Rio de Janeiro (PUC-RIO),PUC_RIO,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,[pt] MARXISMO||[pt] SISTEMA PUNITIVO||[pt] ABOLICIONISMO||[pt] CRIMINOLOGIA CRITICA||[pt] TEORIA POLITICA||[en] MARXISM||[en] PUNITIVE SYSTEM||[en] ABOLITIONISM||[en] CRITICAL CRIMINOLOGY||[en] THEORY POLITICS,Não informado pela instituição,por,"[pt] O presente trabalho busca fazer uma retomada do abolicionismo penal a partir das bases teóricas da criminologia crítica. Em meio aos diversos discursos e propostas de abolição penal contemporâneos, o que se pretende é argumentar que uma prática que vise a realização da abolição do sistema punitivo precisa se calcar em bases teórico-metodológicas rigorosas, a fim de compreender os processos que determinam o sistema punitivo e sua relação com estrutura econômica. Defende-se que a prática abolicionista precisa se socorrer dos conhecimentos acumulados pela criminologia crítica, de base marxista, a fim de que se possa organizar a ação política necessária para uma mudança nas condições sociais que determinam a violência e a pena. Ao se examinar a síntese das diversas determinações que criam o Estado, o direito e a pena na sociedade burguesa por meio da categoria do sujeito de direito e do princípio da troca equivalente de mercadorias é possível verificar o desenvolvimento histórico e as alterações das formas de punição na sociedade capitalista de acordo com a organização e necessidades de produção e reprodução dos modos de produção. Somente a partir dessa análise e compreensão das relações que a punição estabelece com o Estado e com a sociedade dentro da estrutura econômica é se torna possível propor um modelo de prática abolicionista que não seja idealista.",https://www.maxwell.vrac.puc-rio.br/colecao.php?strSecao=resultado&nrSeq=59785&idi=1||https://www.maxwell.vrac.puc-rio.br/colecao.php?strSecao=resultado&nrSeq=59785&idi=2||http://doi.org/10.17771/PUCRio.acad.59785,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Góes, Carolina Braz, 1988-",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Percepções dos pesquisadores da produção animal sobre o abolicionismo animalista : Perceptions of animal production researchers on the abolitionist movement,2019,Universidade Estadual de Campinas (UNICAMP),UNICAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Agropecuária||Indústria animal||Animalismo||Estudos críticos animais||Animais||Livestock||Animal industry||Animalism||Critical animal studies||Animals,Não informado pela instituição,por,"Orientadores: Lais Silveira Fraga, Mauro Cardoso Simões","https://hdl.handle.net/20.500.12733/1637478||GÓES, Carolina Braz. Percepções dos pesquisadores da produção animal sobre o abolicionismo animalista: Perceptions of animal production researchers on the abolitionist movement. 2019. 1 recurso online (98 p.) Dissertação (mestrado) - Universidade Estadual de Campinas, Faculdade de Ciências Aplicadas, Limeira, SP. Disponível em: https://hdl.handle.net/20.500.12733/1637478. Acesso em: 22 fev. 2025.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Krob, Bruna Emerim",Não informado pela instituição,"Xavier, Regina Célia Lima||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"""Com a condição de servir gratuitamente a mim ou a meus herdeiros"" : alforrias, contratos e experiências de trabalho de libertos (Porto Alegre, 1884 - 1888)",2016,Universidade Federal do Rio Grande do Sul (UFRGS),UFRGS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Escravidão||Abolição da escravatura||Cartas de alforria||Escravos libertos||Lei do ventre livre||Contrato de trabalho||Porto Alegre (RS),Slavery||Manumission||Abolition||Freedom,por,"A presente pesquisa parte da emancipação de escravos ocorrida em 1884 em Porto Alegre – ano que teria havido uma suposta “abolição antecipada” no Rio Grande do Sul, para buscar examinar as experiências de trabalho vividas por libertandos, no período transcorrido entre aquele ano e a abolição da escravidão no Brasil em 1888. O processo emancipacionista em curso no país na segunda metade do século XIX pautava-se pela expectativa de uma abolição gradual, que se fizesse de maneira controlada e com respeito ao direito à propriedade escrava. A Lei de 1871 atendia a estes princípios, tendo alterado as bases do escravismo brasileiro e as condições para a conquista da liberdade. É nesse contexto mais amplo que observamos a estratégia de emancipação através de alforrias condicionadas à prestação de serviços adotada em Porto Alegre e estendida ao restante da província. Analisamos, assim, as alforrias registradas em cartório entre 1884 e 1888, traçando um perfil dos libertandos e examinando as condições sob as quais alcançaram a liberdade. Os resultados a que chegamos foram contrastados com a memória oficial construída em torno da uma suposta antecipação da abolição na província. Tal contraste evidenciou que, além de a estratégia de emancipar através de alforrias condicionais ter significado a imposição de limitações ao gozo da liberdade, a própria quantidade de alforrias mapeadas esteve muito longe de extinguir de fato a escravidão. Por outro lado, ao observar de perto o modo como os libertandos teriam vivenciado o período de cumprimento das condições impostas em suas alforrias, pudemos perceber as tensões em que aqueles sujeitos se viram enredados e as disputas em torno dos diferentes modos de compreender o que deveria ser um liberto sob condições. Houve aqueles que cumpriram com seus contratos de prestação de serviços. No entanto, outros tantos impuseram resistência aos desmandos senhoriais, recusando-se a agir conforme a vontade daqueles. Entre estes dois extremos coube toda sorte de experiências. Nos limites do que lhes permitia o mundo do trabalho e os quadros da liberdade nos quais se inseriam na condição de libertos contratados, pudemos identificar uns ou outros tentando modificar suas condições de vida – de modo mais radical ou mais sutil, deixando transparecer o seu entendimento de que ser um liberto condicional não era o mesmo que ser escravo.",http://hdl.handle.net/10183/148467,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Pessoa, Valdirene Nunes de Santana",http://lattes.cnpq.br/4782270039388546,"Costa, Carlos Eduardo Coutinho da||Não informado pela instituição",Não informado pela instituição,"Nascimento, Álvaro Pereira do||Silva, Alexandra Lima da||Não informado pela instituição||Não informado pela instituição||Não informado pela instituição",Não informado pela instituição,"Entre as pessoas mais gradas do município: a trajetória do Capitão Gaspar José Soares, um político negro no pós-abolição da Baixada Fluminense (1864-1955)",2018,Universidade Federal Rural do Rio de Janeiro (UFRRJ),UFRRJ,Brasil,Instituto de Ciências Humanas e Sociais||Instituto Multidisciplinar de Nova Iguaçu,Programa de Pós-Graduação em História,História,openAccess,masterThesis,Negro||Pós-abolição||Trajetória||Mobilidade Social||Baixada Fluminense||Black,Post-abolition||Trajectory||Social Mobility,por,"O objeto central que baliza esta pesquisa é a trajetória de Gaspar José Soares, político, empresário e atuante indivíduo negro no município de Nova Iguaçu, Baixada Fluminense no período do pós-abolição. O recorte temporal delimita-se em fins do século XIX e as primeiras décadas do século XX, período que compreende parte de sua vida e desenvolveu suas principais atividades. É intento deste investigar seu papel enquanto empreendedor político local, mapear suas redes de relações, observar como se articulou socialmente e qual a importância dessa articulação no seu processo de mobilidade social, política e econômica. Ao analisar suas ações estratégicas no jogo político, na diversificação de arranjos de trabalho e suas alianças comerciais pretendemos inferir se estas estariam associadas as razões pelo qual teria conseguido se destacar e alcançar determinada proeminência social e política nesta região.",https://rima.ufrrj.br/jspui/handle/20.500.14407/13885,Não informado pela instituição,Não informado pela instituição,"PESSOA, Valdirene Nunes de Santana. Entre as pessoas mais gradas do município: a trajetória do Capitão Gaspar José Soares, um político negro no pós-abolição da Baixada Fluminense (1864-1955), 2018, 137 f. Dissertação (Mestrado em História) - Instituto de Ciências Humanas e Sociais / Instituto Multidisciplinar de Nova Iguaçu, Universidade Federal Rural do Rio de Janeiro, Seropédica - RJ, 2018."
"Cruz, Itan",http://lattes.cnpq.br/7904209184794040,"Negro, Antonio Luigi||Não informado pela instituição",http://lattes.cnpq.br/8888819051963884||Não informado pela instituição,"Negro, Antonio Luigi||Mata, Iacy Maia||Pinto, Ana Flávia Magalhães||Azevedo, Elciene Rizzato||Souza, Felipe Azevedo e",http://lattes.cnpq.br/8888819051963884||http://lattes.cnpq.br/2577158971348698||http://lattes.cnpq.br/2257820781653901||http://lattes.cnpq.br/8195885484030018||http://lattes.cnpq.br/5886992131790493,"Saraiva, Dantas e Cotegipe: baianismo, escravidão e os planos para o pós-abolição no Brasil (1880-1899)",2022,Universidade Federal da Bahia (UFBA),UFBA,Brasil,Faculdade de Filosofia e Ciências Humanas (FFCH),Programa de Pós-Graduação em História (PPGH) ,CNPQ::CIENCIAS HUMANAS::HISTORIA,openAccess,doctoralThesis,Segundo Reinado||Baianismo||Política da escravidão||Escravidão||Pós-abolição,Não informado pela instituição,por,"A presente tese investiga o baianismo e suas implicações sobre a escravidão ao longo da década de 1880. O baianismo consiste, originalmente, num fenômeno político que evidencia a preponderância numérica de baianos nos gabinetes ministeriais do Segundo Reinado. Nesta pesquisa analisa-se especificamente os governos de José Antonio Saraiva (1880-1882;1885), de Manuel Pinto de Souza Dantas (1884-1885) e de João Maurício Wanderley, barão de Cotegipe (1885-1888), demonstrando como esses homens, oriundos da Bahia, exerceram a política da escravidão, procurando estender a existência do cativeiro ao máximo, precarizando a experiência de liberdade da população livre e liberta, criminalizando toda a população de cor sob o pretexto de evitar o que chamavam de “desorganização do trabalho”, além de trabalharem para garantir indenização às classes senhoriais. Ao longo das páginas seguintes, demonstra-se como o baianismo não era um fenômeno político homogêneo e harmônico entre si, podendo até comportar posições políticas antagônicas, alcançando escravocratas empedernidos e abolicionistas decididos. Tampouco estava restrito aos homens e aos seus ministérios, mas, antes disso, abrangia a dimensão íntima das relações pessoais dos imperantes, incluindo mulheres, como Luiza Margarida Portugal de Barros, condessa de Barral e da Pedra Branca, e pessoas negras livres, a exemplo de André Rebouças, Maria Amanda Lustosa da Cunha Paranaguá e Franklin Américo de Menezes Dória.",https://repositorio.ufba.br/handle/ri/36441,Não informado pela instituição,Não informado pela instituição,"CRUZ, Itan. Saraiva, Dantas e Cotegipe: baianismo, escravidão e os planos para o pós-abolição no Brasil (1880-1889). Orientador: Antonio Luigi Negro. 2022. 306 f.il.. Tese (Doutorado em História Social) – Programa de Pós-Graduação em História. Faculdade de Filosofia e Ciências Humanas. Universidade Federal da Bahia, Salvador, 2022."
"Conceição, Letícia Pereira",https://lattes.cnpq.br/4296965313255703,"Souza, Cristiane Santos||Não informado pela instituição",http://lattes.cnpq.br/8814476853305554||Não informado pela instituição,"Souza, Cristiane Santos||Costa, Alex Andrade||Souza, Ana Claudia Gomes de||Não informado pela instituição||Não informado pela instituição",ID Lattes: 881447685330555||http://lattes.cnpq.br/7648238735250015||http://lattes.cnpq.br/9368778418461266||Não informado pela instituição||Não informado pela instituição,Redes de compadrio e sociabilidades em São Felipe no pós-abolição (1889-1930),2019,Universidade Federal da Bahia (UFBA),UFBA,Brasil,Faculdade de Filosofia e Ciências Humanas (FFCH),Programa Multidisciplinar de Pós-Graduação em Estudos Étnicos e Africanos (PÓS-AFRO) ,CNPQ::CIENCIAS HUMANAS||CNPQ::CIENCIAS HUMANAS::HISTORIA||CNPQ::CIENCIAS HUMANAS::HISTORIA::HISTORIA DO BRASIL||CNPQ::CIENCIAS HUMANAS::HISTORIA::HISTORIA DO BRASIL::HISTORIA DO BRASIL REPUBLICA,openAccess,masterThesis,Compadrio||Sociabilidade||Pós-abolição||São Felipe,Não informado pela instituição,por,"A presente proposta de estudo tem como objetivo identificar alguns laços de compadrio desenvolvidos entre proprietários locais e trabalhadores rurais no município de São Felipe, Recôncavo baiano, durante o período classificado como Pós-Abolição. Ao identificar estas redes de compadrio, levando os sentimentos que possivelmente as guiavam (gratidão, dependência, amizade; bem como as estratégias e arranjos de sobrevivência e resistência) entendemos que os vínculos de sociabilidade justificavam tais redes e a partir da análise das relações de sociabilidade é possível entender como as redes de compadrio se estabelecem. Os sujeitos que compõem a pesquisa foram trabalhadores rurais e proprietários locais - de diversa composição social, i.e., pretos, pardos, mulatos e brancos - estabelecidos na porção sul do Recôncavo baiano, especificamente no município de São Felipe entre os anos de 1889 á 1930. Foi utilizado, como documentação primária, registros de batismos e casamentos e como secundárias inventáriospost-mortém e processos crimes e algumas visitas de campo. A pesquisa busca, através da identificação das redes de compadrio entender a construção dos laços de sociabilidade entre os sujeitos relatados anteriormente e a configuração desses laços, elucidando questões como: o que os movia, reforçava ou tencionava?",https://repositorio.ufba.br/handle/ri/36823,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Carvalho, Daniel Rebouças",http://lattes.cnpq.br/0806554048381677,"Albuquerque, Wlamyra Ribeiro de||Não informado pela instituição",http://lattes.cnpq.br/2359566367659802||Não informado pela instituição,"Albuquerque, Wlamyra Ribeiro de||Sampaio, Gabriela dos Reis||Abreu, Martha Campos||Castilho, Celso Thomas||Balaban, Marcelo",http://lattes.cnpq.br/2359566367659802||http://lattes.cnpq.br/6050013705102457||http://lattes.cnpq.br/0437999126739133||Não informado pela instituição||http://lattes.cnpq.br/9607339927631593,"Liberdade em cena: teatro, humor e racismo no tempo da abolição e além (Salvador, Bahia, 1884-1906)",2021,Universidade Federal da Bahia (UFBA),UFBA,Brasil,Faculdade de Filosofia e Ciências Humanas (FFCH),Programa de Pós-Graduação em História (PPGH) ,CNPQ::CIENCIAS HUMANAS::HISTORIA,openAccess,doctoralThesis,Humor||Teatro||Racismo||Abolição||Salvador,Não informado pela instituição,por,"A associação entre o processo de fim da escravidão e uso político do teatro, no final do século XIX, por militantes abolicionistas para debater a sociedade brasileira, será o centro fundamental desta tese. Partindo da premissa que o teatro foi um importante espaço de ação política e um ambiente de imaginação social sobre o futuro do pais, analisarei parte da produção dramatúrgica de engenheiro Sílio Boccanera Júnior e do poeta Alexandre Fernandes. Mesclando teatro ligeiro com um humor de inspiração moralizante, minha principal hipótese é que os autores, em conjunto com outros homens de letras engajados no teatro, levaram a politização do espaço teatral para os anos após a lei áurea e início da República, com objetivo de convencer outros setores sobre o encaminhamento do país: instrução e a arte como meio de “civilizar” os “novos” cidadãos. Para isso, os autores usaram do humor e da marcação racial em cena, de variadas formas, como arma para defender seu projeto sobre o futuro da nação. Contudo, as reações do público foram além do previsto, apontando como a polissemia das performances, a complexidade da cena teatral e a diversidade do público, colocaram diferentes entendimentos sobre os papéis sociais dos sujeitos representados e sobre o o recente nação republicana.",https://repositorio.ufba.br/handle/ri/36903,Não informado pela instituição,Não informado pela instituição,"CARVALHO, Daniel Rebouças. A liberdade em cena: teatro, humor e racismo no templo da abolição e além (Salvador, Bahia, 1884-1906).Tese (doutorado) - Universidade Federal da Bahia. Faculdade de Filosofia e Ciências Humanas, Salvador, 2021, 220 f."
"Souza, Lígya Esteves Sant\'Anna de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Pequeninas, pobres e miseráveis no serviço à pátria: a condição de meninas órfãs e vulneráveis na São Paulo pós-abolição",2022,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Childhood||Educação||Education||Escravidão||Gênero||Genre||Infância||Labor||Pós-abolição||Post-abolition||Slavery||Trabalho,Não informado pela instituição,por,"Visando identificar e compreender os papéis sociais ocupados por mulheres pobres no cenário social do período pós-abolição, este trabalho se propõe apresentar e discutir a experiência de meninas órfãs e socialmente vulneráveis abrigadas por instituições asilares-educativas na cidade de São Paulo durante a última década do século XIX e primeiras décadas do século XX. Tem como foco investigar possíveis reminiscências da tradição escravista na formação profissional e escolar destas jovens, tendo em vista o peso que a cor de suas peles exerceu sobre a orientação de sua educação. Interessa também identificar os dispositivos de controle social e aprimoramento moral elaborados pela elite da época e executados no campo educacional, visando assegurar a formação de trabalhadoras que atendessem requisitos específicos de \""honra\"" e \""civilidade\"". Duas instituições foram selecionadas para compor o recorte deste estudo: Asilo de Meninas Órfãs Desamparadas Nossa Senhora Auxiliadora do Ipiranga, inaugurado em 1896, e o Educandário Sagrada Família, de 1903. Apesar concebidas por uma mesma figura, o político José Vicente de Azevedo, e funcionarem a proximamente 300 metros de distância, desempenharam funções distintas. A primeira foi direcionada a meninas provenientes de famílias remediadas, e a outra destinada a receber jovens negras. A documentação analisada é majoritariamente pertencente ao âmbito administrativo e escolar das instituições, com de maior ou menor grau de formalidade.",https://www.teses.usp.br/teses/disponiveis/8/8138/tde-25112022-164104/,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Sousa, Caroline Passarini",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Partus sequitur ventrem: reprodução e maternidade no estabelecimento da escravidão e abolição nas Américas até a primeira metade do século XIX,2021,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Abolição||Abolicionismo||Abolition||Abolitionism||Black women||Escravidão||Gender||Gênero||Maternidade||Motherhood||Mulheres negras||Slavery,Não informado pela instituição,por,"Esta dissertação de mestrado tem como objetivo investigar a importância das mulheres negras escravizadas tanto para a conformação do sistema escravista nas Américas, quanto para a sua superação. Desde o processo de colonização, o ventre escravo ocupou um local fundamental, no qual a condição escrava de uma pessoa era determinada pelo status de sua mãe. Pelo princípio do partus sequitur ventrem, a matrilinearidade da escravidão foi cimentada. As primeiras experiências de abolição da escravidão nas Américas até a primeira metade do século XIX buscaram romper com a hereditariedade da escravidão e, novamente, o ventre de mulheres negras foi essencial. Simultaneamente, ascendia o abolicionismo anglo-americano cujos discursos sobre feminilidade e papeis sociais definidos pelo gênero tinham como foco principal a mulher escravizada e a restauração de suas virtudes femininas, tomadas pelo sistema escravista. Tais discursos sobre mulheres negras tiveram impacto direto sobre suas vidas, por isso, analisamos as representações feitas por abolicionistas brancos - homens e mulheres - sobre mulheres negras, em confronto com a própria autorrepresentação e ativismo de mulheres negras contra a escravidão e racismo nos Estados Unidos, entre 1830 e 1850. Procuramos, deste modo, rastrear o lugar ocupado pelo ventre e o corpo feminino negro na escravidão e abolição.",https://www.teses.usp.br/teses/disponiveis/8/8138/tde-27072021-195956/,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Camargo, Danilo Alexandre Ferreira de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,O abolicionismo escolar: reflexões a partir do adoecimento e da deserção dos professores,2012,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Abolicionismo escolar||Deschooling||Desescolarização||Governamentalidade||Governmentality||Health of teachers||Michel Foucault||Michel Foucault||Saúde dos professores||School abolitionism,Não informado pela instituição,por,"Este trabalho pretende produzir algumas reflexões sobre o triunfo da escola no mundo contemporâneo, bem como meditar sobre os limites políticos do sujeito escolar, atentando para suas múltiplas dimensões: moral, cognitiva e sociocultural. Para tanto, elegemos como tema geral da investigação as vicissitudes da rotina escolar, particularmente no que se refere ao adoecimento e à deserção dos professores da escola pública brasileira. A principal referência teórica é a obra de Michel Foucault, mais particularmente, suas análises sobre as instituições disciplinares, as práticas racionais de governo das populações e os jogos de poder/resistência no interior da sociabilidade moderna. Partindo do conceito foucaultiano de governamentalidade e da análise dos discursos médicos e pedagógicos sobre a saúde dos professores, desenvolvemos três operadores conceituais: a insuportabilidade da rotina escolar, a fadiga-limite dos professores como contraconduta moral e, por fim, o abolicionismo escolar, este tomado tanto como aporia política de nosso tempo quanto como abertura para um futuro indeterminado. Dessa forma, nosso estudo pretende demonstrar como os processos de governamentalização das condutas escolares são permeados por um elemento trágico, bem como por conflitos que, antes de explicitarem os mecanismos e os movimentos do poder sobre as formas e os modos de vida, figuram como ruína permanente do próprio paradigma de poder vigente nesse quadrante. Acima de tudo, debruçamo-nos sobre casos-limite do pensamento e da ação, bem como sobre a possibilidade de perspectivar politicamente alguns impasses da educação formal contemporânea, os quais nos levam a sugerir que o problema do adoecimento e da deserção dos professores não deve ser reduzido ao âmbito da patologização médica e da moralização social para que possa, porventura, ser ressignificado como uma potência trágica do desastre triunfal da escola; uma potência que carrega indelevelmente o fantasma do abolicionismo escolar como imperativo ético-político de um tempo por vir.",http://www.teses.usp.br/teses/disponiveis/48/48134/tde-29082012-105335/,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
