Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Área do conhecimento CNPq,Tipos de acesso,Tipo de documento,Assuntos em português,Assuntos em inglês,Idioma,Resumo,Link de acesso,Resumo em Português,Resumo em Inglês,Referência Bibliográfica
"Oliveira, Iris Agatha de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Black soul e ""Samba de Raiz"" : convergências e divergências do Movimento Negro no Rio de Janeiro : 1975 - 1985",2014,Universidade Federal do Estado do Rio de Janeiro (UNIRIO),UNIRIO,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,MULTIDISCIPLINAR||INTERDISCIPLINAR||SOCIAIS E HUMANIDADES||Black movement||Samba||Memory||Language||Identity||Black music||Movimento negro||Samba||Memória||Linguagem||Identidade||Black music,Não informado pela instituição,por,"Dissertação também disponível em formato impresso, com o número de chamada CCH MMS 2014/06","OLIVEIRA, Iris Agatha de. Black soul e ""Samba de Raiz"": convergêmcias e divergências do Movimento Negro no Rio de Janeiro 1975 - 1985. 2014. 206 f. Dissertação (Mestrado em Memória Social) - Universidade Federal do Estado do Rio de Janeiro (2003- ), Rio de Janeiro, 2014.||http://hdl.handle.net/unirio/11631",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Moraes, Lucas Lopes de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,\'Hordas do metal negro\': guerra e aliança na cena black metal paulista,2014,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Antropologia urbana||Black metal||Black metal||Cenas musicais||Musical scenes||Performance||Performance||Quimbanda||Quimbanda||Satanism||Satanismo||Urban anthropology,Não informado pela instituição,por,"A pesquisa que serve de base para essa dissertação parte de uma abordagem antropológica sobre os arranjos coletivos e atores sociais ligados ao black metal no Estado de São Paulo, Brasil. Um estilo musical derivado do gênero heavy metal que constitui um conjunto de elementos que dão suporte a um estilo de vida específico. As atividades de trabalho de campo foram desenvolvidas durante dois anos e meio (entre 2012 e 2014) na capital, em sua zona metropolitana e em algumas cidades do interior do Estado, junto aos lugares ocupados e frequentados por esses sujeitos (coletivos ou individuais). O objetivo desse trabalho foi mapear as diferentes formas de sociabilidade construídas por esses atores sociais ligados ao black metal, e assim, elucidar como esses arranjos coletivos e suas categorias nativas podem expressar uma perspectiva específica sobre a urbanidade e suas fronteiras. Para tanto, a categoria nativa cena foi tomada como objeto central da análise, o que permitiu desvendar um sistema de alianças e troca de favores um círculo da dádiva black metal , que alicerçam a construção de noções coletivas de pertencimento, assim como, uma perspectiva específica sobre as segmentações e classificações dos espaços urbanos. Também foram analisadas a sonoridade das composições do estilo, as teorias nativas sobre a música, as performances executadas durante os eventos, assim como as concepções desses atores sociais a respeito do satanismo, da quimbanda (e seus exus) e a oposição às religiões judaico-cristãs. Portanto, a partir da relação de todos esses elementos, foi possível descrever como se desenrola a guerra particular do black metal paulista em defesa da cena e dos valores do estilo.",http://www.teses.usp.br/teses/disponiveis/8/8134/tde-08052015-104127/,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Silva, Daniela Fernanda Gomes da",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,O som da diáspora : a influência da black music norte-americana na cena black paulistana,2013,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Black music||Black music||Black people||Cultura||Culture||Diaspora||Diáspora||Hip hop||Hip hop||Identidade||Identity||Jovens||Negros||Youth,Não informado pela instituição,por,". A presente dissertação tem por objetivo observar a influência da black music norte-americana na formação da identidade dos jovens negros que frequentam as festas da cena black paulistana. Para isso, procura-se debruçar sobre os fatores históricos, sociais, culturais e políticos que propiciam essa dinâmica. A motivação para a realização do trabalho nasce da participação em eventos nos dois países em diferentes momentos, onde se fez perceptível certa semelhança no comportamento dos jovens, o que despertou o desejo de investigar quão profundos seriam esses laços entre grupos tão distintos. A partir da perspectiva dos Estudos Culturais intenta-se mostrar como há mais de quatro décadas a black music atua como um elo entre povos da diáspora africana. O embasamento teórico e as entrevistas realizadas permitem contextualizar o fenômeno e trilhar um percurso que demonstra como a partir da escravidão e da forma como o pensamento racial se estruturou, a sociedade brasileira foi gerada de forma excludente deixando o negro sem referenciais positivos para formar sua identidade, o que faz com que as manifestações afro-americanas sirvam de inspiração, ainda que existam diferenças nas relações raciais nos dois países. Essa aproximação se dá principalmente no campo cultural, em especial por meio da música, que se manifesta na diáspora como um memorial à ancestralidade africana. Essa dinâmica tem início ainda na década de 1970 com os grandes bailes blacks, se transforma na década de 1980 com o surgimento do movimento hip hop em São Paulo e chega ao século 21, em uma nova fase de baladas blacks que podem ser vistas como um forte exemplo das mudanças ocorridas no novo milênio a partir do advento da globalização. Utilizo como metodologia a pesquisa bibliográfica, por meio de livros, vídeos e websites além de observações realizadas a partir de experiências pessoais e entrevistas, o que permite uma maior compreensão do fenômeno.",http://www.teses.usp.br/teses/disponiveis/100/100135/tde-18072013-182513/,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
DANIELA FRIDA DRELICH VALENTIM,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,[en] BLACK QUOTA EX-STUDENTS AT UERJ (STATE UNIVERSITY OF RIO DE JANEIRO): THE DISCREDITED AND ACADEMIC SUCCESS,2012,Pontifícia Universidade Católica do Rio de Janeiro (PUC-RIO),PUC_RIO,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,[pt] ENSINO SUPERIOR||[pt] AFRODESCENDENTE||[pt] COTA||[pt] NEGRO||[pt] ACAO AFIRMATIVA||[pt] DIVERSIDADE CULTURAL||[en] HIGHER EDUCATION||[en] AFRICAN-DESCENDENTS||[en] QUOTA||[en] BLACK||[en] AFFIRMATIVE ACTION||[en] CULTURAL DIVERSITY,Não informado pela instituição,por,"[pt] O objetivo da pesquisa realizada foi conhecer e analisar a compreensão pessoal da trajetória universitária de ex-alunos autodeclarados negros que acessaram vagas universitárias na UERJ na condição de alunos beneficiados pelas ações afirmativas, modalidade cotas, e que chegaram à formatura. Optando por uma abordagem do tipo qualitativa, foram realizadas 16 entrevistas individuais semi-estruturadas a graduados nos seguintes cursos: Direito, Pedagogia, Serviço Social, Odontologia, Ciências Sociais, Ciências Biológicas, História, Letras, Psicologia e Matemática. Articulou um estudo de caráter reflexivo-analítico da literatura pertinente: às políticas de ação afirmativa e seu debate teórico, inseridas num contexto de políticas de o reconhecimento cultural protagonizadas pelos movimentos negros à constituição da experiência de ação afirmativa (Fraser, 2007, 2001; Frankenberger, 1993, 2004); ao atual estágio das políticas de ação afirmativa no Brasil (Guimarães, 2002, 2011; Gomes, 2003); à temática da desigualdade racial existente no país, evidenciada especialmente pela pouca presença de negros no ensino superior (Munanga, 1986, 2010; Carvalho, 2002, 2005); à presença de sujeitos pobres e negros no ensino superior, especialmente os que tiveram acesso à universidade através de ações afirmativas e os caminhos que traçaram até suas formaturas (Teixeira, 2003; Zago, 2006) e, simultaneamente, a realização de uma pesquisa de campo (Candau, 2005, 2003; Valentim, 2005; Lopes & Braga, 2007). Com Goffman (2008), percebeu-se que os alunos cotistas não são reconhecidos como pertencentes à categoria social alunos universitários normais, suas identidades são estragadas e diminuídas, sendo desacreditados ao longo de todo caminho universitário, padecendo de um estigma. Faltaria a eles o atributo indispensável à identidade de aluno normal: o mérito, pensado como uma categoria neutra, objetiva, universal ou natural, destituído dos jogos de poder e das disputas sociais. Aqueles que podem ocultar essa marca são os desacreditáveis. Entretanto, a condição de cotista pode vir à luz, situação que altera a posição de desacreditável para desacreditado. Aqueles que não podem ou não querem ocultar a marca de cotistas são os desacreditados. Os negros cotistas são por excelência os desacreditados. O racismo institucional vigente na universidade responde pela associação aluno negro igual a aluno cotista, de tal forma que, após o implemento da ação afirmativa, que alcança diferentes sujeitos, os alunos negros têm sido imediatamente identificados como alunos cotistas, o que não ocorre com os alunos brancos, que não padecem imediatamente, das conseqüências desse estigma. Devido à natureza flexível e ambígua dos esquemas classificatórios baseados na cor e na mestiçagem que operam na sociedade brasileira, os alunos que têm menores marcas que denunciem sua pertença racial de matriz africana podem gozar do benefício da dúvida deslizando da condição de desacreditado para a de desacreditável. O estudo afirma que os sujeitos pesquisados vivenciaram a experiência universitária tendo enfrentado vicissitudes materiais e simbólicas oriundas das desigualdades socioeconômicas e raciais somadas ao estigma de cotista. Alcançaram suas formaturas com o apoio institucional da universidade através das bolsas a que fizeram jus e de duas importantes estratégias: a condição de estudante trabalhador e o pertencimento a diferentes redes de solidariedade.",https://www.maxwell.vrac.puc-rio.br/colecao.php?strSecao=resultado&nrSeq=19501&idi=1||https://www.maxwell.vrac.puc-rio.br/colecao.php?strSecao=resultado&nrSeq=19501&idi=2||http://doi.org/10.17771/PUCRio.acad.19501,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Silva, Thaíse Araújo da",http://lattes.cnpq.br/6241813272715070,"Andrade, Celeste Maria Pacheco de||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,O negro em Viva o povo brasileiro: representações na ficção ubaldiana,2015,Universidade Estadual de Feira de Santana (UEFS),UEFS,Brasil,DEPARTAMENTO DE LETRAS E ARTES,Mestrado Acadêmico em Estudos Literários,LETRAS::LINGUA PORTUGUESA||LETRAS::LITERATURA BRASILEIRA,openAccess,masterThesis,Literatura||Viva o povo brasileiro||Negro||História,Literature||Black||History,por,"This dissertation analyses the image of blacks in Brazil through the literary representation from the novel Viva o povo brasileiro(1984), by João Ubaldo Ribeiro. The author’s narrative presents the root formation of the Brazilian people, recounting and establishing a critical on country history. From this perspective, Viva o povo Brasileiro acts as a form of reflection by showing scenes which reveals the suffering of a people throughout history of brazil., using the ficcional text as a funding vehicle of images from brazilian society in the specified epoch in pages from the novel. So, the research highlights the black characters from the narrative, with the intention of enhancing the people which were essential to Brazil’s cultural, ethnics and economical formation, insisting on a intertextuality relationship with history of Brazil, by mentioning the representation of the discursive formation, power relationship and the domination elements used against the blacks. In view of this, it’s analysed the ficcional and historical landmarks which features the blacks on the novel through the verisimilitude between episodes from the novel and the historical facts of the country, articulating the ficcional elements of the book to racists discourses, intending to highlight the social system of domination, based ethnic or ""racially"" and its consequent inequality. Thus, from suck analyses, it’s concluded that João Ubaldo Ribeiro’s narrative, is not a historical novel, but rather a literary narrative that represents a meaninful quantity of the historical contexts of the country.",http://localhost:8080/tede/handle/tede/378,Não informado pela instituição,Não informado pela instituição,"SILVA, Thaíse Araújo da. O negro em Viva o povo brasileiro: representações na ficção ubaldiana. 2015. 100 f. Dissertação (Mestrado Acadêmico em Estudos Literários)- Universidade Estadual de Feira de Santana, Feira de Santana, 2015."
"Lopes, Fernando Cruz",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,O negro e a mediação : a ciência da informação como campo de discussão étnico-racial,2014,Universidade Estadual de Londrina (UEL),UEL,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Mediação da informação e relações raciais||Ciência da Informação||Relações étnicas||Abordagem interdisciplinar do conhecimento||Negros||Information science||Ethnic relations||Interdisciplinary approach to knowledge||Blacks - Race identity,Não informado pela instituição,por,"Resumo: Esta pesquisa partiu da percepção de que existem poucos trabalhos que conceituam a discussão étnico-racial na Ciência da Informação brasileira Situação que deve ser considerada preocupante, visto que o Brasil é um país em que a realidade étnico-racial foi por muito tempo tratada como igualitária No entanto, o negro brasileiro é subjugado e dominado pelos mais diferentes sistemas sociais, isso, desde o uso de palavras para afirmação da identidade, até pontos de ação estética onde prevaleça a beleza negra, portanto afirmar-se de origem afro é muito difícil para uma parcela da população, onde o racismo e preconceito ainda estão impregnados O objetivo geral desta Dissertação é investigar o ponto de intersecção entre os estudos de mediação da informação e relações raciais na Ciência da Informação Como objetivos específicos estabeleceu-se: pautar as diversas fases da Ciência com o intuito de relacionar as possibilidades interdisciplinares da mediação da informação; dispor os diferentes discursos acerca das relações étnico-raciais na literatura das Ciências Humanas; propor a relação dos estudos de mediação da informação com os estudos étnico-raciais como parte do escopo da Ciência da Informação, mais especificamente da Mediação da Informação Quanto a metodologia realizou-se uma revisão bibliográfica, a fim de perceber o que já foi discutido na Ciência da Informação acerca do negro Para tanto, também foi necessário discutir a formação dos Estudos Culturais e de que forma esses estudos influenciaram os pesquisadores da Ciência da Informação Obteve-se como resultados uma baixa recuperação de trabalhos produzidos na área que abordem a temática etnico-racial Contudo os trabalhos se encaixavam em discussões pragmáticas acerca de cultura e, portanto de mediação da informação A construção de um corpus téorico sobre as discussões e mediação dependem de mais trabalhos que tratem da CI por um viés da cultura",https://repositorio.uel.br/handle/123456789/15211,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Oliveira, Luiz Carlos de",http://lattes.cnpq.br/7388052990177723,"Soares, Alexandre Sebastião Ferrari||Não informado pela instituição",http://lattes.cnpq.br/2323106437650213||Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,O discurso sobre as cotas para negros na revista Veja.,2013,Universidade Estadual do Oeste do Paraná (UNIOESTE),UNIOESTE,BR,Linguagem e Sociedade,"Programa de Pós-Graduação ""Stricto Sensu"" em Letras","CNPQ::LINGUISTICA, LETRAS E ARTES::LETRAS",openAccess,masterThesis,Análise do Discurso||revista Veja||imprensa||cotas para negros,Discourse Analysis||Veja magazine||press||quotas for black people,por,"In this study, I discuss the discourse about the quotas for black people in the pages of Veja magazine. I established as a time frame for the research the years from 2009 to 2011. The main question of the study is to set how the discourse in the weekly magazine is constituted. Thus, the central objective of this work, supported by the theoretical principles of the French Discourse Analysis, is to comprehend how the discursive process about the quotas for black people in the magazine is constituted during the established time frame, time in which the topic is in a strong debate in the National Congress of Brazil and in the Federal Supreme Court, also gaining the pages of the press. The study is based mainly on studies of Mariani (1998), Moura (2004), Orlandi (2007a [1999], 2007b [1992]) and Pêcheux (2009 [1988], 2008 [1990]). Through online research at the address <http://veja.abril.com.br/acervodigital/>, it was possible to search the texts that discussed the quotas for blacks. The search for texts online was guided by prior establishment of keywords: affirmative action, affirmative action policies, quotas, racial quotas, university reserving quotas, race, miscegenation, black (male, female), blacks, African descendant, African descendants, discrimination, prejudice, racism. The keywords were considered from the pre-reading of magazine s reports in which the discussion about the quotas occurred and from the objectives set for the research: to highlight the strategies used in the discursive constitution of Veja as a way to organize and support its discourse; to reflect the conditions of production that mark the production of discourse about the topic; to comprehend what imaginary about the black is present in the magazine s discourse to address the quotas; by highlighting the discursive formations prevalent in the analysis of the corpus, to bring the main aspects of the discursive process about the quotas for black people. For the analysis, I selected discursive sequences considering the paraphrastic course, i.e., the reinforcement and the sedimentation of determined meaning effects about the topic in the pages of the weekly magazine. Besides, I selected for analysis eight reader s letters and nine photographs. I structured the discussion guided by three articulated axis that constitute this study: the historical feature about the presence of blacks in Brazil and its developments; theoretical questions that involve the press; and finally the analysis of the corpus. It can be concluded that, supported by the pre-constructed of racial democracy and individual merit allied to legal equality, Veja opposes the quotas for blacks and, for that, mobilizes the discourse of experts and blacks against the quotas and the discourse of science, silencing the claims of pro-quota movements and pointing to other mechanisms that enable the integration of blacks that do not consider the quotas. Producing, therefore, meaning effects of danger , risk , political and ideological interference of the Worker s Party federal government and racialization of the country. In this process, the black is imaginatively produced in a dual way, good or bad, according to the discursive positions supported by the magazine.",http://tede.unioeste.br:8080/tede/handle/tede/2348,Não informado pela instituição,Não informado pela instituição,"OLIVEIRA, Luiz Carlos de. O discurso sobre as cotas para negros na revista Veja.. 2013. 153 f. Dissertação (Mestrado em Linguagem e Sociedade) - Universidade Estadual do Oeste do Parana, Cascavel, 2013."
"Silva, Carolinne Mendes da",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"O negro no cinema brasileiro: uma análise fílmica de Rio, zona norte (Nelson Pereira dos Santos, 1957) e A Grande Cidade (Carlos Diegues, 1966)",2013,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Black||Brazilian cinema||Cinema brasileiro||Cinema novo||Cinema novo||Cultura popular||Negro||Popular culture,Não informado pela instituição,por,"Esta dissertação visa discutir a representação do negro em dois filmes brasileiros: Rio, Zona Norte (Nelson Pereira dos Santos, 1957) e A Grande Cidade (Carlos Diegues, 1966). Objetiva-se compreender de que modo estas narrativas fílmicas definem o lugar dos personagens negros e conjugam certas relações sociais na estrutura dramática. Nos dois filmes, a presença de personagens negros no espaço urbano do Rio de Janeiro é elemento constitutivo da diegese e revela a disposição dos diretores em abordar o tema racial, num contexto de ampliação do debate sobre a cultura brasileira, especialmente, a cultura popular. Demonstramos que a problemática racial está presente nos filmes citados, ainda que não formulada em um discurso verbal. Assim, em cada um deles, a representação do negro se articula com uma representação do popular, de forma diferente. Em Rio, Zona Norte, a incorporação do negro já demonstra tensões em uma reflexão sobre o engajamento nacionalpopular. Em A Grande Cidade estas tensões são exacerbadas em uma reflexão sobre a crise daquele engajamento.",http://www.teses.usp.br/teses/disponiveis/8/8138/tde-30102013-112053/,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Francisco, Flávio Thales Ribeiro",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,O novo negro em perspectiva transnacional. Representações afro-americanas sobre o Brasil e a França no jornal Chicago Defender (1916-1940),2014,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,African-Americans||Afro-americanos||Blacks||Brasil||Brazil||Estados Unidos||França||France||Negros||Transnacional||Transnational||United States,Não informado pela instituição,por,"Esta tese analisa as representações sobre o Brasil e a França enquanto modelos de fraternidades raciais nas páginas do jornal Chicago Defender entre 1916 e 1940. Este periódico emergiu no entre guerras como a principal referência da imprensa afroamericana. Nesta pesquisa, demonstramos o engajamento do Chicago Defender na luta pela integração dos negros nos Estados Unidos, difundindo entusiasmadamente imagens de um novo negro alinhado à modernidade. Após uma onda de violência racial que varreu o território norte-americano em 1919, o Chicago Defender passou a investir na publicação de artigos e notícias sobre o Brasil e a França, identificando nos dois países exemplos de ordens sociais livres de práticas racistas e referências de mobilidade social que possibilitariam a ascensão de um novo negro.",http://www.teses.usp.br/teses/disponiveis/8/8138/tde-26052015-115255/,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Dadie, Gilmara Aparecida Guedes dos Santos",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Personagens negros, protagonistas nos livros da educação infantil: estudo do acervo de uma escola de educação infantil do município de São Paulo",2013,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Black characters||Chirdrens literature||Early childhood education||Educação infantil||Literatura infantil||Personagens negros||PNBE||PNBE,Não informado pela instituição,por,"A presente pesquisa teve como objeto de investigação livros de literatura infantil que apresentam personagens protagonistas negros, presentes na biblioteca escolar de uma escola municipal de educação infantil (EMEI) da cidade de São Paulo, cujo acervo é composto por livros enviados pelo programa de compras da Prefeitura do Município de São Paulo e pelo Programa Nacional Biblioteca da Escola (PNBE). A pesquisa foi realizada em três etapas: (1) levantamento e análise das listagens e dos livros selecionados e enviados pelo PNBE às escolas brasileiras de educação infantil nos anos de 2008 e 2010; (2) levantamento e exame de todas as obras pertencentes ao acervo da EMEI; (3) leitura de cada uma destas obras e análise do grupo de livros com personagens negros. O aporte teórico utilizado diz respeito à literatura, à literatura infantil, a estudos referentes ao negro e a sua representação. Após análise das listagens e dos livros do PNBE, concluiu-se que (1) entre os anos de 2008 e 2010 este programa enviou às escolas de educação infantil quatro obras que apresentam personagens negros como protagonistas. No acervo da EMEI, dentre os 1500 livros de literatura infantil, foram encontradas 33 obras com protagonistas negros; (2) considerando a diminuta quantidade de obras com protagonistas negros encontradas durante esta pesquisa, concluiu-se que esses personagens estão sub-representados tanto no acervo da EMEI, como no programa PNBE (3) algumas obras do acervo apresentam estereótipos em relação ao personagem negro e alguns elementos implícitos e explícitos de preconceito. O estudo verificou também que diversos livros do acervo valorizam elementos da corporeidade e estética negra, além de aspectos e valores das culturas africanas e afro-brasileiras. Esta pesquisa pretende contribuir para reflexões a respeito de livros com personagens negros que compõem acervos de EMEIs, oferecendo elementos para um trabalho pedagógico com profissionais da educação e crianças que valorize a diversidade.",http://www.teses.usp.br/teses/disponiveis/48/48134/tde-18122014-103728/,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
