Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Área do conhecimento CNPq,Tipos de acesso,Tipo de documento,Assuntos em português,Assuntos em inglês,Idioma,Resumo,Link de acesso,Resumo em Português,Resumo em Inglês,Referência Bibliográfica
"Pereira, Flávia Lago de Jesus",Não informado pela instituição,"Sampaio, Gabriela dos Reis||Não informado pela instituição",Não informado pela instituição,"Sampaio, Gabriela dos Reis||Negro, Antônio Luigi||Pereira, Leonardo Affonso de Miranda||Não informado pela instituição||Não informado pela instituição||Não informado pela instituição||Não informado pela instituição",Não informado pela instituição,"Modernizar as cidades, civilizar os costumes: repressão a espíritas e candomblecistas na Bahia republicana (1920-1940)",2015,Universidade Federal da Bahia (UFBA),UFBA,brasil,Não informado pela instituição,Programa de Pós-Graduação em História,Ciências Humanas,openAccess,masterThesis,Candomblé||Espiritismo||Repressão||Bahia||República||Spiritism||Repression||Republic,Não informado pela instituição,por,"O presente trabalho tem como objetivo analisar a repressão a espíritas e candomblecistas na Salvador republicana entendendo que essas ações que mobilizaram diversos agentes – policiais, juristas, governantes, médicos, jornalistas, advogados – em nome da modernização e civilização dos costumes, tinham nas tensões raciais e socioeconômicas da época seu fundamento principal. Adentrando o contexto da Salvador dos anos 1920 e 1930 e tomando como ponto de partida a cobertura da imprensa a diferentes casos de perseguição a candomblecistas e espíritas, a pesquisa se propõe a entender como se efetivaram as ações policiais e dos governantes contra os terreiros e centros espíritas, quais os critérios e/ou categorias foram empregadas para justificar a perseguição a determinadas práticas. Assim, torna-se crucial compreender como médicos, advogados, juristas e imprensa se envolveram nos debates em torno da criminalização dessas crenças e as categorias por eles desenvolvidas para justificar ou não a repressão, apreendendo as divergências de opiniões que existiam. Mesmo tratando-se de religiões distintas verifica-se que, no cotidiano, certas práticas espíritas e do Candomblé, estiveram muito próximas, dando origem a experiências diversas. Essas aproximações não passaram despercebidas dos agentes repressores, que desenvolveram categorias classificatórias e acusatórias específicas para lidar com essas situações. Torna-se fundamental, portanto, investigar a construção das categorias “falso” e “baixo” espiritismo em oposição ao “verdadeiro” e “alto” espiritismo. Elas se tornaram essenciais, naquele contexto de tentativas de controle das diferentes práticas dos trabalhadores, principalmente porque permitiram direcionar o combate às vivências de negros e pobres. Diante disso é objetivo deste trabalho compreender quais as estratégias utilizadas por candomblecistas e espíritas para enfrentar a perseguição e os processos de criminalização e, ao mesmo tempo, como os adeptos dessas crenças vão recorrer a diferentes alternativas que incluíam a construção de identidades que fossem legitimadas e reconhecidas socialmente. Neste ínterim, é fundamental entender o papel das noções de “tradição” e “caridade” enquanto categorias legitimadoras de algumas práticas religiosas em detrimento de outras e de que modo elas tornaram-se centrais para o povo de santo e os espíritas na busca por validar suas crenças.",http://repositorio.ufba.br/ri/handle/ri/31924,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Sales Júnior, Dário Ribeiro de",Não informado pela instituição,"Rabelo, Miriam Cristina Marcilio||Não informado pela instituição",Não informado pela instituição,"Parés, Luis Nicolau||Souza, Iara Maria de Almeida||Não informado pela instituição||Não informado pela instituição||Não informado pela instituição||Não informado pela instituição",Não informado pela instituição,Sobre olhar e aprender: um estudo sobre o processo de aprendizado religioso de crianças candomblecistas,2013,Universidade Federal da Bahia (UFBA),UFBA,brasil,Não informado pela instituição,Programa de Pós-Graduação em Ciências Sociais,Sociologia,openAccess,masterThesis,Aprendizado||Crianças||Candomblé||Habilidades e percepção||Learning||Orisha religion||Perception and abilities,Não informado pela instituição,por,"O objetivo geral desta dissertação é propor uma alternativa teórica para a compreensão dos processos de aprendizagem, tendo como ponto de partida a observação e análise de como as crianças candomblecistas aprendem a lidar com as demandas implicadas no pertencimento religioso. Entenda-se por demandas: (1) as habilidades que as suas posições na hierarquia sacerdotal solicitam, bem como (2) as relações que são estabelecidas com as entidades espirituais e com outros membros do grupo religioso e (3) o enfrentamento de episódios de intolerância religiosa. Durante aproximadamente quatorze meses eu desenvolvi pesquisa etnográfica junto a nove crianças em dois terreiros de Candomblé da região metropolitana de Salvador, Bahia. A partir da análise das relações que as crianças estabelecem com outros membros mais habilidosos e com o ambiente no qual elas habitam, busquei compreender o que as crianças querem dizer quando afirmam que aprendem olhando. Defendo que, para elas, obervar alguém é o mesmo que participar de uma atividade. Observar é o mesmo que seguir os passos de outros seres humanos e não-humanos e, portanto, não pode ser definido como uma atitude meramente passiva. Aponto que as brincadeiras infantis que envolvem aspectos religiosos são fundamentais para o desenvolvimento de um habitus. Além disso, as cerimônias públicas do Candomblé constituem excelentes oportunidades para que as crianças possam desenvolver e refinar algumas de suas habilidades. Conclui que as crianças aprendem a partir de seu envolvimento diário nas dinâmicas do terreiro e o que elas aprendem são disposições corporificadas para agir e não representações acerca do mundo. Esse tipo de aprendizado está assentado em um senso de familiaridade que precede o processo formal de iniciação religiosa. Por fim, procuro evidenciar como o engajamento religoso e sua consequente objetificação do sujeito implica ter que lidar com episódios de intolerância religiosa na infância. Dados etnográficos e o paradigma da corporeidade neo-fenomenológico alicerçam e guiam as reflexões aqui esboçadas. This thesis’ main aim is to propose an theorical alternative for understanding the religious learning processes, taking as its starting point the observation and analysis of how children who follow the Candomblé, an Afro-Brazilian religion, handle the demands of their religion. By demands I mean: (1) the skills that are required by their positions in the sacerdotal hierarchy of that religion, (2) the relationships that are established with spiritual entities and other members of the religious group and (3) dealing with episodes of religious intolerance. During almost fourteen months I carried on an ethnographic research in two terreiros (cult house) of Candomblé in the metropolitan area of Salvador, the capital of the State of Bahia, Brazil. Based on analysis of the relations that the children establish with others more skilled Candomblé practitioners and the environment they dwell in, I sought to understand what the children mean when they say that they learn by observing other people’s actions. I claim that for them to look at someone is a synonym for taking part in an activity, it means to follow other (human and non-human) beings’ paths and, therefore, cannot be defined as a simple passive attitude. I point out that the children’s games which involve some religious aspect are fundamental to the development of a habitus. Besides, the public rituals of Candomblé are notably opportunities for kids to develop and refine some of their skills. I conclude that the children learn through their daily engagement in the terreiros’ dynamic and what they learn are embodied dispositions to act and not representations about the world. This kind of learning is grounded on a sense of familiarity which precedes the formal process of initiation in the religion. Finally, I intend to demonstrate how the religious engagement and its consequent objectivizing of the subject implies learning how to struggle against religious intolerance in the childhood. Ethnographic data, the theory of practice and a neo-phenomenological embodiment paradigm ground and guide the reflections here outlined.",http://repositorio.ufba.br/ri/handle/ri/13685,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Franco, Gilciana Paulo",http://lattes.cnpq.br/7592358904860493,"Lages, Sônia Regina Corrêa||Não informado pela instituição",http://lattes.cnpq.br/6684928015207123||Não informado pela instituição,"Berkenbrock, Volney José||Caputo, Stela Guedes||Silveira, Emerson Sena da||Daibert Junior, Robert||Não informado pela instituição",http://lattes.cnpq.br/9207828747603506||http://lattes.cnpq.br||http://lattes.cnpq.br/9373911393003409||http://lattes.cnpq.br/0616922572365002||Não informado pela instituição,"Juventude, ciberativismo e religião: um estudo sobre a movimentação de jovens umbandistas e candomblecistas nas redes sociais",2024,Universidade Federal de Juiz de Fora (UFJF),UFJF,Brasil,ICH – Instituto de Ciências Humanas,Programa de Pós-graduação em Ciência da Religião,CNPQ::CIENCIAS HUMANAS,openAccess,doctoralThesis,Juventude||Umbanda||Candomblé||Ciberativismo||Racismo religioso||Gioventù||Umbanda||Candomblé||Cyberattivismo||Razzismo religioso,Não informado pela instituição,por,"Compreender como a juventude de terreiro vem utilizando as redes sociais como um instrumento de valorização das tradições religiosas de matriz africana e, ao mesmo tempo, como um meio de combate ao racismo nas suas diversas facetas foi a principal motivação da nossa pesquisa. As redes sociais se tornaram o nosso campo de pesquisa onde passamos a observar descrever, interagir e analisar as postagens feitas por três grupos de jovens pertencentes as religiões afro-brasileiras como a umbanda e o candomblé: O Juventude de Terreiro do Espírito Santo (JT-ES), o Juventude de Terreiro da Rede Nacional de Religiões Afro-Brasileira e Saúde (JREANAFRO), e o Juventude Centro Nacional de Africanidades e Resistência Afro-brasileira/Norte de Minas Gerais (JCENARAB/NM). Os jovens estão cada vez mais conectados com as redes sociais que tem se tornado um local de comunicação ativa, onde deixamos de ser expectadores e passamos a interagir com as postagens através de comentários, curtidas e comentários. Podemos dizer que as redes sociais também se tornaram um local de luta por direitos negados a determinados grupos que ainda sentem na pele os efeitos do colonialismo, onde a sociedade foi estruturada sob os pilares do machismo, do racismo, do apagamento de culturas, dos silenciamentos, das inviabilidades e exclusões dos negros, dos indígenas, das mulheres e as suas vivências socioculturais. No que se refere a metodologia de pesquisa, optamos pela etnografia virtual utilizando como uma importante referência a tese de Borges (2019) que destaca a importância do ciberativismo na luta contra o racismo/racismo religioso. Com o campo de pesquisa determinado passamos a observar, interagir e analisar as publicações feitas pelos três grupos de jovens no Instagram, Faceboock e Whatsapp. Como ferramentas de abordagem utilizamos questionários, conversas via Whatsapp, trocas de mensagens através do Direct no Instagram, observação do campo e participação em reuniões juntamente ao Juventude de Terreiro do Espírito Santo. Outro método utilizado foi a revisão bibliográfica buscando compreender melhor sobre temáticas como conceitos sobre o tema juventude, ciberativismo, racismo, intolerância religiosa, ambos importantes para responder a questionamentos relevantes da tese. A análise de documentos também foi um método utilizado, com o objetivo de descrever a história de cada um dos grupos envolvidos na pesquisa. Pretendemos compreender como tem sido protagonizada, no âmbito das redes sociais, a relação da juventude com a sua religiosidade e como a mesma tem utilizado o ciberativismo como um caminho plausível para denunciar e lutar contra o racismo religioso responsável por diversas violências sofridas pelos praticantes de religiões de matriz africana, como por exemplo, a verbal, a simbólica, a física e a psíquica. . Após a coleta de dados, a observação do campo, a interação com os três grupos de jovens envolvidos na pesquisa e a análise dos dados coletados, chegamos à conclusão que as redes sociais têm sido um espaço muito utilizado como um importante instrumento de combate ao racismo/racismo religioso e ao mesmo tempo como um local de dialogo e troca de conhecimento em prol da valorização das crenças religiosas de matriz africana. O ciberativismo emergiu como um movimento de suma importância no que se refere a ampliação das vozes dos jovens de terreiro se estendendo do espaço físico para o espaço virtual. Porém não podemos deixar de mencionar que as redes sociais também têm sido muito utilizadas como um local para reforçar os discursos de ódio contra as Cttro (Comunidade Tradicional de Terreiro) o que confirma assim a necessidade de haver movimentos que lutem pela consolidação de políticas públicas voltadas para o combate a intolerância religiosa e o desrespeito a liberdade de expressão e crença, ambas, garantidas pela Constituição brasileira.",https://repositorio.ufjf.br/jspui/handle/ufjf/17701,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Barros, Tiago Barreto de",http://lattes.cnpq.br/9036623777488741,"Dallago, Saulo Germano Sales||Não informado pela instituição",http://lattes.cnpq.br/3928124448700815||Não informado pela instituição,"Dallago, Saulo Germano Sales||Nunes, Alexandre Silva||Malveira, Ricardo Ribeiro||Não informado pela instituição||Não informado pela instituição",Não informado pela instituição,Estudos preliminares candomblecistas para criação de máscaras com materiais recicláveis,2022,Universidade Federal de Goiás (UFG),UFG,Brasil,Escola de Música e Artes Cênicas - EMAC (RG),Programa de Pós-graduação em Artes da Cena (EMAC),"LINGUISTICA, LETRAS E ARTES::ARTES::TEATRO",openAccess,masterThesis,Artes da Cena||Candomblé||Máscara||Orixá||Sustentabilidade ambiental,Não informado pela instituição,por,"Este trabajo tiene como objetivo los estudios de Máscara Escénica Inspirada en Orixá, concatenando Teatro de Máscaras, Candomblé, Orixá y sustentabilidad ambiental en diseños de máscaras. Buscando una máscara, encontró el “enmascaramiento” del investigador Prof. Dr. Felisberto Sabino da Costa (2015) – Energía escénica de la máscara en relación de la animación con el actor significante en artista teórico-máscara-público. En el Teatro de Formas Animadas, de la dramaturga Profa. Dr. Ana María Amaral (2008, 2011, 2013) y en el Teatro de Máscaras de Valmor Nini Beltrame y Milton de Andrade (2010), consultamos autores, técnicas y contextos para enmascaradores y extranjeros. Consideramos a Coupeau y Lecoq en las tipologías y conceptos de los formatos de mascarada y como propuestas teatrales didáctico-pedagógicas con máscaras de Elizabeth Pereira Lopes, permeando los estudios del imaginario simbólico. Desde el Candomblé de Rituales de la Nación Representación de Conjuntos Simbólicos, y Culto, los Orixá en Máscaras de Dos Rituales, contemplar los personajes y las jerarquías de los fenómenos, aparecer y percibir al Orixá lleno de características arquetípicas, dos rituales. escénico, probado y representable. En representaciones de máscaras, indicaciones, rasgos arquetípicos, dominios sobre elementos de la naturaleza, o del entorno, como combinaciones de rasgos y técnicas de enmascaramiento. Mencionamos la rentabilidad de la obra de arte reciclable, conocer imágenes de máscaras en los rituales, historias míticas en la investigación artística como herramientas de estudio como el Método Matrix, el estudio de mitos realizado por Gilbert Durand (1993) y el Análisis Iconográfico para interpretar imágenes, asociación en varias áreas de conocimiento relacionadas con esta investigación. Tratamos la sustentabilidad ambiental en conceptos, relaciones con axé, con el paradigma, fomentando técnicas, tecnologías, elecciones de bocetos de vestimentas características en elecciones de materiales, situaciones de reproductibilidad del arte y generación de arte, considerando la pandemia del Covid-19. Finalmente, indicamos la idea de en este trabajo para que esta investigación obtenga incentivos como personas para vivirla en contextos práctico-artístico-profesional.",http://repositorio.bc.ufg.br/tede/handle/tede/12303,Não informado pela instituição,Não informado pela instituição,"BARROS, T. B. Estudos preliminares candomblecistas para criação de máscaras com materiais recicláveis. 2022. 163 f. Dissertação (Mestrado em Artes da Cena) - Universidade Federal de Goiás, Goiânia, 2022."
"Rodrigues, Maxsuel Quenil Pimentel",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,A infância candomblecista: Os aprendizados construídos pelas crianças no Terreiro Ilé Axé Igbá Omi,2021,Universidade do Estado do Rio de Janeiro (UERJ),UERJ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,African Matrix Religions||Children||Belonging||Religiões de Matriz Africana||Crianças||Pertencimento||Candomblé||CIENCIAS HUMANAS::EDUCACAO::TOPICOS ESPECIFICOS DE EDUCACAO,Não informado pela instituição,por,"Diante da diversidade de religiões existentes no Brasil, escolheu-se o Candomblé, cuja trajetória foi marcada pela proibição, perseguição e silenciamento, fundamentados por uma concepção demonizada de suas práticas e de seus participantes. A análise aqui proposta pretende investigar, por meio da observação e de uma escuta sensível das crianças que frequentam o terreiro, como elas vivenciam a infância neste espaço, e de que maneira aprendem a lidar com as demandas implicadas como habitus religioso. Neste caso, trata-se de uma pesquisa etnográfica, na qual adotamos entrevistas individuais e a pesquisa participante. O campo de pesquisa é o terreiro de Candomblé Ilé Axé Igbá Omí, tendo como babalorixá o sr. Alexandre Cheuen de Logun Edé. A roça de santo está situada na cidade de São João de Meriti, na Baixada Fluminense e, reconhecendo a importância da atuação das crianças nas pesquisas acadêmicas, optamos por conhecer, ouvir e acompanhar 3 crianças que têm idades entre 4 e 12 anos. Ao ouvir essas crianças, minha pesquisa busca construir uma experiência, que coloca o Candomblé como detentor de uma cosmovisão, de base africana, com valores pautados sob uma visão de mundo milenar, que contraria, em parte, os valores da razão do Estado e, por conseguinte, da escola, pois estes, em muitos momentos, ainda estão ancorados numa visão eurocêntrica (branca, cristã e antiafricana)","RODRIGUES, Maxsuel Quenil Pimentel. A infância candomblecista: Os aprendizados construídos pelas crianças no Terreiro Ilé Axé Igbá Omi. 2021. 94f. Dissertação (Mestrado em Educação, Cultura e Comunicação) - Faculdade de Educação da Baixada Fluminense, Universidade do Estado do Rio de Janeiro, Duque de Caxias, 2021.||http://www.bdtd.uerj.br/handle/1/16965",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Reis, Eudaci da Silva",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"A representação social da saúde e da doença para candomblecistas da nação Ketu: conhecimentos, pandemia e cuidados",2022,Universidade do Estado do Rio de Janeiro (UERJ),UERJ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Candomblé||Health||Ilness||Social representations||COVID-19||Candomblé||Saúde||Doença||Representações sociais||Covid-19||CIENCIAS DA SAUDE::ENFERMAGEM,Não informado pela instituição,por,"Este trabalho tem como objeto de estudo as representações da saúde e da doença para os candomblecistas da nação Ketu, na região da Baixada Fluminense no Rio de Janeiro, e como objetivos: descrever as representações sociais da saúde e da doença para os praticantes do candomblé da nação ketu; descrever práticas de cuidado em seus terreiros e em suas vidas religiosas; analisar estas representações com vistas apontar cuidados para este grupo social. Trata-se de um estudo qualitativo, descritivo, embasado na teoria das representações sociais, a partir do olhar da abordagem processual. Foi desenvolvido na região da Baixada Fluminense com 30 iniciados nesta nação do candomblé, de diferentes terreiros. Os dados foram coletados em duas etapas, sendo a primeira através de um questionário sociodemográfico para a caracterização dos participantes e a segunda através da entrevista semiestruturada e em profundidade. A análise dos dados se deu pela estatística descritiva, com apoio do software Excel for Microsoft®, para os dados quantitativos, e através da análise lexical a partir do software Iramuteq, para os qualitativos. Foram adotados e obedecidos todos os requisitos de ética em pesquisa e a aprovação de sua eticidade pode ser observada no parecer: 4.021.453 e no CAAE31050020.00005282. Com relação à caracterização, destaca-se que 56,7% são mulheres, 54% possuem idade até 44 anos, 73,3% estudaram até o ensino médio e 56% possuem até 14 anos de iniciado. A análise gerou dois grandes eixos e cinco classes, que foram assim divididos: Eixo 1, o mundo religioso do candomblé e o processo saúde, doença e a morte, composto pelas classes 5, o desenvolvimento na fé dos orixás a partir do processo de saúde e doença: sentidos, aprendizados e morte; Classe 2, o processo de cuidado nos terreiros de candomblé: do diagnóstico ao tratamento; e Classe 4, entre o humano e o divino: ancoragens da pandemia da Covid-19. Ao mesmo tempo, o Eixo 2, entre o equilíbrio e o desequilíbrio: representações saúde e da doença, composto pelas classes 1, adoecer para os adeptos do candomblé: a tensão entre as dimensões negativas e positivas da vida e a presença do cuidado integral ao corpo humano; classe 3, conceitos de saúde para os candomblecistas: integralidade e políticas públicas. Conclui-se que as representações da saúde e da doença se relacionam à integralidade humana, ao desequilíbrio nesta integralidade e ao seu novo alcance em função do axé.","REIS, Eudaci da Silva. As representações sociais da saúde e da doença para Candomblecistas da Nação Ketu: conhecimentos, pandemia e cuidados. 2022. 98 f. Dissertação (Mestrado em Enfermagem) - Faculdade de Enfermagem, Universidade do Estado do Rio de Janeiro, Rio de Janeiro, 2022.||http://www.bdtd.uerj.br/handle/1/19002",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Chaves Juniór, Luiz ALberto",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Identidade candomblecista em foco : a história de vida como axé pedagógico,2015,Universidade Federal do Estado do Rio de Janeiro (UNIRIO),UNIRIO,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,CIÊNCIAS HUMANAS||EDUCAÇÃO||Life Story||Candomblé||Identity||Curriculum||Interculturality||História de Vida||Candomblé||Identidade||Currículo||Interculturalidade,Não informado pela instituição,por,"Dissertação também disponível em formato impresso, com o número de chamada CCH MEDU 2015/23","CHAVES JUNIOR, Luiz Alberto. Identidade candomblecista em foco: a história de vida como axé pedagógico. 2015. 164 f. Dissertação (Mestrado em Educação)-Universidade Federal do Estado do Rio de Janeiro, Rio de Janeiro, 2015.||http://hdl.handle.net/unirio/12295",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Franco, Gilciana Paulo",http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4993966D9,"Berkenbrock, Volney José||Não informado pela instituição",http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4708342D2||Não informado pela instituição,"Daibert Junior, Robert||Silva Júnior, Reinaldo da||Não informado pela instituição||Não informado pela instituição||Não informado pela instituição",http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4760097U7||http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4227676Y7||Não informado pela instituição||Não informado pela instituição||Não informado pela instituição,O trânsito religioso protagonizado por umbandistas e candomblecistas no Terreiro do Pai Carlinhos Cabral de Oxum: uma análise da convivência religiosa dentro de um terreiro misto em Juiz de Fora,2016,Universidade Federal de Juiz de Fora (UFJF),UFJF,Brasil,ICH – Instituto de Ciências Humanas,Programa de Pós-graduação em Ciência da Religião,CNPQ::CIENCIAS HUMANAS::TEOLOGIA,openAccess,masterThesis,Umbanda||Candomblé||Trânsito religioso||Pai Carlinhos Cabral||Umbanda||Candomblé||Religious Syncretism||Father Carlinhos Cabral,Não informado pela instituição,por,"A presente dissertação tem como principal objetivo analisar o trânsito religioso afro-brasileiro protagonizado por umbandistas e candomblecistas pertencentes ao Terreiro do Pai Carlinhos Cabral de Oxum. Analisaremos as principais mudanças ocorridas no espaço físico, na simbologia, nos rituais e nas relações do sujeito de fé dentro do terreiro com a chegada do candomblé a este espaço sagrado. Também iremos abordar de que forma o adepto (filho do terreiro) constrói a sua identidade religiosa a partir do contato com elementos específicos da tradição (Umbanda) e da modernidade (Candomblé).",https://repositorio.ufjf.br/jspui/handle/ufjf/2182,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Morais Junior, Evandro Luiz Andrade",http://lattes.cnpq.br/0610373924248294,"Maia, Carlos Eduardo Santos||Não informado pela instituição",http://lattes.cnpq.br/9080217578713778||Não informado pela instituição,"Maia, Carlos Eduardo Santos||Moreira, Jorgeanny de Fatima Rodrigues||Borges, Ronan Eustáquio||Não informado pela instituição||Não informado pela instituição",Não informado pela instituição,Pre-sença e cartografia existencial candomblecista: estudo de caso no terreiro Ilê Asé Omo Ayrá em águas lindas de Goiás-Go,2023,Universidade Federal de Goiás (UFG),UFG,Brasil,Instituto de Estudos Socioambientais - IESA (RG),Programa de Pós-graduação em Geografia (IESA),CIENCIAS HUMANAS::GEOGRAFIA::GEOGRAFIA REGIONAL::ANALISE REGIONAL,openAccess,masterThesis,Existência||Pre-sença||Candomblé||Praticante,Existence||Practitioner,por,"The present work proposes discussions and reflections about the phenomena of candomblecist practices that are established in the daily space-time of the terreiro, attributing a path of existential meaning to the being. The main object of study will be the terreiro Ile Asè Omo Ayrà, located in the municipality of Águas Lindas de Goiás, in which it proposes to analyze daily tasks and the spatial understandings that emerge in a network of interactions and fundamental representations about the presence of the practitioner. . In this sense, we seek to establish possible phenomenal connections about existential understandings through the use and construction of existential cartography. The research is based on qualitative methods as a resource to deepen the theme addressed. For this, a bibliographical, documentary and phenomenological survey is used, using the works of Heidegger (2002,2001, 2012,1995), in all stages applied in the research. In addition, the construction and application of semi-structured interviews will serve as a basis for investigating phenomena related to practices in the space-time of the terreiro, building and traversing a path on existential analytics. These interviews will analyze aspects that permeate the candomblecist world, bringing their voice and understanding of the phenomena attributed to presence. Dissertations by authors such as Mafessoli, Tuan, Morais, Heidegger, Parés, Bachelard, among others, will be used. The fundamental concepts worked on, based on the cited works are: presence, existence, being, meta-ethnic, space, social grouping and cartography. It is concluded that the phenomenological method constitutes a mode of existence on the practitioner's unveiled truth, giving him an interpretation on the phenomena that permeate his worldliness.",http://repositorio.bc.ufg.br/tede/handle/tede/13061,Não informado pela instituição,Não informado pela instituição,"MORAIS JUNIOR, E. L. A. Pre-sença e cartografia existencial candomblecista: estudo de caso no terreiro Ilê Asé Omo Ayrá em águas lindas de Goiás-Go. 2023. 159 f. Dissertação (Mestrado em Geografia) - Instituto de Estudos Socioambientais, Universidade Federal de Goiás, Goiânia, 2023."
Sérgio Teixeira da Silva,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Os/as educandos/as candomblecistas e umbandistas da educação de jovens e adultos: sentidos atribuídos ao processo de escolarização,2019,Universidade Federal de Minas Gerais (UFMG),UFMG,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Educação de jovens e adultos||Religiosidades de Matrizes Africanas||Racismo religioso||Diferenças||Educação de adultos||Educação -- Aspectos religiosos||Candomble||Umbanda||Cultos afro-brasileiros||Discriminação na educação||Religião nas escolas públicas,Não informado pela instituição,por,"Esta disertación es el resultado de una investigación que tuvo por objetivo comprender los sentidos que educandos y educandas candomblecistas y umbandistas de la Educación de Jóvenes y Adultos atribuyen al proceso de escolarización. Para ello, se seleccionaron a 06 estudiantes, siendo tres hombres y tres mujeres, tres umbandistas y tres candomblecistas. Sus edades oscilaban entre 26 y 59 años. El referencial teórico adoptado privilegió los enfoques teóricos y conceptuales propios de los Estudios Culturales, del Multiculturalismo Crítico y del Pensamiento Complejo. Además de poner en relieve conceptos tales como identidades y diferencias, la investigación en cuestión tuvo en cuenta las categorías de subjetividad social y sentido subjetivo. En ese proceso, se valió de las contribuciones de autores como Arroyo (2014/17), Caputo (2012), Da Silva (2014), Dayrell (1996), Freire (1987/96), Gadotti (1997), Mclaren (1997) (2005), Morin (2005), Oliveira (2012), Ortiz (1991), Prandi (2001), Santos (2015), Ude (2005), entre otros. La perspectiva metodológica adoptada se referenció en la epistemología cualitativa, en la subjetividad social propuesta por González Rey (2015), así como en la fenomenología. Por medio de cuestionarios semiestructurados y entrevistas en profundidad, el estudio evidenció cuatro núcleos de sentidos atribuidos por educandos/as umbandistas y candomblecistas en la Educación de Jóvenes y Adultos: a) el primero está relacionado a los procesos de exclusión y subyugación de los/las educandos/as. La escolarización es percibida aquí como fuente de vergüenza y de sufrimiento; b) el segundo está relacionado con las formas de resistencias, por medio de la afirmación de la identidad y demarcación de las diferencias. Tanto las creencias como las simbologías religiosas son percibidas como fuente de orgullo y de enfrentamiento a la exclusión; c) el tercer núcleo de sentido se refiere a las carencia de estudios sobre la Historia y Cultura de África en el espacio escolar, especialmente en lo que se refiere a las religiosidades de las matrices africanas; d) el cuarto núcleo de sentido está relacionado con la demarcación religiosa de matriz cristiana en el espacio escolar. Por medio de imágenes, crucifijos y rituales, las escuelas públicas evidencian su carácter monocultural, lo que produce sufrimiento y discriminación de otros grupos religiosos, especialmente los adeptos de religiosidades de matrices africanas. Para los sujetos de la investigación, la escuela ha representado un no-lugar, ya que no encuentran sentido de pertenencia en ese espacio, no son respetados/as como consecuencia de sus identidades religiosas. Además, los datos empíricos revelan que esos sujetos son silenciados, invisibilizados/as y hostilizados/as por colegas y educadores/as. Esto no quiere decir, sin embargo, que esos sujetos sean pasivos. Ellos tratan diariamente bravas luchas del combate de la intolerancia, las discriminaciones y el racismo religioso, buscando la garantía de sus derechos dentro y fuera de las instituciones escolares.",http://hdl.handle.net/1843/32165,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
