Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Área do conhecimento CNPq,Tipos de acesso,Tipo de documento,Assuntos em português,Assuntos em inglês,Idioma,Resumo,Link de acesso,Resumo em Português,Resumo em Inglês,Referência Bibliográfica
"Elias, Roger",Não informado pela instituição,"Osório, Helen||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Ao derramar os santos óleos : propriedade, família e compadrio de escravos em Porto Alegre (1810-1835)",2013,Universidade Federal do Rio Grande do Sul (UFRGS),UFRGS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Escravidão||Escravos||População||Família||Propriedade||Porto Alegre (RS),Slavery||Population||Slave ownership||Family||Compadrio,por,"O presente trabalho de dissertação é um exercício de demografia histórica que examina a população, a configuração dos fogos e a família escrava em Porto Alegre entre 1810 e 1835. Utilizamos fontes primárias de caráter seriado: o rol de confessados de 1814 e os registros de batismo de escravos de 1810 a 1835, ambas alocadas no Arquivo Histórico da Cúria Metropolitana de Porto Alegre (AHCMPA). No contexto das primeiras décadas do século XIX, marcado pelas dinâmicas sociais e econômicas de uma zona de fronteira, a Capitania de São Pedro do Rio Grande do Sul, examinamos a população de Porto Alegre considerando a estrutura da propriedade escrava e a configuração dos fogos. Encontramos um grande percentual de população escrava frente à população total. Esses escravos estavam dispersos em fogos chefiados por homens casados, homens não-casados e mulheres, totalizando quase 2/3 dos fogos de Porto Alegre, o que demonstrava o forte vínculo da capital sulina com a escravidão, no período estudado. Ao procurarmos a família escrava, quer sacramentada quer consensual, investigamos as cores e as origens dos pais e das mães das crianças escravas recém-nascidas batizadas (designadas como crioulos escravos batizados). Constatamos a preferência por uniões endogâmicas, principalmente quanto à cor, mas também quanto à origem. Procuramos relacionar esses parâmetros ao mercado de escravos e pudemos constatar que havia relação entre as variações nos batismos dos cativos e as oscilações do tráfico de escravos. Para isso, também contribuiu a análise das origens, das idades e da razão de masculinidade dos batizados africanos. Finalmente, ao estudarmos as famílias escravas, nos detivemos às possibilidades de acesso ao matrimônio católico por parte dos escravos e às relações de compadrio, em cruzamento com duas variáveis: o tamanho relativo de plantel e a freqüência ao compadrio. Identificamos que a grande maioria dos batizados escravos de Porto Alegre era formada por crianças crioulas naturais, sendo a legitimidade um atributo de menos de 10% dos rebentos batizados. Esses recém-nascidos teriam grandes chances de ter escravos de outros plantéis como padrinhos e madrinhas de seus batizados. Entretanto, esse padrão poderia variar de diferentes formas: o tamanho da escravaria e a freqüência com que um escravo era batizado influenciavam sua legitimidade e, também, a condição jurídica, a cor, a origem e até mesmo a pertinência ou não de seu padrinho e de sua madrinha ao mesmo plantel. Essas condições estavam relacionadas às escolhas dos escravos por firmar relações sociais horizontais ou verticais através do compadrio e também ao grau de influência dos senhores nessas relações. No caso dos africanos, o leque de escolhas parece ter sido menor e a possibilidade do compadrio ser usado como estratégia de administração da mão-de-obra escrava no cativeiro, por parte dos senhores, foi provavelmente maior.",http://hdl.handle.net/10183/132373,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Barbosa, Keith Valéria de Oliveira",Não informado pela instituição,"Fonseca, Maria Rachel de Gomensoro Fróes da||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Escravidão, saúde e doenças nas plantations cafeeiras do Vale do Paraíba Fluminense, Cantagalo (1815-1888)",2014,Fundação Oswaldo Cruz (FIOCRUZ),FIOCRUZ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Não informado pela instituição,Não informado pela instituição,por,"O presente estudo analisa a experiência escrava relativa à saúde e à doença em uma importante região de plantation cafeeira do Vale do Paraíba fluminense, a região de Cantagalo, entre os anos 1815 e 1888. Por meio de diversos ângulos, muitos pesquisadores debruçaram-se sobre as múltiplas características dos universos sociais escravistas em variados contextos atlânticos, examinando o cotidiano daqueles escravos, seus arranjos familiares e suas sociabilidades diversas. Os debates sobre a saúde e as causas das doenças dos cativos têm se constituído como objeto de estudos de pesquisadores de diferentes campos de conhecimento, revelando novas perspectivas a respeito de historicidades muito mais complexas do que até então se entendia. Com a análise das doenças e das condições de saúde dos cativos que viviam nas referidas plantations, pretendemos examinar suas experiências como enfermos e as respectivas ações dos senhores acionadas para o seu tratamento. Por meio da análise dos processos de inventários post-mortem e de outros envolvendo a cobrança de honorários médicos, além de manuais e relatórios médicos, investiga-se o conjunto de conhecimentos produzidos, sistematizados e disponibilizados para os cuidados da população escrava inserida em um cenário social de rápida expansão da economia cafeeira, que se caracterizou pelo crescimento demográfico e o incremento do tráfico atlântico de africanos. Nesse sentido, mundos da escravidão são revelados nessa importante paisagem social do Rio de Janeiro imperial, de cujas mudanças o trabalho escravo era peça-chave, permeando as experiências e as relações sociais tecidas entre esses trabalhadores e seus senhores.",https://www.arca.fiocruz.br/handle/icict/16231,Não informado pela instituição,Não informado pela instituição,"BARBOSA, Keith Valéria de Oliveira. Escravidão, saúde e doenças nas plantations cafeeiras do Vale do Paraíba Fluminense, Cantagalo (1815-1888). Tese (Doutorado em História das Ciências e da Saúde) - Casa de Oswaldo Cruz / Fiocruz, Rio de Janeiro, 2014. 269 f."
"Lima, Silvio Cezar de Souza",Não informado pela instituição,"Kury, Lorelai Brilhante||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,O corpo escravo como objeto das práticas médicas no Rio de Janeiro (1830-1850),2011,Fundação Oswaldo Cruz (FIOCRUZ),FIOCRUZ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Não informado pela instituição,Não informado pela instituição,por,"A proposta desta tese é mostrar como o contexto social da escravidão influenciou os saberes e práticas médicas nas primeiras décadas do Império brasileiro. A pesquisa dos escritos médicos produzidos entre 1830 e 1850 tornou possível perceber a presença significativa dos escravos no cotidiano daquela profissão ora como pacientes, ora como objeto de estudos. Esta produção textual encarnava o discurso médico do período e era disseminada através de artigos dos periódicos médicos ligados à Academia Imperial de Medicina. A construção deste conhecimento era feita a partir da experiência prática que os estudantes e médicos tinham com os doentes, sobretudo nas enfermarias da Santa Casa de Misericórdia. Assim é possível estabelecer uma ligação entre a escravidão e o aprendizado e treinamento médico a partir do estudo dos textos produzidos no conjunto de instituições responsáveis pela institucionalização da medicina na Corte. Desta forma, é possível defender a hipótese de que em uma sociedade escravista como o Rio de Janeiro, certamente o escravo era objeto de preocupação dos médicos, seja como paciente, seja como objeto de experimentos de novos tratamentos ou para o treinamento dos estudantes de medicina.",https://www.arca.fiocruz.br/handle/icict/16349,Não informado pela instituição,Não informado pela instituição,"LIMA, Silvio Cezar de Souza. O corpo escravo como objeto das práticas médicas no Rio de Janeiro (1830-1850). Tese (Doutorado em História das Ciências e da Saúde) - Casa de Oswaldo Cruz / Fiocruz, Rio de Janeiro, 2011. 208 f."
"Paula, Juliano Tiago Viana de",http://lattes.cnpq.br/1415381521774966,"Mathias, Carlos Leonardo Kelmer||Não informado pela instituição",http://lattes.cnpq.br/4832850361600673||Não informado pela instituição,"Ferreira, Roberto Guedes||Sampaio, Antonio Carlos Jucá de||Não informado pela instituição||Não informado pela instituição||Não informado pela instituição",Não informado pela instituição,"Escravidão, família e compadrio cativo numa Freguesia Sul mineira : São Tomé das Letras – MG (1840-1870)",2013,Universidade Federal Rural do Rio de Janeiro (UFRRJ),UFRRJ,Brasil,Instituto de Ciências Humanas e Sociais,Programa de Pós-Graduação em História,Ciências Humanas,openAccess,masterThesis,Escravidão||família||compadrio e São Tomé das Letra,Slavery||family||cronyism and São Tomé das Letras,por,"O objeto desta pesquisa consiste em analisar relações entre escravidão, família e compadrio na Freguesia de São Tomé das Letras entre as décadas de 1840 a 1870. Para alcançarmos os resultados esperados o estudo abordou varias características da referida localidade, com o intuito de demonstrar algumas particularidades que difere de outras regiões examinadas. Através de varias analises, percebemos que além das posses escravas e atividades econômicas, as relações familiares entre livres e escravos também nos informaram a sociedade escravista que se constitui numa Freguesia rural voltada ao abastecimento interno local. Esta estrutura se organizava nas seguintes relações: nos elevados números de matrimoniais formais entre os cativos, no comportamento das uniões exogamicas entre mulheres crioulas e homens africanos, nas preferências de compadres de distintas condições sociais, nos relacionamentos informais entre padrinhos livres e madrinhas escravas (vice-versa), nos interesses de senhores e escravos entorno do compadrio e nos laços familiares entre estes distintos segmentos",https://rima.ufrrj.br/jspui/handle/20.500.14407/13814,Não informado pela instituição,Não informado pela instituição,"PAULA, Juliano Tiago Viana de. Escravidão, família e compadrio cativo numa Freguesia Sul mineira: São Tomé das Letras - MG (1840-1870). 2013. 187 f. Dissertação (Programa de Pós-Graduação em História - Universidade Federal Rural do Rio de Janeiro, Seropédica."
"Barbosa, Keith Valéria de Oliveira",http://lattes.cnpq.br/3692449762532927,"Nascimento, Álvaro Pereira do||Não informado pela instituição",http://lattes.cnpq.br/8828847259602722||Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Doença e cativeiro: um estudo sobre mortalidade e sociabilidades escravas no Rio de Janeiro, 1809-1831",2010,Universidade Federal Rural do Rio de Janeiro (UFRRJ),UFRRJ,Brasil,Instituto de Ciências Humanas e Sociais,Programa de Pós-Graduação em História,História,openAccess,masterThesis,escravos||doenças||mortalidade||Rio de Janeiro,slaves||diseases||mortality||Rio de Janeiro,por,"Esta dissertação discutirá as possibilidades analíticas para o universo da temática da escravidão no Brasil de abordagens sobre escravidão, mortalidade e doenças. Com a análise das doenças que mais atingiam os cativos das regiões de Candelária e Irajá, salientam-se as precárias condições de vida nestes ambientes do Rio de Janeiro, entre os anos de 1809 e 1831. A partir de fontes seriais em livro de óbitos paroquiais, inventários post-mortem, relatos médicos e de memorialistas, foi possível uma reconstrução dos cenários e processos históricos onde a mortalidade escrava esteve presente. Além disso, avalia-se como o estudo das doenças de determinado grupo populacional pode ampliar a percepção de variadas dimensões da vida social, tanto nas senzalas dos grandes e pequenos plantéis fluminenses, quanto nos complexos cenários urbanos localizados no coração da cidade escravista. Logo, verifica-se, com a análise desses dados, que as causas de morte estavam diretamente associadas às particularidades de cada ambiente, revelando, ainda, como o cativeiro traduz a experiência de mortalidade de um grupo. Assim, propõe-se demonstrar como o diálogo com as regiões analisadas fornecem instigantes indícios de como os escravos viviam e lidavam com a experiência da doença e da morte.",https://rima.ufrrj.br/jspui/handle/20.500.14407/14051,Não informado pela instituição,Não informado pela instituição,"BARBOSA, Keith Valéria de Oliveira. Doença e cativeiro: um estudo sobre mortalidade e sociabilidades escravas no Rio de Janeiro, 1809-1831. 2010. 102 f. Dissertação (Mestrado em História) - Instituto de Ciências Humanas e Sociais, Universidade Federal Rural do Rio de Janeiro, Seropédica, 2010."
"Alves, Marcelo Inácio de Oliveira",http://lattes.cnpq.br/0212006098896917,"Ferreira, Roberto Guedes||Não informado pela instituição",http://lattes.cnpq.br/0920997544430620||Não informado pela instituição,"Ferreira, Roberto Guedes||Mathias, Carlos Leonardo Kelmer||Fragoso, João Luis Ribeiro||Não informado pela instituição||Não informado pela instituição",http://lattes.cnpq.br/0920997544430620||http://lattes.cnpq.br/4832850361600673||http://lattes.cnpq.br/4712468517408225||Não informado pela instituição||Não informado pela instituição,"Senhores de escravos na Banda D’Além: estratégias de construção do poder senhorial (freguesia de São Gonçalo do Amarante, Rio de Janeiro, século XVIII).",2014,Universidade Federal Rural do Rio de Janeiro (UFRRJ),UFRRJ,Brasil,Instituto de Ciências Humanas e Sociais,Programa de Pós-Graduação em História,História||Ciências Sociais,openAccess,masterThesis,Governo senhorial||Senhor de escravos||Relação senhor\escravo,Manor government||Slaveholder||Respect sir\slave,por,"No Rio de Janeiro colonial, os agentes sociais visavam a conservação de um status e sua transmissão geracional. Logo, as posições hierárquicas dos indivíduos na comunidade eram recriadas geracional e cotidianamente. No caso dos senhores, visava-se a manutenção do governo dos escravos, socialmente construído. Tendo em mente essa ideia, o nosso objetivo geral é analisar as estratégias, códigos e práticas dos senhores de escravos em uma freguesia rural do Recôncavo da Guanabara: São Gonçalo do Amarante, no século XVIII. Observar as relações, alianças e negociações para fazer-se e ser visto como senhor; caracterizar as práticas senhoriais para legitimarem-se perante os subalternos e analisar os códigos compartilhados para serem reconhecidos também pelos pares, para além da posse de escravos; compreender as estratégias e alianças parentais das famílias senhoriais; criar uma tipologia dos senhores de São Gonçalo, através da posse de escravos e títulos; montar uma trajetória familiar e apontar caminhos para futuras pesquisas.",https://rima.ufrrj.br/jspui/handle/20.500.14407/13876,Não informado pela instituição,Não informado pela instituição,"ALVES, Marcelo Inácio de Oliveira. Senhores de escravos na Banda D’Além: estratégias de construção do poder senhorial (freguesia de São Gonçalo do Amarante, Rio de Janeiro, século XVIII). 2015. 143 f. Dissertação (Mestrado em História) - Instituto de Ciências Humanas e Sociais, Universidade Federal Rural do Rio de Janeiro, Seropédica, 2014."
"Cavalcante, Ygor Olinto Rocha||http://lattes.cnpq.br/3084766650233177",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Uma viva e permanente ameaça : resistência, rebeldia e fugas de escravos no Amazonas Provincial",2013,Universidade Federal do Amazonas (UFAM),UFAM,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Escravidão||Fugitivos||História do Amazonas||Slavery||Fugitives||History of Amazonas||CIÊNCIAS HUMANAS: HISTÓRIA,Não informado pela instituição,por,"O presente trabalho analisa as fugas escravas no Amazonas da segunda metade do século XIX. Os fragmentos de vida encontrados, em diferentes movimentos de fuga do cativeiro, foram relacionados as intricadas relações sociais, de poder, econômicas e culturais vivenciadas pelos escravizados que, localizados nas camadas mais baixas de uma estrutura hierarquizada e excludente, fugiam e redefiniam o cativeiro. No período de 1850-1870, quando não existiam leis emancipacionistas e raros senhores concediam alforrias, muitos fugiram, pressionando de forma radical. A partir de 1870, quando se criaram leis e fundos para emancipação, em especial a Lei de 28 de Setembro de 1871 que libertou os nascidos desde então, as fugas diminuíram. Através do trabalho árduo, as escravas (bem mais que os homens) buscaram, por vias legais, a liberdade. Com isso, mantinham a autonomia frente aos antigos senhores, sem necessariamente romper relações. Em troca de proteção, abrigo e instrução aos ingênuos , permitiam a continuidade do uso do trabalho das crianças. Nos batizados, escolhiam como padrinhos de seus filhos os familiares dos senhores ou figuras públicas. Eram redes de parentesco fictício que protegiam os filhos de uma liberdade precária. Nesse contexto, fugir passava a ser uma estratégia pouco eficaz de redefinir as condições de viver sobre si.","CAVALCANTE, Ygor Olinto Rocha. Uma viva e permanente ameaça : resistência, rebeldia e fugas de escravos no Amazonas Provincial. 2013. 162 f. Dissertação (Mestrado em História) - Universidade Federal do Amazonas, Manaus, 2013.||http://tede.ufam.edu.br/handle/tede/3726",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Santana, Clíssio Santos",http://lattes.cnpq.br/0379135175073812,"Pires, Maria de Fátima Novaes||Não informado pela instituição",http://lattes.cnpq.br/5879613987505788||Não informado pela instituição,"Pires, Maria de Fátima Novaes||Reis, Isabel Cristina Ferreira dos||Fraga Filho, Walter||Não informado pela instituição||Não informado pela instituição",http://lattes.cnpq.br/5879613987505788||http://lattes.cnpq.br/2638469674649457||http://lattes.cnpq.br/9826748784191387||Não informado pela instituição||Não informado pela instituição,“Ele queria viver como se fosse homem livre”: escravidão e liberdade no Termo de Cachoeira (1850-1888),2014,Universidade Federal da Bahia (UFBA),UFBA,Brasil,Faculdade de Filosofia e Ciências Humanas (FFCH),Programa de Pós-Graduação em História (PPGH) ,CNPQ::CIENCIAS HUMANAS::HISTORIA,openAccess,masterThesis,Escravidão||Liberdade||Recôncavo baiano||Cachoeira,Não informado pela instituição,por,"Este trabalho pretende colaborar com os estudos sobre a escravidão ao longo do século XIX no Recôncavo baiano. O intuito é compreender as estratégias e os significados materiais e simbólicos presentes nos espaços de liberdade e autonomia, que formam construídos por escravos e libertos. O locus da pesquisa foi o Termo de Nossa Senhora do Rosário do Porto da Cachoeira, entre os anos de 1850 a 1888. Naquela época, o referido Termo era composto por dez (10) freguesias, entre áreas majoritariamente rurais, dedicadas à produção de gêneros para exportação e para o consumo local tais como: açúcar, fumo e mandioca, e outras áreas mais urbanizadas, marcadas pela importante movimentação comercial. Juntas, as freguesias, em 1872, totalizavam quase 90 mil pessoas, das quais 17,4% viviam escravizadas. De tal forma, o objetivo primordial deste estudo é captar as experiências de vida de escravos e libertos, percebendo a importância em suas vivências dos espaços de autonomia como mecanismos fundamentais na luta pela sobrevivência cotidiana e a relevância desses espaços na formulação de projetos de liberdade, na manutenção de laços afetivos e familiares, assim como na expectativa de ascensão social, jurídica e econômica. Nesse sentido, nesta pesquisa, o conceito de autonomia não está restrito a elementos materiais. Aqui, o campo das manifestações culturais também é entendido como um palco de conflitos, tensões e disputas desencadeadas pelos sujeitos escravizados em suas experiências sociais cotidianas. Assim, são fontes deste trabalho: processos-crime, inventários post-mortem, assentos de batismos, casamentos e óbito, notas de escrituras de compra e venda, cartas de alforrias, testamentos e jornais, fontes que, quando cruzadas adequadamente, nos possibilitam reconstruir diversos aspectos da vida da população escravizada do Recôncavo baiano oitocentista.",https://repositorio.ufba.br/handle/ri/35027,Não informado pela instituição,Não informado pela instituição,"SANTANA, Clíssio Santos. ""Ele queria viver como se fosse homem livre"": escravidão e liberdade no Termo de Cachoeira (1850-1888). 171 f. Dissertação (Mestrado em História) – Faculdade de Filosofia e Ciências Humanas, Universidade Federal da Bahia, Salvador, 2014."
"Carmo, Alane Fraga do",http://lattes.cnpq.br/9287986795602455,"Reis, João José||Não informado pela instituição",http://lattes.cnpq.br/1969687480215585||Não informado pela instituição,"Reis, João José||Albuquerque, Wlamyra Ribeiro de||Reis, Isabel Cristina Ferreira dos||Não informado pela instituição||Não informado pela instituição",http://lattes.cnpq.br/1969687480215585||http://lattes.cnpq.br/2359566367659802||http://lattes.cnpq.br/2638469674649457||Não informado pela instituição||Não informado pela instituição,"Colonização e escravidão na Bahia: a Colônia Leopoldina, 1850-1888",2010,Universidade Federal da Bahia (UFBA),UFBA,Brasil,Faculdade de Filosofia e Ciências Humanas (FFCH),Programa de Pós-Graduação em História (PPGH) ,CNPQ::CIENCIAS HUMANAS::HISTORIA,openAccess,masterThesis,Escravidão||Colônia Leopoldina - Bahia||História - Brasil||Século XIX,Não informado pela instituição,por,"Este trabalho estuda a população escrava da Colônia Leopoldina, localizada no extremo sul da Bahia, durante a segunda metade do século XIX. Na tentativa de compreender como uma colônia de estrangeiros fundamentada na produção agrícola familiar e no trabalho livre enveredou pelo trabalho escravo, abordamos de forma complementar os primeiros anos de existência da colônia, fundada em 1818. Foi traçado um perfil parcial da sua população livre, assim como um perfil demográfico da população cativa para melhor elucidar quem eram os sujeitos envolvidos nas diversas histórias de fugas, revoltas, disputas judiciais, denúncias de maus tratos, crimes e histórias de amor, envolvendo senhores e escravos. Baseada em métodos quantitativos e uma análise de cunho qualitativa, a pesquisa revelou a importância da família escrava na colônia, tanto como instrumento utilizado pelos senhores para o controle e reprodução da força de trabalho, como para os próprios escravos, que contavam com uma parentela solidária e certamente acessível nos momentos decisivos como fugas, compra da alforria e terras onde trabalharam após a liberdade. Esses dados revelaram ainda que o casamento escravo, não católico e possivelmente baseado em ritos protestantes, gozou de certa legitimidade conferida pela própria comunidade local, a ponto de os proprietários preservarem os casais unidos na hora da venda ou partilha, mesmo antes da lei obrigar a esta prática. Os dados revelaram ainda que a rotina de trabalho, ao contrário do que declararam proprietários e moradores da colônia, era árdua e por vezes o direito dos escravos à folga não foi respeitado, pois alguns proprietários a reduziram a apenas metade do dia de domingo. Entre inventários post mortem, testamentos, registros de matrícula, escrituras de compra e venda, ações de liberdade, processos crimes, registros eclesiásticos de terra e correspondência entre autoridades consulares, administrativas e policiais, encontram-se histórias surpreendentes que servem como ponto de partida para a análise dos fatos e processos históricos que viabilizaram as conquistas dos escravos na segunda metade do século XIX, e como estes processos foram sentidos em uma região tão distante do centro da província.",https://repositorio.ufba.br/handle/ri/35059,Não informado pela instituição,Não informado pela instituição,"CARMO, Alane Fraga do. Colonização e escravidão na Bahia: a Colônia Leopoldina (1850-1888). 139 f. Dissertação (Mestrado em História) – Faculdade de Filosofia e Ciências Humanas, Universidade Federal da Bahia, Salvador, 2010."
"Souza, Daniele Santos de",http://lattes.cnpq.br/8506425139892718,"Reis, João José||Não informado pela instituição",http://lattes.cnpq.br/1969687480215585||Não informado pela instituição,"Reis, João José||Sampaio, Gabriela Reis||Reginaldo, Lucilene||Não informado pela instituição||Não informado pela instituição",http://lattes.cnpq.br/1969687480215585||http://lattes.cnpq.br/6050013705102457||http://lattes.cnpq.br/4334767806156257||Não informado pela instituição||Não informado pela instituição,Entre o “serviço de casa e o “ganho”: escravidão em Salvador na primeira metade do século XVIII,2010,Universidade Federal da Bahia (UFBA),UFBA,Brasil,Faculdade de Filosofia e Ciências Humanas (FFCH),Programa de Pós-Graduação em História (PPGH) ,CNPQ::CIENCIAS HUMANAS::HISTORIA,openAccess,masterThesis,Escravidão urbana||Salvador||Resistência escrava,Não informado pela instituição,por,"Esta dissertação busca refletir sobre a escravidão negro-africana em Salvador na primeira metade do século XVIII, discutindo o trabalho escravo urbano e as formas de resistência e solidariedade tecidas por africanos, crioulos e mestiços. A força de trabalho escrava, cerne deste trabalho, é compreendida como instrumento privilegiado para se entender a sociedade colonial. Africanos e seus descendentes são estudados em suas relações com senhores, autoridades e com a comunidade escrava a que pertencia. Através da análise de inventários post-mortem, ordens régias, posturas municipais, consultas ao Conselho Ultramarino, correspondências do governador geral, alvarás e provisões do Tribunal da Relação, bem como outras fontes, foi possível pensar acerca do perfil da mão-de-obra escrava empregada na Cidade da Bahia. A dissertação destaca ainda a análise das tensões, conflitos e negociações que cercavam o cotidiano do trabalho escravo na Salvador Setecentista, buscando perceber como a escravidão urbana na Bahia articulava-se com o mundo Atlântico.",https://repositorio.ufba.br/handle/ri/35061,Não informado pela instituição,Não informado pela instituição,"SOUZA, Daniele Santos de. Entre o “serviço de casa e o “ganho”: escravidão em Salvador na primeira metade do século XVIII. 159 f. Dissertação (Mestrado em História) – Faculdade de Filosofia e Ciências Humanas, Universidade Federal da Bahia, Salvador, 2010."
