Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Área do conhecimento CNPq,Tipos de acesso,Tipo de documento,Assuntos em português,Assuntos em inglês,Idioma,Resumo,Link de acesso,Resumo em Português,Resumo em Inglês,Referência Bibliográfica
"Pimenta, Jucilane Costa",http://lattes.cnpq.br/2654762304100419,"Nascimento, Eulina Coutinho Silva do||Não informado pela instituição",Não informado pela instituição,"Nascimento, Eulina Coutinho Silva do||Damasceno, João Batista||Silva, Fernanda Felisberto da||Mattos, Sandra Maria Nascimento de||Não informado pela instituição",Não informado pela instituição,A educação escolar na comunidade quilombola São Felix em Cantagalo - Minas Gerais,2019,Universidade Federal Rural do Rio de Janeiro (UFRRJ),UFRRJ,Brasil,Instituto de Agronomia,Programa de Pós-Graduação em Educação Agrícola,Educação,openAccess,masterThesis,Educação Quilombola||Cultura||Identidade,Quilombola Education||Culture||Identity,por,"O presente estudo foi desenvolvido na Comunidade Quilombola São Felix na cidade de Cantagalo, no Estado de Minas Gerais, incluindo-se aí a Escola Municipal, que oferece de 1º ao 5º ano em Regime Seriado, objetivando conhecer como ocorre a Educação Escolar na Comunidade Quilombola São Felix. Analisamos as expressões culturais das crianças regularmente matriculadas, de agosto de 2017 até maio de 2019, juntamente com seus costumes e representações culturais, onde percebemos escassez da valorização cultural em interface com a Base Nacional Comum Curricular (BNCC) e a Lei das Diretrizes Básicas (LDB); além disso, não localizamos o registro da memória, da tradição, através das histórias contadas pelos mais velhos. Nesse sentido, a cultura e tradição do seu povo possivelmente poderá se perder com o tempo. A metodologia utilizada para a realização dessa pesquisa foi de abordagem qualitativa, que possibilitou ter uma visão mais ampla, da Comunidade Quilombola São Felix. Entrevistamos todos os docentes, discentes e seus familiares, somado de constate visitas na comunidade, seguido de registro fotográfico e no diário de campo, buscando investigar a essência do estudo, não deixando que minha convicção de vida se torne promissora na pesquisa. Analisamos essas informações apreciando a legislação vigente para comunidades quilombolas consumando um referencial bibliográfico sobre a temática, aonde percebe- se a importância de se trabalhar o ensino e as competências, levando em consideração o saber, etnia e os hábitos predominantes da comunidade, nota-se que os docentes que atuaram na escola, durante a pesquisa, avistaram um olhar para a necessidade de se incorporar a cultura no ensino em sala de aula, possivelmente, muito ainda precisa ser feito, destaco em especial: Orientação Pedagógica, Suporte da Direção Educacional do Município de Cantagalo, Capacitação e Motivação Docente, atualização de equipe multidisciplinar, onde provavelmente consiga efetuar a inclusão do Quilombo na Educação, na sociedade.",https://rima.ufrrj.br/jspui/handle/20.500.14407/12726,Não informado pela instituição,Não informado pela instituição,"PIMENTA, Jucilane Costa. A educação escolar na comunidade quilombola São Felix em Cantagalo - Minas Gerais. 2019. 76 f. Dissertação (Mestrado em Educação Agrícola) - Instituto de Agronomia, Universidade Federal Rural do Rio de Janeiro, Seropédica - RJ. 2019."
"Pereira, Marilda Leite",http://lattes.cnpq.br/0147334254070985,"Monteiro, Rosa Cristina||Não informado pela instituição",Não informado pela instituição,"Monteiro, Rosa Cristina||Ericeira, Ronald Clay dos Santos||Oliveira, Ivone Adelina de||Não informado pela instituição||Não informado pela instituição",Não informado pela instituição,Contribuição da Escola José Bonifácio para o fortalecimento da identidade cultural e territorial do quilombo do Curiaú,2016,Universidade Federal Rural do Rio de Janeiro (UFRRJ),UFRRJ,Brasil,Instituto de Agronomia,Programa de Pós-Graduação em Educação Agrícola,Educação,openAccess,masterThesis,Quilombo||Identidade||Territorialidade||Educação Étnico Racial,Identity||Territoriality||Ethnic-Racial Education,por,"Esta pesquisa aborda sobre as contribuições da Escola Estadual José Bonifácio para o fortalecimento da identidade cultural e territorial do Quilombo do Curiaú. Este estudo fundamentou-se no referencial teórico-metodológico Munanga (2012, 2014, 2008), Gomes (2007), Cavelleiro (2001) BRASIL (2001, 2004, 2012). A metodologia utilizada foi a qualitativa e definiu como instrumento de coleta de dados os documentos oficiais e entrevistas semiestruturadas e transcritas, com a participação de sete professoras que ministram aulas na escola pesquisada. Os resultados do estudo revela, que todas se consideram importante pra o fortalecimento da identidade cultural e territorial do quilombo do Curiaú, no entanto a pesquisa aponta a necessidades que as mesmas possuem de uma formação continuada em Educação Étnico Racial e também uma extensa e comprometida discussão com: as Diretrizes Curriculares Nacionais da Educação Básica, Diretrizes Curriculares Nacionais para a Educação das Relações Étnico-racial e para o Ensino de História e Cultura Afro-Brasileira e Africana e também as Diretrizes Curriculares Nacional para a Educação Escolar Quilombola, pois, foi perceptível a falta de conhecimento teórico das participantes na discussão da temática proposta nesta pesquisa. Percebemos a ausência da comunidade na revitalização do Projeto Político Pedagógico. A partir das observações podemos sinalizar alguns pontos necessários para instrumentalizar os professores no dialogo acerca de identidade e territorialidade, através da formação continuada em História e Cultura Africana e Afro-Brasileira, que poderá ser em forma de seminário, oficinas e palestras para todos os docentes e trabalhadores da escola.",https://rima.ufrrj.br/jspui/handle/20.500.14407/12264,Não informado pela instituição,Não informado pela instituição,"PEREIRA, Marilda Leite. Contribuição da Escola José Bonifácio para o fortalecimento da identidade cultural e territorial do quilombo do Curiaú. 2016. 55 f. Dissertação (Mestrado em Educação Agrícola) - Instituto de Agronomia, Universidade Federal rural do Rio de Janeiro, Seropédica-RJ. 2016."
"Teixeira, Tiago Bustamante",http://lattes.cnpq.br/5557002698896840,"Moreira, Roberto José||Não informado pela instituição",Não informado pela instituição,"Moreira, Roberto José||Lerrer, Débora Franco||Carneiro, Leonardo de Oliveira||Não informado pela instituição||Não informado pela instituição",Não informado pela instituição,Tecendo trajetórias identitárias: Universidade Federal de Juiz de Fora em interação com a comunidade quilombola de São Pedro de Cima,2016,Universidade Federal Rural do Rio de Janeiro (UFRRJ),UFRRJ,Brasil,Instituto de Ciências Humanas e Sociais,"Programa de Pós-Graduação em Ciências Sociais em Desenvolvimento, Agricultura e Sociedade",Sociologia,openAccess,masterThesis,Universidade Federal de Juiz de Fora||Subjetividade||Acão coletiva||Quilombolas||São Pedro de Cima - MG||Ecologia agrícola,Federal University of Juiz de Fora||Subjectivity||Collective action||Agroecology,por,"Este trabalho trata das transformações trazidas para o ambiente universitário a partir de interações com uma comunidade quilombola. A Comunidade São Pedro de Cima, localizada no município de Divino, Minas Gerais recebeu em 2007 um grupo de alunos da disciplina de geografia agrária do curso de geografia, departamento de geociências, da Universidade Federal de Juiz de Fora para a realização de uma atividade pedagógica que tinha como proposta um trabalho de campo sobre comunidade quilombolas. Tal atividade proporcionou desdobramentos que geraram a criação e a execução de projetos de extensão universitária, voltados para a comunidade, que se desenvolveram por 9 anos. A base empírica desta pesquisa faz menção ao envolvimento do pesquisador nesta trajetória como participante dos projetos de extensão que impulsionaram esta interação. Utilizaram-se ainda dados coletados em trabalho de campo com observações na CSPC e entrevistas com pessoas da UFJF envolvidas nesta trajetória. Remonta-se a aspectos significativos desta trajetória buscando demonstrar as influências desta interação para a UFJF. Nos pautamos na noção de subjetividades coletivas, cunhada por Domingues, que incluem as dimensões conscientes e inconscientes destes processos de identificação assim como seu componente relacional. Coube a este estudo os processos de constituição de coletividades protagonizado por estudantes e professores dessa instituição. Vemos nestas coletividades os vetores de inserção de discussões e práticas em torno das temáticas de quilombo e agroecologia. Buscamos entender o impacto destas temáticas e desta interação no processo de formação universitária. Encaminha-se a discussão buscando compreender a importância dessas praticas, realçando o papel da extensão e procurando elucidar as influências trazidas para o ambiente universitário.",https://rima.ufrrj.br/jspui/handle/20.500.14407/11589,Não informado pela instituição,Não informado pela instituição,"TEIXEIRA, Tiago Bustamante. Tecendo trajetórias identitárias: Universidade Federal de Juiz de Fora em interação com a comunidade quilombola de São Pedro de Cima. 2016. 147 f. Dissertação (Mestrado em Ciências Sociais em Desenvolvimento, Agricultura e Sociedade). Instituto de Ciências Humanas e Sociais, Universidade Federal Rural do Rio de Janeiro, Rio de Janeiro, RJ, 2016."
"Bessa, Alyne Fonseca",http://lattes.cnpq.br/3106392985593481,"Figueiredo, André Videira de||Não informado pela instituição",Não informado pela instituição,"Figueiredo, André Videira de||Ferreira, Andrey Cordeiro||Daflon, Verônica Toste||Não informado pela instituição||Não informado pela instituição",Não informado pela instituição,A educação quilombola no contexto multicultural: o caso da E. M. Rio das Pedras,2015,Universidade Federal Rural do Rio de Janeiro (UFRRJ),UFRRJ,Brasil,Instituto de Ciências Humanas e Sociais,Programa de Pós-Graduação em Ciências Sociais,Sociologia,openAccess,masterThesis,educação diferenciada||comunidade remanescente de quilombo||diversidade étnica||reconhecimento,differentiated education||remnant quilombo community||ethnic diversity||recognition.,por,"O presente trabalho tem como objetivo analisar a iniciativa de discutir escola a partir da aproximação e do diálogo de membros de uma comunidade negra remanescente de quilombo com membros de uma escola rural próxima a comunidade, em meio ao processo de reconhecimento do grupo. Desta forma, são exploradas no trabalho as práticas escolares e projetos educacionais de uma escola rural, que atende a uma comunidade remanescente de quilombo, bem como a dinâmica social na qual está inserida e as demandas da comunidade local. O estudo de caso refere-se à Escola Municipalizada do Rio das Pedras e à Comunidade Quilombola do Alto da Serra, localizadas no município de Rio Claro (RJ), no distrito de Lídice. A abordagem do trabalho gira em torno da idéia de “educação diferenciada”, mais especificamente a Educação do Campo e a Educação Quilombola como modalidades de ensino, bem como das iniciativas de implementação da Lei nº 10.639 no currículo de ensino básico. Nesse sentido, o texto é pensado a partir da experiência dos membros da Comunidade Quilombola do Alto da Serra no debate sobre escola e formação educacional, entendendo escola como um instrumento para a permanência no território.",https://rima.ufrrj.br/jspui/handle/20.500.14407/11445,Não informado pela instituição,Não informado pela instituição,"BESSA, Alyne Fonseca. A Educação Quilombola no contexto multicultural: o caso da E. M. Rio das Pedras. 2015. Dissertação (Mestrado em Ciências Sociais). Instituto de Ciências Humanas e Sociais, Universidade Federal Rural do Rio de Janeiro, Seropédica, RJ, 2015."
"Leal, Nilcélia Amaral",http://lattes.cnpq.br/9672400377304444,"Nascimento, Eulina Coutinho Silva do||Não informado pela instituição",Não informado pela instituição,"Mattos, José Roberto Linhares de||Mattos, Sandra Maria Nascimento de||Não informado pela instituição||Não informado pela instituição||Não informado pela instituição",Não informado pela instituição,Os saberes e experiências pedagógicas dos docentes que atuam nas escolas públicas da região do Quilombo do Tapereira,2017,Universidade Federal Rural do Rio de Janeiro (UFRRJ),UFRRJ,Brasil,Instituto de Agronomia,Programa de Pós-Graduação em Educação Agrícola,Educação,openAccess,masterThesis,educação escolar Quilombola||identidade étnica e cultural||currículo e práticas educacionais,Quilombola school education||ethnic and cultural identity||curriculum and educational practices,por,"A presente dissertação buscou caracterizar as concepções e práticas pedagógicas desenvolvidas pelos docentes que atuam nas escolas quilombolas do Tapereira em relação ao fortalecimento da identidade étnica e cultural. O estudo abordou as práticas pedagógicas no trato das questões étnico-raciais, promoveu análises sobre o currículo formal e praticado nas escolas quilombolas da região e buscou identificar as práticas educacionais que contribuam para o fortalecimento da identidade étnica e cultural dos discentes quilombolas. Foi realizada pesquisa qualitativa sendo coletados os dados a partir de um trabalho de campo, análise documental e entrevistas semiestruturadas. Os resultados das investigações apontam que a maioria dos docentes que atuam nas Escolas Municipais do Tapereira e de São Sebastião afirmaram conhecer a lei 10.639/2003 e que inserem conteúdos de História da África no currículo. Além disso, alguns educadores das escolas pesquisadas desenvolvem projetos voltados para valorizar a origem e a cultura dos discentes.",https://rima.ufrrj.br/jspui/handle/20.500.14407/12621,Não informado pela instituição,Não informado pela instituição,"Leal, Nilcélia Amaral. Os saberes e experiências pedagógicas dos docentes que atuam nas escolas públicas da região do Quilombo do Tapereira. 2017. 53 f. Dissertação (Programa de Pós-Graduação em Educação Agrícola) - Universidade Federal Rural do Rio de Janeiro, Seropédica - RJ ."
"Ferrugem, Sílvia Contreira Rodrigues",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Perfil de saúde em uma população quilombola: diferença entre os sexos,2018,Universidade Católica de Pelotas (UCPEL),UCPEL,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Quilombola; síndrome metabólica; doenças crônicas; fatores associados||Quilombola; metabolic syndrome; chronic diseases; associated factors||CIENCIAS DA SAUDE::NUTRICAO,Não informado pela instituição,por,"A população quilombola faz parte das chamadas populações negligenciadas, sendo motivo de preocupação para profissionais da saúde, pesquisadores e gestores. As baixas condições socioeconômicas, escolaridade, moradias sem infraestrutura, bem como o hábito do tabagismo e do etilismo contribuem para o desenvolvimento de doenças crônicas, entre elas o surgimento da síndrome metabólica. A síndrome metabólica é o resultado de um conjunto de fatores de risco metabólicos inter-relacionados, incluindo obesidade abdominal, dislipidemia, hipertensão arterial e hiperglicemia, que estão associados ao aumento do risco de morbidade e mortalidade de doenças cardiovasculares. São escassos os estudos sobre as comunidades quilombolas existentes em todo o país. Por isso, o objetivo foi avaliar a prevalência e fatores associados a síndrome metabólica em adul tos de uma comunidade quilombola, localizada na cidade de Pelotas/ Rio Grande do Sul. O levantamento de dados, interpretação e análise são importantes para uma avaliação mais criteriosa tendo em vista a promoção da saúde, bem como a prevenção e controle de doenças crônicas.","Ferrugem, Sílvia Contreira Rodrigues. Perfil de saúde em uma população quilombola: diferença entre os sexos. 2018. 46 f. Dissertação( Programa de Pos-Graduacao em Saude Comportamento) - Universidade Catolica de Pelotas, Pelotas.||http://tede.ucpel.edu.br:8080/jspui/handle/jspui/774",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"SILVA, Carla Isabel de Oliveira Marinho e",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,O trabalho do assistente social com os discentes quilombolas: estudo de caso na Universidade Federal do Rio Grande - FURG,2019,Universidade Católica de Pelotas (UCPEL),UCPEL,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,trabalho do assistente social; discentes quilombolas; ações afirmativas; política social; contrarreforma do Estado||work of the social worker; quilombolas students; affirmative actions; social policy; state Reform||CIENCIAS SOCIAIS APLICADAS::SERVICO SOCIAL,Não informado pela instituição,por,"Esta Dissertação volta-se à análise do trabalho do Assistente Social com os discentes Quilombolas da Universidade Federal do Rio Grande (FURG). Com o objetivo de analisar como vem se constituindo o trabalho do Assistente Social com os discentes Quilombolas da FURG, buscou-se de forma específica: Conhecer o trabalho realizado pelo Serviço Social da PRAE junto aos discentes Quilombolas; sistematizar as demandas institucionais e dos discentes Quilombolas ao Serviço Social da PRAE na FURG e, descobrir os desafios e possibilidades para atuação dos Assistentes Sociais no trabalho desenvolvido com os discentes Quilombolas da FURG. A investigação foi norteada pelo método dialético-crítico, com abordagem qualitativa que utilizou a pesquisa bibliográfica, documental e de campo na qual, a coleta de dados efetivou-se por entrevista semiestruturada, tendo como universo de pesquisa seis Assistentes Sociais que trabalham com os discentes Quilombolas na PRAE da FURG. A análise dos dados ocorreu pela análise do discurso embasado por Minayo (2014). Os resultados evidenciaram que as principais demandas institucionais para o Serviço Social relacionadas com os discentes Quilombolas, consistem no acolhimento desses ao chegarem na universidade, ao acompanhamento na inclusão dos auxílios e benefícios. As demandas dos discentes Quilombolas ao Serviço Social da PRAE consistem em sua grande parte, nas solicitações quanto aos auxílios e benefícios como a Casa do Estudante Universitário, alimentação e Transporte. As Assistentes Sociais indicaram por meio de suas falas, que a sobrecarga de trabalho, o atendimento exacerbado, as demandas institucionais, os recursos humanos limitados para atendimento aos estudantes e a falta de recursos materiais tem dificultado o planejamento de trabalho com os discentes Quilombolas.","SILVA, Carla Isabel de Oliveira Marinho e. O trabalho do assistente social com os discentes quilombolas: estudo de caso na Universidade Federal do Rio Grande - FURG. 2019. 128 f. Dissertação( Programa de Pos-Graduacao em Politica Social) - Universidade Catolica de Pelotas, Pelotas.||http://tede.ucpel.edu.br:8080/jspui/handle/jspui/849",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Villamil, Iván Mauricio Perdomo",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Resistência negra Afrodescendente em Goiás : a associação Quilombola Ana Laura no município de Piracanjuba/GO,2018,Universidade Estadual de Goiás (UEG),UEG,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Negro||Escravo||Quilombo||Quilombola||Afrodescendente||Slave||Quilombo||Quilombola||Afrodescendant||Cultural Tradition||Tradições Culturais||Black||OUTROS::CIENCIAS SOCIAIS||CIENCIAS HUMANAS::SOCIOLOGIA,Não informado pela instituição,por,"Objetivo central desta pesquisa foi desenvolver um processo investigativo com as famílias afrodescendentes do município de Piracanjuba/GO, tendo em vista contribuir para fortalecimento das relações sociais da comunidade. Outros três objetivos foram estabelecidos para o desenvolvimento de nossas investigações: O primeiro centra-se no resgate histórico das comunidades afrodescendentes em território brasileiro; o segundo na caracterização das famílias pertencentes à Associação Quilombola Ana Laura; e, o terceiro, refletir sobre as práticas e tradições culturais existentes e praticadas pelas famílias afrodescendentes no contexto da permanente urbanização, industrialização e tecnologização da sociedade, causados pelas políticas neoliberais associadas ao continuum processo de globalização da economia. Entendemos que a configuração das realidades do mundo a partir da globalização, os elementos e as transformações geradas a partir desse fenômeno em conexão com as comunidades quilombolas desencadeiam dificuldades e desafios das mais diversas ordens (política, econômica, social, cultural, ambiental etc.). Nesse contexto, optamos por realizar a pesquisa sob a perspectiva da Investigação-Ação-Participativa (IAP), visto que, além de sua flexibilidade e variedade técnica, temos a possibilidade de ação e ativa interação com a comunidade nos diversos momentos da pesquisa, que foi desenvolvida por meio das seguintes fases: a) estudo preliminar da região e da população pesquisada; b) montagem institucional e metodológica; c) revisão bibliográfica; d) apresentação da pesquisa aos membros da comunidade; e) diálogo com instituições da administração pública e organizações não governamentais no município; f) apresentação da proposta de pesquisa para os pertencentes à Associação Quilombola Ana Laura; g) acompanhamento das atividades da comunidade, realização de entrevistas e rodas de conversa; h) transcrição, organização e sistematização da informação; g) interpretação e análise crítica da informação; i) elaboração do plano de ação (redação da dissertação); j) divulgação dos resultados (qualificação e defesa da dissertação); k) Retorno dos resultados da pesquisa para com a comunidade. A nossa expectativa é a de que esta pesquisa possa constituir um instrumento que expresse a luta pelo reconhecimento e valorização da cultura afrodescendente em contraposição aos interesses econômicos e políticos do grande capital.","VILLAMIL, I. P. Resistência negra Afrodescendente em Goiás : a associação Quilombola Ana Laura no município de Piracanjuba/GO. 2018. 90 f. Dissertação (Mestrado em Ambiente e Sociedade) - Câmpus Sudeste - Sede: Morrinhos, Universidade Estadual de Goiás, Morrinhos-GO.||http://www.bdtd.ueg.br/handle/tede/514",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Silva, Willian Vieira da",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Memória, identidade e políticas públicas na comunidade remanescente de Quilombo Boa Nova do município de Prof. Jamil (GO)",2019,Universidade Estadual de Goiás (UEG),UEG,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Quilombolas||Comunidade Boa Nova||Cidadania||Quilombolas||Fight||Citizenship||Boa Nova Community||OUTROS,Não informado pela instituição,por,"Esta pesquisa foi realizada na Comunidade Boa Nova, localizada no município de Professor Jamil, estado de Goiás. Nossa proposta consiste em investigar como essa comunidade luta pelo seu direito à cidadania em diálogo com as outras lutas empreendidas por comunidades remanescentes de quilombo no âmbito nacional. Para isso, nossa análise se faz em torno das estratégias coordenadas pelas Associações Quilombolas formadas no interior dos grupos que se definem pelo seu caráter identitário e buscam no artifício da memória, da oralidade e da história de seus antepassados a base da sua luta. Nessa direção, nossa intenção foi compreender como a partir desse mecanismo os quilombolas da Boa Nova produzem suas ações sociais para conquista de seus direitos. Com essa finalidade, recorremos à fontes orais, por intermédio das entrevistas, e textuais, revisando a biografia a respeito do tema. Além disso, analisamos a relação das políticas públicas municipais, estaduais e federais como agentes da promoção da melhoria da qualidade de vida para comunidades remanescentes de quilombo. Entendemos que esta pesquisa poderá contribuir para os debates sobre as ações praticadas por comunidades quilombolas que buscam materializar seus direitos sociais por meio da conquista de sua cidadania. Por fim, reafirmar o que foi constatado nesta investigação onde o principal discurso dos quilombolas é de que eles não esperam, nem muito menos querem favores do governo. Ao contrário, aspiram apenas o direito de ser cidadão pleno e ter acesso aos espaços nos quais, historicamente, seus antepassados foram privados.","SILVA, W. V. Memória, identidade e políticas públicas na comunidade remanescente de Quilombo Boa Nova do município de Prof. Jamil (GO). 2019. 115 f. Dissertação (Mestrado em Ambiente e Sociedade) - Câmpus Sudeste - Sede: Morrinhos, Universidade Estadual de Goiás, Morrinhos-GO.||http://www.bdtd.ueg.br/handle/tede/552",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Mendes, Neilson Silva",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Memória e expectativa : a construção identitária no Quilombo de Pombal e as estratégias de sobrevivência no campo,2015,Universidade Estadual de Goiás (UEG),UEG,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Remanescente de Quilombo||Identidade||Memória||Estratégia política||Pombal||Remnant community Quilombo||Identity||Memory||Politic strategie||Pombal||CIENCIAS HUMANAS::HISTORIA,Não informado pela instituição,por,"Este estudo ocupa-se em verificar como repercutiu na Comunidade Remanescente do Quilombo de Pombal seu reconhecimento como comunidade quilombola, com direito étnico assegurado pela Constituição de 1988. Nossa investigação consistiu, principalmente, em avaliar as narrativas utilizadas pela comunidade, buscadas na memória e nas condições atuais oferecidas pelo governo, para o reconhecimento do grupo enquanto comunidade remanescente, bem como na consciência do grupo, acerca dos benefícios que esse reconhecimento lhe trouxe, garantindo melhor qualidade de vida no território em que habita, há longo tempo. Serviram-nos de fontes de pesquisa atas e projetos elaborados pelo grupo, assim como narrativas orais, predominando, entretanto, a metodologia da pesquisa oral, ou seja, entrevistas gravadas, submetidas à análise das narrativas nelas contidas. Assim, levamos em conta as narrativas locais, as quais discursavam sobre suas memórias e a identidade local, em razão disso, debruçamo-nos sobre a discussão a respeito de memória e identidade. O intento, ao fazer isto foi o de verificar o uso político dessas categorias na luta por direitos e pela melhora de vida no Pombal. Ademais, lançamos mão de documentos, tais com atas e projetos, os quais, junto com as narrativas, nos deram conta de que a ação política pode ser empreendida a pretexto da identidade que assume.","MENDES, Neilson Silva. Memória e expectativa : a construção identitária no Quilombo de Pombal e as estratégias de sobrevivência no campo. 2015. 229 f. Dissertação( Mestrado em Territórios e Expressões Culturais no Cerrado) - Universidade Estadual de Goiás, Unidade Universitária de Ciências Socioeconômicas e Humanas, Anápolis,GO.||http://www.bdtd.ueg.br/handle/tede/982",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
