Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Área do conhecimento CNPq,Tipos de acesso,Tipo de documento,Assuntos em português,Assuntos em inglês,Idioma,Resumo,Link de acesso,Resumo em Português,Resumo em Inglês,Referência Bibliográfica
"Cunha, Lilian do Carmo de Oliveira",http://lattes.cnpq.br/2070209329711151,"Oliveira, Luiz Fernandes de||Não informado pela instituição",http://lattes.cnpq.br/7006752768658988||Não informado pela instituição,"Silva, Joselina da||Heringer, Rosana Rodrigues||Não informado pela instituição||Não informado pela instituição||Não informado pela instituição",Não informado pela instituição,Racismo institucional: desafios e perspectivas na implementação de políticas públicas antirracistas na FAETC,2017,Universidade Federal Rural do Rio de Janeiro (UFRRJ),UFRRJ,Brasil,Instituto de Educação||Instituto Multidisciplinar de Nova Iguaçu,"Programa de Pós-Graduação em Educação, Contextos Contemporâneos e Demandas Populares",Ciências Humanas,openAccess,masterThesis,racismo institucional||políticas antirracistas||relações raciais||educação,institutional racism||anti-racists policies||race relations||education,por,"O presente trabalho propõe a discussão da implementação de políticas públicas antirracistas como forma de enfrentamento ao racismo institucional presente nas instituições escolares, tendo em vista que o racismo institucional refere-se à manifestação do racismo nas estruturas de organização da sociedade. Neste sentido, a questão central que orienta esta pesquisa é: considerando a existência de um sistema social que institucionalizou o racismo influenciando diretamente as práticas pedagógicas e relações raciais nas instituições educacionais; e as políticas públicas, especificamente as que objetivam corrigir estas desigualdades raciais no tocante a educação escolar, quais os obstáculos enfrentados pelos docentes para que estes dispositivos legais antirracistas se traduzam em propostas concretas de ação? Assim, o objetivo principal desta investigação é compreender de que modo a trajetória da implementação das políticas antirracistas na Fundação de Apoio à Escola Técnica – Faetec é representada e quais os desafios são inerentes a esta. Para dialogar com as questões aqui colocadas, o trabalho se apoiará teoricamente na perspectiva histórica do racismo no Brasil, nas concepções de racismo e racismo institucional e nos reflexos destes no contexto escolar. Discutirá também os conceitos de antirracismo e ação afirmativa. Estas abordagens terão como aporte as pesquisas de Antônio Sérgio Alfredo Guimarães (2009), Carlos Hasenbalg (2005), George Reid Andrews (1998) e Valter Roberto Silvério (2002), bem como documentos oficiais do Ministério da Educação que discutem a temática abordada",https://rima.ufrrj.br/jspui/handle/20.500.14407/12994,Não informado pela instituição,Não informado pela instituição,"Cunha, Lilian do Carmo de Oliveira. Racismo institucional: desafios e perspectivas na implementação de políticas públicas antirracistas na FAETEC. 2017. 111 f. Dissertação (Programa de Pós-Graduação em Educação, Contextos Contemporâneos e Demandas Populares). Instituto de Educação, Universidade Federal Rural do Rio de Janeiro, Seropédica, RJ, 2017."
"Pace, Ângela Ferreira",http://lattes.cnpq.br/8417641945793996,"Siss, Ahyas||Não informado pela instituição",Não informado pela instituição,"Siss, Ahyas||Soares, Ana Maria Dantas||Bittar, Mariluce||Monteiro, Aloísio Jorge de.Jesus||Gonçalves, Maria Alice Rezende",Não informado pela instituição,Afro-brasileiros e racismo institucional: o papel do concurso na democratização de acesso aos cargos públicos,2012,Universidade Federal Rural do Rio de Janeiro (UFRRJ),UFRRJ,Brasil,Instituto Multidisciplinar de Nova Iguaçu||Instituto de Educação,"Programa de Pós-Graduação em Educação, Contextos Contemporâneos e Demandas Populares",Educação,openAccess,masterThesis,Concurso público||Meritocracia||Racismo Institucional||Negros||Desigualdades étnico-raciais||Educação,Public exam||Meritocracy||Institutional Racism||Negroes||Ethnic-Racial inequality||Education,por,"O cenário contemporâneo globalizado trouxe às pessoas um alcance maior a informações e, consequentemente a oportunidades no mercado de trabalho. Neste contexto, houve o aparecimento e a consolidação do concurso público, como principal mecanismo de ingresso aos cargos públicos. Acredita-se que mediante o concurso público, abre-se espaço para que todos aqueles que preencham os requisitos para determinado cargo público, tenham condições igualitárias de competição. Esta pesquisa surgiu a partir do interesse da pesquisadora em compreender o real papel que o concurso público pode desempenhar nos processos de seleção para o ingresso nos cargos públicos, no Brasil, em especial, no que diz respeito à democratização de acesso de Afro-brasileiros às carreiras do serviço público. Foram analisados aqui vários aspectos de relevância, desde o surgimento do concurso no ordenamento jurídico brasileiro até os dias atuais. São abordados fatos históricos que influenciaram a implementação de concurso como mecanismo de acesso à carreira de servidores públicos, no Brasil, assim como a legislação que regula esse instrumento, desde o período Imperial. Ênfase é concedida à sua importância como veículo de democratização examinando-se, para tanto, diplomas legais e documentos existentes sobre o tema. A pesquisa possui forte viés qualitativo, com recurso a dados estatísticos. A amostra da pesquisa abrange um levantamento extraído do sistema SIAPE, no que se refere à autodeclaração relativa à cor e etnia dos servidores docentes e técnico-administrativos da UFRRJ, principalmente os nomeados nos últimos 6 anos. Foi adotado, também, como procedimento metodológico, a aplicação de entrevistas semi-estruturadas a professores de universidades públicas, pesquisadores das relações étnico-raciais brasileiras, oriundos de IES localizadas em diferentes regiões geográficas brasileiras, seguindo a modalidade de análise crítica do discurso, fundamentada em Iñiguez (2004),. Foi enfocada, ainda, a influência do racismo institucional na sociedade brasileira, desde suas raízes e, em destaque, na condução dos concursos públicos, especialmente aqueles que possuem fase presencial. Ressalta-se que a análise do material coletado no campo foi feita à luz do referencial teórico basilar da pesquisa, bem como outros acadêmicos como suporte. Demonstrou-se como a educação é um fator preponderante para perpetuar as desigualdades raciais e, portanto, como interferem negativamente na eficácia do sistema meritocrático. Procurou-se, também, evidenciar como o sistema de ações compensatórias pode contribuir para compensar o passado servil a que foram submetidos os negros e como as desigualdades étnico-raciais foram construídas e legitimadas pelo Estado, que insiste em impor-lhes o mito da democracia racial, que traz na bagagem um cenário de discriminações, preconceitos e desigualdades.",https://rima.ufrrj.br/jspui/handle/20.500.14407/13124,Não informado pela instituição,Não informado pela instituição,"PACE, Ângela Ferreira. Afro-brasileiros e racismo institucional: o papel do concurso na democratização de acesso aos cargos públicos. 2012. 151 f. Dissertação (Mestrado em Educação, Contextos Contemporâneos e Demandas Populares) - Instituto de Educação / Instituto Multidisciplinar de Nova Iguaçu, Universidade Federal Rural do Rio de Janeiro, Seropédica, 2012."
"Silva, Neide Cristina da",http://lattes.cnpq.br/9081035445892260,"Rom??o, Jos?? Eust??quio||Não informado pela instituição",Não informado pela instituição,"Rom??o, Jos?? Eust??quio||Silva, Maur??cio Pedro da||Almeida, Jos?? Lu??s Vieira de||Mafra, Jason Ferreira||Coelho, Edgar Pereira",Não informado pela instituição,O senhor oculto: racismo nos materiais did??ticos de hist??ria no ensino m??dio,2017,Universidade Nove de Julho (UNINOVE),UNINOVE,Brasil,Educa????o,Programa de P??s-Gradua????o em Educa????o,CIENCIAS HUMANAS::EDUCACAO,openAccess,doctoralThesis,racismo||racialidade||curr??culo||hist??ria,racism||raciality||curriculum||history,por,"La investigaci??n que result?? en esta tesis tuvo como tema el racismo arraigado en el curr??culo de la disciplina de Historia de Brasil y como objeto el an??lisis de los efectos de la aplicaci??n de la Ley n?? 10.639 / 03 en los libros did??cticos de Historia para la Ense??anza Media as?? como en las pr??cticas de los profesores de esta disciplina en ese curso. Se pretendi?? verificar si los componentes hist??ricos de las matrices curriculares cargadas de denotaciones y connotaciones racistas fueron reformuladas, alteradas o incluso prohibidas despu??s de la implantaci??n de la Ley n?? 10.639 / 03. Las principales cuestiones de investigaci??n fueron: i) ??Por qu?? la propuesta curricular de Historia del Estado de S??o Paulo contin??a abordando la Historia de Brasil a partir de la periodizaci??n de la colonizaci??n europea? ii) Considerando que la educaci??n es uno de los principales instrumentos de reproducci??n / alteraci??n de las relaciones y de las estructuras sociales, ??por qu?? la historiograf??a estampada en los libros did??cticos de Historia todav??a se presenta de forma racista? Las hip??tesis defendidas son: iii) Insertar Historia Africana y Afro-brasile??a en el curr??culo escolar sin modificar el enfoque y la periodizaci??n con que se presenta la historia de Brasil, promueve el mantenimiento de las mentes ""blanqueadas"" y del status quo defendido por las instituciones gubernamentales. iv) Los libros did??cticos manitenen de forma s??til la discriminaci??n a partir de sus contenidos, llamados de progresistas, justificando as?? la explotaci??n y la no subvaloraci??n de la poblaci??n negra. De este modo, el problema central es que, a pesar del cambio en los contenidos curriculares, la historia de Brasil sigue siendo narrada con la imposici??n de la visi??n de mundo de la minor??a blanca y rica, de la clase dominante, que intenta domesticar las mentes de los miembros de las clases dominadas / explotadas. Para la realizaci??n de esta tesis fueron trabajadas, como categor??as principales los conceptos de concientizaci??n/ alienaci??n y colonialidad / racialidad teniendo como principales aportes te??ricos Paulo Freire y An??bal Quijano. La tesis que se defiende es la de que, a pesar de los avances en la ense??anza de historia y la cultura afro-brasile??a, a partir de la promulgaci??n de la referida Ley, la racialidad del saber, presente en la historiograf??a did??ctica, no permite superar la perspectiva temporal de la historia que posiciona al negro como inferior. Perpetua, as??, por la clase opresora que se juzga blanca, el racismo y busca legitimar la explotaci??n de la clase oprimida constituida, predominantemente, por negros y pardos.",http://bibliotecatede.uninove.br/handle/tede/1714,Não informado pela instituição,Não informado pela instituição,"Silva, Neide Cristina da. O senhor oculto: racismo nos materiais did??ticos de hist??ria no ensino m??dio. 2017. 269 f. Tese( Programa de P??s-Gradua????o em Educa????o) - Universidade Nove de Julho, S??o Paulo."
"Macarini, Luciana Aparecida Bravim",http://lattes.cnpq.br/0594383543149585,"Oliveira, Valdeci Batista de Melo||Não informado pela instituição",http://lattes.cnpq.br/2009141052525686||Não informado pela instituição,"Oliveira, Valdeci Batista de Melo||Santos, Jefferson Fernando Voss dos||Schröder, Luciane Thomé||Coqueiro, Wilma dos Santos||Não informado pela instituição",http://lattes.cnpq.br/2009141052525686||http://lattes.cnpq.br/3894857923665807||http://lattes.cnpq.br/9660701345719310||http://lattes.cnpq.br/0153461918591041||Não informado pela instituição,Leitura e literatura: uma proposta de combate ao racismo para os sextos anos do Ensino Fundamental,2018,Universidade Estadual do Oeste do Paraná (UNIOESTE),UNIOESTE,Brasil,Centro de Ciências Humanas,Programa de Pós-Graduação em Letras - Mestrado Profissional,CIENCIAS HUMANAS,openAccess,masterThesis,Ensino de literatura||Leitura||Racismo||Ensino Fundamental (anos finais),Literature teaching||Reading||Racism||Elementary School (final years),por,"This research aims to develop and analyze reading practices that seek to respond to legal determinations established by the implementation of Law 10.639/03. In this sense, not only does it offer a proposal of didactic activities planning in order to respond to those determinations, but it also reflects on the role of racism in the Brazilian society and its consequences for the construction of positive racial identities. This is a bibliographical research combined with a practical proposal of activities in the classroom. In its technical procedures, reference is made to Action Research, with a qualitative approach. The theoretical approach is focused on the conception of language as a social practice, supported by Bakhtin (1997/2003/2010) and the humanizing literature (CANDIDO, 1995). The reading strategies, from the Receptive Method, proposed by Aguiar and Bordini (1993), are based on the Reception Aesthetics, according to Jauss (1994). Standardized techniques of data collection are also used: documentary analysis of activities of textual production – experience report and critical-reflexive comments – according to the Didactic Unit produced for that purpose. With this proposal, we expect to encourage the debate about racism in the classroom and motivate Portuguese Language and Literature teachers – possible readers of this dissertation – to experience such a pedagogical approach to the implementation of Law 10.639/03, thereby expanding this research topic in other biases.",http://tede.unioeste.br/handle/tede/4069,Não informado pela instituição,Não informado pela instituição,"MACARINI, Luciana Aparecida Bravim. Leitura e literatura: uma proposta de combate ao racismo para os sextos anos do Ensino Fundamental. 2018. 181 f. Dissertação (Mestrado Profissional em Letras) - Universidade Estadual do Oeste do Paraná, Cascavel."
"Vargas, Lenita",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Anúncios publicitários: representação de mulheres negras e racismo na perspectiva da análise crítica do discurso,2014,Universidade Católica de Pelotas (UCPEL),UCPEL,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,"anúncios publicitários||mulheres negras||racismo||mídia||gênero||Análise Crítica do Discurso||advertisements||racism||blak women||media||gender and Critical Discourse Analysis.||CNPQ::LINGUISTICA, LETRAS E ARTES::LINGUISTICA::LINGUISTICA APLICADA",Não informado pela instituição,por,"Este trabalho de pesquisa tem como objetivo demonstrar que nos textos de anúncios publicitários nacionais e internacionais veiculados na mídia há incitação racista na representação de mulheres negras e de que forma, implícita ou não, o preconceito se manifesta por meio da materialidade linguística e imagética. O corpus é constituído por cinco anúncios publicitários, veiculados em mídia impressa e/ou televisiva com exemplos dos séculos XIX, XX e XXI, selecionados por retratar as mulheres negras e brancas de forma diferenciada. Os anúncios escolhidos são: N. K. Fairbank Company (1860), Benetton (1991/92), Sony (2006), Dove (2011) e Bombril (2012). A fundamentação teórica ampara-se, principalmente, na Análise Crítica do Discurso (ACD), a partir da obra de Norman Fairclough (2001), com base na categoria da interdiscursividade. Utilizo ainda os estudos de gênero de Lauretis (1994) e Nicholson (2000), os postulados acerca de racismo de Van Dijk (2008), as proposições sobre mídia de Chauí (2010), as técnicas de análise de imagens de Joly (2010) e o conceito de ideologia de Thompson (1995). Os resultados da pesquisa confirmam a hipótese, isto é, demonstram que todos os anúncios analisados apresentam textos verbais e visuais que compõem um construto típico de discurso envolto em racismo e na soberania das mulheres brancas. Isso possibilita a exposição de práticas discriminatórias a serviço da elite, que valoriza a raça branca, por explicitar sentidos que mantêm e reproduzem o preconceito étnico, perpetuando o racismo","VARGAS, Lenita. Anúncios publicitários: representação de mulheres negras e racismo na perspectiva da análise crítica do discurso. 2014. 103 f. Dissertação (Mestrado em Letras) - Universidade Catolica de Pelotas, Pelotas, 2014.||http://tede.ucpel.edu.br:8080/jspui/handle/tede/341",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Sousa, Maria do Perpetuo Socorro Lima||http://lattes.cnpq.br/8242247448433216",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,A presença de mulheres negras em cargos hierarquizados da Secretaria Municipal de Educação de Manaus: racismo e impasse na sua pertença e autodeclaração,2015,Universidade Federal do Amazonas (UFAM),UFAM,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Mulher negra||Racismo||OUTROS,Não informado pela instituição,por,"Esta pesquisa tem por objeto o estudo da presença de mulheres negras em cargos hierarquizados da Secretaria Municipal de Educação de Manaus, temática pouco explorada nas ciências sociais e que hoje surge com grande potencial de análise. O propósito deste estudo consiste em verificar a forma pela qual as mulheres negras adentram os espaços de poder na Secretaria Municipal de Educação de Manaus, dando destaque tanto para o aspecto do preconceito enfrentado por elas no âmbito do trabalho, quanto à competência que elas demonstram no exercício de suas funções. Buscamos também averiguar de que forma se estabelece a intersecção conceptual entre gênero e raça no movimento feminista, ao mesmo tempo em que procuraremos apontar a situação de feminização do magistério. Tratamos, enfim, de estabelecer o perfil das mulheres negras que assumem cargos hierárquicos na SEMED/Manaus, pontuando as jornadas de trabalho e as redes de apoio com quem elas deixam os filhos enquanto trabalham fora de casa. O estudo foi realizado tendo por base o aporte das abordagens qualitativas, sem excluir os aspectos quantitativos . Dentre os múltiplos aspectos revelados constatou-se que o racismo continua latente no espaço de trabalho das mulheres negras e que muitas vezes a própria mulher negra não se percebe como sujeito atingido pelo racismo. Essas mulheres têm dificuldade de se autodeclararem negras ou pretas, preferem usar outros termos para ocultar a própria raça. Constatou-se,também, que elas se encontram em cargos subalternizados e não divulgam as violências simbólicas sofridas no ambiente de trabalho, o que podemos supor que seja um traço do não reconhecimento da própria condição étnica. Deve-se reconhecer , por fim, o fato de que há um racismo velado que impele as próprias mulheres negras a não reconhecerem a sua pertença étnica no desempenho de cargo hierárquico na Secretaria Municipal de Educação de Manaus.","SOUSA, Maria do Perpetuo Socorro Lima de. A presença de mulheres negras em cargos hierarquizados da Secretaria Municipal de Educação de Manaus: racismo e impasse na sua pertença e autodeclaração. 2015.105 f. Dissertação (Mestrado em Sociedade e Cultura na Amazônia) - Universidade Federal do Amazonas, Manaus, 2015.||http://tede.ufam.edu.br/handle/tede/5137",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Teixeira, Rozana",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,O papel da educação e da linguagem no processo de discriminação e atenuação do racismo no Brasil,2006,Ânima Educação,Ânima,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Linguagem visual||Educação||Imagem||Racismo||Livros didáticos,Não informado pela instituição,por,"The study presented in this dissertation is relative the image of Brazilian black in didatic and pardidactic book. Object if point the paper of visual language of the didactic and paradidactics books, in fundamental teaches, in that say about attenuation or perpetuation of racism in the Brazil. The presented theories search shows that the images that do part of daily school are basic to explain and reinforce our relation with the visual world, which is essential for the intellectual activity of the children in apprenticeship situation. For as much, start if of presuppose that a social development of individual passes, necessarily, for the images with which had contact long of life, particularly of school life. The research presented if serve of dice quality, which reply a question much particulars ,in this case, the image that children between 11 to 15 years old retain in your memories of black in the didactic book, and a that the one images transmit and as interfere in your life. The first phase of work understood a one lift of collections didactics and paradidactics book available and in use in the school chosen to a research, the register of images and text that carry a importance of diversity cultural Brazilian, those considered positive and negative images. The participant agents of field research, pupils of 5ª, 6ª and 7ª series, of state college Helios Antonio de Souza, had used the visual language, through drawings, to portray the image of Brazilian black in the didactic and paradidactic book. It was intended show, with this, the school life of descending pupils’ afro, as also contributed to modify inside of school space existing prejudiced relations of pupil for descending, aboriginal, aged, obese, pupils with necessities special, etc…",https://repositorio.animaeducacao.com.br/handle/ANIMA/3182,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Nunes, Sylvia da Silveira",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Racismo contra negros: um estudo sobre o preconceito sutil,2010,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Blacks||Ciganos||Gypsy people||Negros||Preconceito||Prejudice||Raça (antropologia)||Race (anthropological)||Racism||Racismo,Não informado pela instituição,por,"O racismo é um tema pouco abordado na psicologia, no entanto, tratase de um problema social sério. Pesquisas têm observado, em vários países, a frequência cada vez maior da forma sutil de preconceito em contraposição à diminuição da forma mais explícita. Nesse sentido, nosso objetivo foi compreender melhor essa nova fisionomia do racismo o preconceito sutil. Uma parte do estudo foi realizada no Brasil e outra, na Espanha. Dentre os vários grupos humanos possíveis de ser alvo de práticas racistas, enfocamos o racismo contra negros no Brasil e contra gitanos na Espanha. Embora existam diferenças na história de cada grupo, é comum entre eles o fato de estar há séculos em território brasileiro e espanhol, respectivamente, e persistirem as práticas discriminatórias contra eles. A presente pesquisa combinou métodos quantitativo (escalas de preconceito sutil e flagrante de Pettigrew e Meertens) e qualitativo (entrevistas). No Brasil, 235 alunos responderam ao questionário e 71 estudantes, na Espanha. Destes, 15 foram entrevistados na pesquisa realizada no Brasil e 4, na Espanha. Para a análise dos dados quantitativos, foram feitas provas estatísticas. Para as entrevistas, foram formuladas categorias de análise. Os dados dos questionários apontaram: (1) maior facilidade dos espanhóis em declarar o racismo; (2) os homens mostraram maior preconceito do que as mulheres, tanto no Brasil quanto na Espanha; (3) houve maior expressão de preconceito sutil do que de preconceito flagrante, nas amostras dos dois países; (4) aproximadamente 75% da amostra brasileira se identifica como branca, mas apenas cerca de um terço tem ascendência branca. Ou seja, grande parte dos participantes são mestiços, mas se identificam como brancos. As entrevistas trouxeram mais elementos para a compreensão do racismo, apontando algumas questões da dinâmica do preconceito racial, tais como o problema da sutileza na discriminação; as brincadeiras racistas; a culpabilização da vítima; a responsabilização do negro para a mudança de sua situação e, com isso, a recusa às propostas de ação afirmativa; a falsa neutralidade na abordagem do tema racial; e, finalmente, a não percepção da racialização presente. As falas não racistas foram poucas e não chegaram a compor uma categoria em separado. Porém, foi possível também estudar a admissão do próprio racismo atitude essa que aponta um caminho para a superação do preconceito racial. Concluímos, enfim, que a presente tese trouxe contribuições para a reflexão do racismo sutil. Sugerimos outras pesquisas e intervenções a fim de que a reflexão sobre esse problema social favoreça a superação do preconceito nas relações humanas",http://www.teses.usp.br/teses/disponiveis/47/47131/tde-27072010-082636/,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Calado, Maria da Glória",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Escola e enfrentamento do racismo: as experiências das professoras ganhadoras do Prêmio Educar para a Igualdade Racial,2013,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Confrontation||Enfrentamento||Enquadre||Escola||Frame||Prêmio Educar para a Igualdade Racial||Prêmio Educar para a Igualdade Racial||Racism||Racismo||School,Não informado pela instituição,por,"No Brasil, ainda hoje, persiste o ideário do mito da democracia racial. Embora a intervenção curricular efetuada pela Lei 10.639/03 possa ser entendida como um avanço para o reconhecimento e a problematização da questão racial, não é raro que ainda verifiquemos no ambiente escolar a negação do racismo, por vezes, manifestada pelo silenciamento dos atores escolares, frente às manifestações de preconceito e de discriminação racial. Nossa pesquisa teve por objetivo analisar os relatos de professoras sobre as práticas pedagógicas laureadas pela 4ª edição do Premio Educar para a Igualdade Racial, buscando investigar as contribuições dessas práticas no enfrentamento do racismo no contexto escolar. Para a análise, adotamos o método qualitativo de pesquisa. O referencial teórico utilizado é proveniente de diferentes áreas do conhecimento, como a história, a sociologia, a educação e, sobretudo, a psicanálise. Devemos aos aportes da psicanálise o uso do conceito de enquadre, aqui, utilizado como instrumento para entender as relações entre o racismo e a formação da subjetividade dos sujeitos (BLEGER, 1998; COSTA, 2012). O uso do conceito de enquadre foi fundamental para compreender o modo como as práticas pedagógicas realizadas pelas professoras podem romper com estereótipos, preconceitos e contribuir para o combate do racismo. Escolhemos investigar as práticas de enfrentamento do racismo no espaço escolar, porque o consideramos não somente como lugar de reprodução do racismo, mas também como espaço privilegiado no combate às desigualdades raciais. Defende-se, nesse trabalho, que as práticas pedagógicas de nossas entrevistadas estimulam o rompimento do silenciamento dos atores escolares, sobretudo, oferecem um espaço para que os educandos se manifestem, contribuindo para a ressignificação das experiências com o racismo e para o desenvolvimento de práticas formativas na perspectiva de uma educação igualitária.",http://www.teses.usp.br/teses/disponiveis/48/48134/tde-25032014-133053/,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Conceição, Isis Aparecida",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Os limites dos direitos humanos acríticos em face do racismo estrutural brasileiro: o programa de penas e medidas alternativas do Estado de São Paulo,2009,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Critical theory. Alternative penalties||Direitos humanos||Discriminação racial||Human rights||Institutional racism||Penas||Preconceito racial||Racismo||Structural racism,Não informado pela instituição,por,"Esse trabalho teve como ponto de partida as raízes históricas dos Direitos Humanos com análise das vertentes ignoradas nos dias atuais. Apesar da moderna concepção e função entendida dos Direitos Humanos, ao observamos os efeitos das implementações de determinadas políticas públicas de Direitos Humanos em uma realidade Estruturalmente racializada, a exemplo da Brasileira, podemos constatar que os resultados dessas intervenções não interferem na segregação racial histórica que foi construída e ainda experimentamos no país, mas os perpetuam e até acentuam. A pergunta que se pretende responder é como se situam os Direitos Humanos na correlação de forças entre uma idéia de criação elitista, de origem burguesa para proteção de determinados grupos, e a necessidade atual, de utilização desses direitos como instrumento de uso efetivo das classes oprimidas.A análise dessa correlação de forças será feita sobre a observação da realidade brasileira através da análise crítica da literatura disponível sobre o assunto. Buscaremos uniformizar os conceitos sobre raça, racismo, preconceito, discriminação e outros mecanismos que explicam as dinâmicas das relações raciais no Brasil e no mundo. Apresenta-se a raiz da idéia de Direitos Humanos como eles foram inicialmente concebidos e como o são hoje em dia. Identifica-se essa raiz no conceito de Dignidade da Pessoa Humana e apresentamos como o racismo em suas diversas formas de manifestação nega esse direito, tornando-se, assim, uma ameaça para o Estado democrático de Direito, que tem como elemento fundador e legitimador a dignidade humana. E feito um levantamento histórico de formação da idéia de controle social no Brasil, as origens teóricas da idéia que estruturou o nosso sistema criminal, as suas bases racistas e como esses elementos de origem refletem-se nos dados de desigual acesso ao sistema de justiça criminal até os dias atuais. A seletividade é tratada como um elemento constituinte e pouco considerado do sistema de controle social moderno. A Dissertação é finalizada com uma análise dos dados referentes à política penitenciária do Estado de São Paulo e os reflexos que uma estrutural racializada, do sistema de controle social brasileiro, implica na implementação desigual, racialmente falando, do programa de penas alternativas.",http://www.teses.usp.br/teses/disponiveis/2/2134/tde-18112011-164318/,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
