Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Área do conhecimento CNPq,Tipos de acesso,Tipo de documento,Assuntos em português,Assuntos em inglês,Idioma,Resumo,Link de acesso,Resumo em Português,Resumo em Inglês,Referência Bibliográfica
"Jose Filho, Antonio",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,A performatividade na linguagem dos Kaiowa/Guarani,2005,Universidade Estadual de Campinas (UNICAMP),UNICAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Linguagem||Identidade||Professores - Formação||Indígenas - Educação||Índios Guarani||Índios Guarani Kaiwá||Indígenas - Cultura||Atos de fala (Linguistica)||Language||Identity||Teacher Indians||Culture Kaiowa Guarani||Speech acts,Não informado pela instituição,por,"Orientador: Rajagopalan, Kanavillil","(Broch.)||https://hdl.handle.net/20.500.12733/1601099||JOSE FILHO, Antonio. A performatividade na linguagem dos Kaiowa/Guarani. 2005. 186p. Tese (doutorado) - Universidade Estadual de Campinas, Instituto de Estudos da Linguagem, Campinas, SP. Disponível em: https://hdl.handle.net/20.500.12733/1601099. Acesso em: 21 fev. 2025.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Noal, Mirian Lange",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,As crianças guarani/kaiowa : o mita reko na aldeia Pirakua/MS,2006,Universidade Estadual de Campinas (UNICAMP),UNICAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Crianças indigenas||Índios Guarani Kaiwá||Índios Guarani||Crianças pequenas||Indigenous children||Guarani/kaiowa indians||Early childhood education||Infancy childhood pedagogy,Não informado pela instituição,por,Orientador: Ana Lucia Goulart de Faria,"(Broch.)||https://hdl.handle.net/20.500.12733/1603892||NOAL, Mirian Lange. As crianças guarani/kaiowa: o mita reko na aldeia Pirakua/MS. 2006. 353p. Tese (doutorado) - Universidade Estadual de Campinas, Faculdade de Educação, Campinas, SP. Disponível em: https://hdl.handle.net/20.500.12733/1603892. Acesso em: 21 fev. 2025.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Cardoso, Valeria Faria",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Aspectos morfossintaticos da lingua Kaiowa (Guarani),2008,Universidade Estadual de Campinas (UNICAMP),UNICAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,"Línguas indígenas - Morfossintaxe||Índios Guarani Kaiwá||Gramática comparada e geral - Casos||Voz inversa||Indians Kaiowa||Indians - Languages - Morphosyntax||Grammar, Comparative and general - Case||Inverse voice",Não informado pela instituição,por,Orientador: Lucy Seki,"https://hdl.handle.net/20.500.12733/1607805||CARDOSO, Valeria Faria. Aspectos morfossintaticos da lingua Kaiowa (Guarani). 2008. 294p. Tese (doutorado) - Universidade Estadual de Campinas, Instituto de Estudos da Linguagem, Campinas, SP. Disponível em: https://hdl.handle.net/20.500.12733/1607805. Acesso em: 22 fev. 2025.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Marschner, Arami Argüello, 1992-",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Saberes do corpo kaiowa : lugar de murmúrio e resistência,2019,Universidade Estadual de Campinas (UNICAMP),UNICAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Corpo||Índios Guarani Kaiwá||Cultura Indígena||Ritos e cerimônias||Processo criativo||Body||Indians Kaiowa||Indigenous culture||Rites and ceremonies||Creative process,Não informado pela instituição,por,Orientador: Veronica Fabrini Machado de Almeida,"https://hdl.handle.net/20.500.12733/1640426||MARSCHNER, Arami Argüello. Saberes do corpo kaiowa: lugar de murmúrio e resistência. 2019. 1 recurso online (220 p.) Dissertação (mestrado) - Universidade Estadual de Campinas, Instituto de Artes, Campinas, SP. Disponível em: https://hdl.handle.net/20.500.12733/1640426. Acesso em: 22 fev. 2025.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Corrado, Elis Fernanda, 1989-",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"""O Tekoha como uma criança pequena"" : uma etnografia de acampamentos Kaiowá em Dourados (MS)",2017,Universidade Estadual de Campinas (UNICAMP),UNICAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Sociabilidade||Territorialidade||Acampamentos indígenas||Índios Guarani Kaiwá||Índios Guarani||Sociability||Territoriality||Indian encampments||Indians Kaiowá||Indians Guarani,Não informado pela instituição,por,"Orientadores: Nashieli Cecília Rangel Loera, Aline Castilho Crespe","https://hdl.handle.net/20.500.12733/1635692||CORRADO, Elis Fernanda. ""O Tekoha como uma criança pequena"": uma etnografia de acampamentos Kaiowá em Dourados (MS). 2017. 1 recurso online (136 p.) Dissertação (mestrado) - Universidade Estadual de Campinas, Instituto de Filosofia e Ciências Humanas, Campinas, SP. Disponível em: https://hdl.handle.net/20.500.12733/1635692. Acesso em: 22 fev. 2025.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Eurich, Grazieli",http://lattes.cnpq.br/8467724434756278,"Moreira, Vania Maria Losada||Não informado pela instituição",http://lattes.cnpq.br/7719432749295704||Não informado pela instituição,"Hill, Jonathan D.||Mattos, Izabel Missagia de||Machado, Paulo Pinheiro||Oliveira Filho, João Pacheco de||Almeida, Maria Regina Celestino de",Não informado pela instituição||http://lattes.cnpq.br/7600355155295362||http://lattes.cnpq.br/5273589105719950||http://lattes.cnpq.br/3524115532897588||http://lattes.cnpq.br/4601567828530023,A fé que move os indígenas: o monge São João Maria e os “ecos” do Contestado na luta Kaingang pela terra no interior do Paraná,2019,Universidade Federal Rural do Rio de Janeiro (UFRRJ),UFRRJ,Brasil,Instituto de Ciências Humanas e Sociais,Programa de Pós-Graduação em História,História,openAccess,doctoralThesis,Movimento sociorreligioso||Kaingang||Paraná,Socio-religious movement||Kaingang||Paraná,por,"Esta tese investiga o conflito entre Kaingang e colonizadores na Vila da Pitanga, região central do Paraná, em 1923, e sua conexão com o monge São João Maria do Contestado. Por meio de uma perspectiva histórica de longa duração e do diálogo com a literatura antropológica sobre movimentos sociorreligiosos, destaca o entrelaçamento entre religião, cosmologia indígena e luta pela terra nos episódios analisados. Aborda o encontro dos indígenas com a religião católica nas reduções jesuíticas do séc. XVII, localizadas no atual território paranaense, e com o processo de catequização religiosa promovida pelo regime imperial no séc. XIX, salientando como os Kaingang reformularam suas estratégias diante da realidade do contato e as reivindicações que encaminharam ao poder estadual e ao Serviço de Proteção aos Índios (SPI), com vistas à demarcação de seus territórios. Analisa o contexto da confusa política de terras implementada pelo estado do Paraná, que não demarcou os limites da Terra Indígena Ivaí após a mudança do sítio original, em 1913, motivando o conflito na década seguinte. Finalmente, analisa a ação armada realizada pelos índios e seus desdobramentos: a invasão da vila em abril de 1923, o massacre dos índios em seus “toldos” e o julgamento dos indígenas pela Justiça. A tese mostra como os diversos encontros dos Kaingang com as missões e aldeamentos religiosos facilitou a adesão deles ao multifacetado movimento do Contestado, transformando a linguagem religiosa em um importante instrumento de expressão política e a luta pela terra em um movimento de cunho sociorreligioso. A pesquisa se apoia em um amplo repertório de fontes primárias, especialmente no processo crime no qual os Kaingang foram julgados pelo homicídio de moradores da vila e os jornais da época. Utiliza ainda mapas, relatórios governamentais e depoimentos dos índios Kaingang sobre o evento, colhidos por meio da História Oral",https://rima.ufrrj.br/jspui/handle/20.500.14407/10067,Não informado pela instituição,Não informado pela instituição,"EURICH, Grazieli. A fé que move os indígenas: o monge São João Maria e os “ecos” do Contestado na luta Kaingang pela terra no interior do Paraná. 203 f. Tese (Doutorado em História). - Instituto de Ciências Humanas e Sociais, Universidade Federal Rural do Rio de Janeiro, Seropédica, 2019."
"Ferro, Isabella Medeiros",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Indicadores de sujeito na língua Kaingang (Macro-Jê) : análises e considerações,2024,Universidade Estadual de Londrina (UEL),UEL,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Língua kaingang||Língua kaingang||Sujeito e predicado||Atos de fala (Linguística)||Kaingang language||Kaingang language||Speech acts (Linguistics)||Topic and comment,Não informado pela instituição,por,"Resumo: Atualmente a comunidade Kaingang da Terra Indígena Apucaraninha, localizada próximo a Tamarana-PR, carece de materiais pedagógicos para o ensino-aprendizagem da língua materna, portanto a elaboração de uma gramática da língua, demandada pelos próprios professores bilíngues, se faz necessária Diante disso, o objetivo geral deste trabalho é analisar e tecer considerações acerca dos indicadores de sujeito da língua Kaingang, pertencente à família linguística Jê, do tronco Macro-Jê, o que permitirá contribuir, por meio da descrição linguística, com a elaboração de uma Gramática Pedagógica da língua Segundo Seki (2), o estudo das línguas indígenas contribui cientificamente com as teorias linguísticas, seja com novas hipóteses ou reformulações teóricas, já que são menos conhecidas pela ciência, bem como contribui socialmente, auxiliando, conforme a vontade da comunidade, a preservar e/ou revitalizar suas línguas Não há consenso sobre a categoria dos morfemas indicadores de sujeito e suas funções; para Wiesemann (211), são posposições que, em função do sujeito da oração, seguem substantivos, alguns pronomes ou frases substantivadas; para Nascimento (1995), os indicadores marcam os sistemas de caso presentes na língua; Nascimento (217), por sua vez, defende que são núcleos oracionais que têm como função licenciar as orações matrizes Diante disso, analiso os morfemas m?, v?, jé e n?, em orações elicitadas, com base na teoria linguística dos atos de fala e apresento a hipótese, com corpus de narrativas, que morfema tóg é utilizado como marcador de coerência referencial Os resultados mostram que m? marca orações interrogativas polares, jé marca orações imperativas, n? acompanha palavras interrogativas, a marcação de orações declarativas é zero, seja declarativa positiva ou negativa A hipótese do marcador tóg é válida, porém é necessária mais investigação",https://repositorio.uel.br/handle/123456789/10109,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Domingues, Gislaine",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Descrição morfossintática do nome e do verbo no Kaingang,2024,Universidade Estadual de Londrina (UEL),UEL,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Língua kaingang||Morfologia||Língua kaingang||Sintaxe||Língua kaingang||Kaingang language||Kaingang language||Kaingang language||Verb||Morphology||Syntax,Não informado pela instituição,por,"Resumo: Esta Dissertação apresenta a descrição morfossintática das classes gramaticais dos nomes e dos verbos no Kaingang, língua indígena pertencente à família Jê, Tronco Macro-Jê, falada por aproximadamente 3 indígenas distribuídos nos estados do Rio Grande do Sul, Santa Catarina, Paraná e São Paulo Neste trabalho aponto os passos metodológicos seguidos durante o desenvolvimento da pesquisa: elaboração do questionário, informações acerca do informante, coleta e seleção dos dados Apresento, em linhas gerais, os trabalhos linguísticos voltados à língua Kaingang, realizados por diversos pesquisadores da área da linguagem Em seguida, trago informações acerca do povo e da língua Kaingang Partindo de uma abordagem tipológico-funcionalista (focalizando especificamente no modelo dos protótipos givoniano), descrevo as duas classes mais comuns de serem observadas entre as línguas naturais do mundo, isto é, nome e verbo A partir das análises dos dados, foi possível observar que, quanto às propriedades distribucionais, os nomes no Kaingang desempenham função de sujeito e objeto Em relação às propriedades estruturais, recebem modificadores (numerais, especificadores, marcação de plural, dentre outros) Também comprovou-se, por meio dos dados, que há definida, na língua Kaingang, a classe dos adjetivos Sobre a posse nominal, os dados apontam para a marcação do tipo pronominal Em relação aos verbos, estes se dividem em intransitivos e transitivos Os intransitivos se dividem em simples (ativo e estativo/ descritivo) e estendido Os verbos transitivos, por sua vez, dividem-se em ativos e estendidos Foram apresentados, também, alguns fatores que condicionam a alternância de forma do verbo no Kaingang (mudança de estativo para ativo, marcação do plural, mudança segundo a forma do objeto) A análise deste trabalho se fundamentou nos preceitos de Anderson (1984), Dik (1997), Givón (1984, 21), Payne (1997) e Thompson (1988)",https://repositorio.uel.br/handle/123456789/9666,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Ruiz, Evandro José Narduci",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Entre lá e cá, os Kaingang em meio a terra e a cidade : a territorialização indígena no norte do Paraná",2024,Universidade Estadual de Londrina (UEL),UEL,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Índios Kaingang||Território||Geografia humana||Human geography,Não informado pela instituição,por,"Resumo: A pesquisa que se estrutura é que existe uma essência especifica dos povos indígenas para com a terra, desta maneira, faz-se necessário analisar o processo de formação territorial e socioespacial dos acampamentos da etnia Kaingang na Mesorregião Geográfica Norte Central Diante do exposto, o presente trabalho promove uma análise territorial do aldeamento indígena Apucaraninha, situado no município de Tamarana, PR e do acampamento Vãre, localizado na cidade de Londrina, PR Para efetivação da analise proposta, caracterizamos o processo de formação socioespacial indígena na região Norte do Estado do Paraná, bem como a efetivação de políticas indigenistas pelo poder público londrinense quanto ao funcionamento e manutenção para com os acampamentos Kaingang, explicando assim o processo de territorialização que este povo originário produz em seu movimento por entre territórios A pesquisa objetiva evidenciar a presença da etnia Kaingang frente as territorialidades de exclusão por parte da sociedade envolvente As teorias abordadas são correlacionadas as falas transcritas, em um universo de análise que contempla 12 entrevistas, com Kaingang que habitam a Terra Indígena Apucaraninha no município de Tamarana, bem como no Vãre- Centro Cultural Kaingang, e Chácara São Miguel, ambos localizados na cidade de Londrina",https://repositorio.uel.br/handle/123456789/15177,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Tabosa, Luciana Pereira",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Orações complexas da língua kaingang,2024,Universidade Estadual de Londrina (UEL),UEL,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Língua kaingang||Língua kaingang||Orações complexas||Linguística descritiva||Kaingang language,Não informado pela instituição,por,"Resumo: Esta tese descreve as orações complexas da língua kaingang com base nos pressupostos teóricos da Linguística Descritiva e Funcional Tem como objetivos: abordar, de um ponto de vista descritivo, as orações complexas do kaingang, com vistas a contribuir na elaboração de uma gramática pedagógica da língua; possibilitar material de fácil acesso a professores bilíngues das escolas indígenas do Norte do Paraná; contribuir com os estudos comparativos das línguas da família linguística Jê e; descrever a estrutura das orações subordinadas – completivas, relativas e adverbiais – e das orações coordenadas, partindo da escala de integração gramatical proposta por Payne (1997) Além de Payne (1997), a análise embasou-se nos pressupostos teóricos de Andrews (27), Haspelmath (27), Givón (1979, 21), Keenan (1985), Keenan e Comrie (1997) Noonan (1985, 27), Santana (21), Thompson, Longacre e Hwang (27) Apresenta dados coletados com um informante professor bilíngue da Terra Indígena Apucaraninha (Tamarana – PR) Para coleta de dados utilizou-se questionários constituídos de orações, em português, com a estrutura do objeto de análise Aponta como principais resultados que: a) a língua diferencia a marcação de caso dos argumentos S, A e O nas orações principais e subordinadas, exibindo o sistema nominativo-acusativo nas orações principais e o sistema ergativo-absolutivo nas orações subordinadas As orações coordenadas, assim como as orações simples da língua, exibem o sistema nominativo-acusativo; b) há semelhanças na estrutura das orações subordinadas completivas e relativas: em ambas as construções, a oração subordinada ocorre como uma oração encaixada na posição de um argumento da oração principal; c) as orações completivas e relativas não apresentam uma marca morfológica na oração subordinada, de maneira que a subordinação dessas orações à oração principal se dá em termos semânticos; d) constatou-se cinco tipos de orações subordinadas adverbiais: temporais, locativas, condicionais, finais e causais; e) nas orações adverbiais, há o emprego de conjunções e advérbios; f) constatou-se quatro tipos de coordenação: conjuntiva, disjuntiva, adversativa e conclusiva; g) a língua permite a coordenação de sintagmas e orações por meio de conjunções, advérbios e indicadores de opinião que funcionam como coordenadores, segundo Haspelmath (27)",https://repositorio.uel.br/handle/123456789/8344,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
