Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Área do conhecimento CNPq,Tipos de acesso,Tipo de documento,Assuntos em português,Assuntos em inglês,Idioma,Resumo,Link de acesso,Resumo em Português,Resumo em Inglês,Referência Bibliográfica
"Santos, Hugo Salustiano",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Sonho entre os Guarani: ensaio bibliográfico,2022,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Corporalidade||Corporality||Dreams||Guarani||Guarani||Kinship||Parentesco||Sonhos||Territorialidade||Territoriality,Não informado pela instituição,por,"Esta dissertação consiste numa pesquisa bibliográfica comparativa sobre o sonho entre os povos Guarani. Colocando em relação diversos campos que o sonho atravessa (parentesco, corporalidade, territorialidade, cosmologia, entre outros) argumento que o sonho - frequentemente concebido como mensagem ou aviso das divindades - constitui uma entre outras tecnologias que compõem uma \""arte do cuidado\"" de que os Guarani dispõem para especular e agir em sua vida. Sonhar (e compartilhar o sonho) corresponde a um dos processos por meio dos quais é viabilizada a possibilidade de perceber agências humanas e não-humanas do cosmos, eventos por vir, seus efeitos sobre as pessoas e o que é desejável obter ou evitar dessas agências e/ou eventos. Procuro demonstrar que esta atenção aos sonhos é fundamental para a constituição da pessoa, do parentesco, do território, da coletividade, para a duração da vida e para, em alguns casos, atingir o aguyje , permitindo a passagem para a \""Terra sem Males\"" ( yvy marã e\'&#7929; ). Embora os sonhos sejam muitas vezes enganosos, existindo neles o risco de ocorrer encontros e transformações indesejáveis, eles também guardam a potência de ser um entre outros meios de que os Guarani dispõem para frustrar aquilo que os faz definhar, permitindo a produção contínua de estados de contentamento e de novas capacidades existenciais, o vislumbre de novos territórios e contextos relacionais, entre outros aspectos.",https://www.teses.usp.br/teses/disponiveis/8/8134/tde-15022023-181459/,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Pires, Aline Marinho Marks",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,O espelho Guarani Mbya: a autoimagem do Guarani Mbya na transição da infância para a juventude,2019,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Adolescentes||Cultura||Culture||Guarani||Guarani mbya||Indígena||Indigenous||Jaraguá||Jaraguá||Mbya||Teenagers,Não informado pela instituição,por,"Esta dissertação apresenta a adolescência Guarani Mbya no Jaraguá, a partir dos sujeitos que integram tal grupo cultural etário. Escolhas especificas, metodológicas e teóricas, foram feitas para descrevê-los, concluindo que são adolescentes e possuem sua própria cultura. Os contextos nos quais estão inseridos, suas cosmovisões, puderam evidenciar os conflitos que produzem afetos e tornando-os um corpo político, circuito de afetos, ação mobilizadora que se apropria do espaço pelo uso insurgente que fazem dele, transformando suas culturas e fazendo surgir uma nova, criando possibilidades, até então, não pensadas pela comunidade.",http://www.teses.usp.br/teses/disponiveis/8/8161/tde-23102019-174615/,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Silva, Karine Dourado",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,A funcionalidade do sufixo -a em línguas Tupí-Guaraní,2016,Universidade de Brasília (UnB),UNB,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Língua tupi-guarani||Indígenas Guarani||Indígenas - línguas,Não informado pela instituição,por,"Dissertação (mestrado)—Universidade de Brasília, Instituto de Letras, Departamento de Linguística, Português e Línguas Clássicas, Programa de Pós-Graduação em Linguística, 2016.","SILVA, Karine Dourado. A funcionalidade do sufixo -a em línguas Tupí-Guaraní. 2016. xviii, 76 f., il. Dissertação (Mestrado em Linguística)—Universidade de Brasília, Brasília, 2016.||http://repositorio.unb.br/handle/10482/22121||http://dx.doi.org/10.26512/2016.06.D.22121",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Jose Filho, Antonio",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,A performatividade na linguagem dos Kaiowa/Guarani,2005,Universidade Estadual de Campinas (UNICAMP),UNICAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Linguagem||Identidade||Professores - Formação||Indígenas - Educação||Índios Guarani||Índios Guarani Kaiwá||Indígenas - Cultura||Atos de fala (Linguistica)||Language||Identity||Teacher Indians||Culture Kaiowa Guarani||Speech acts,Não informado pela instituição,por,"Orientador: Rajagopalan, Kanavillil","(Broch.)||https://hdl.handle.net/20.500.12733/1601099||JOSE FILHO, Antonio. A performatividade na linguagem dos Kaiowa/Guarani. 2005. 186p. Tese (doutorado) - Universidade Estadual de Campinas, Instituto de Estudos da Linguagem, Campinas, SP. Disponível em: https://hdl.handle.net/20.500.12733/1601099. Acesso em: 21 fev. 2025.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Silva, Ana Flávia",Não informado pela instituição,"Menezes, Elaine Cristina de Oliveira||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Concepções socioeconômicas Guarani-Mbya,2022,Universidade Federal do Paraná (UFPR),UFPR,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Índios Guarani Mbiá||Economia||Economia mista||Indígenas,Não informado pela instituição,por,Orientadora: Prof. Dra. Elaine Cristina de Oliveira Menezes,https://hdl.handle.net/1884/80802,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Grannier, Daniele Marcelle, 1943-",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Fonologia do guarani antigo,1974,Universidade Estadual de Campinas (UNICAMP),UNICAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Línguas indígenas - Fonologia||Índios Guarani||Linguística,Não informado pela instituição,por,Orientador : Ayron Dall'Igno Rodrigues,"https://hdl.handle.net/20.500.12733/1579615||GRANNIER, Daniele Marcelle. Fonologia do guarani antigo. 1974. 123 f. Dissertação (mestrado) - Universidade Estadual de Campinas, Instituto de Filosofia e Ciencias Humanas, Campinas, SP. Disponível em: https://hdl.handle.net/20.500.12733/1579615. Acesso em: 21 fev. 2025.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"González Cárdenas, Linda Osiris, 1993-",Não informado pela instituição,"Macagno, Lorenzo, 1965-||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Mbyá Guarani e turismo na Tríplice Fronteira : tensões e representações turísticas sobre ""O Guarani""",2018,Universidade Federal do Paraná (UFPR),UFPR,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Antropologia||Índios Guarani Mbiá||Turismo||Foz do Iguaçu (PR),Não informado pela instituição,por,Orientador: Prof. Dr. Lorenzo Gustavo Macagno,https://hdl.handle.net/1884/58586,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Herran, Rafaela Samartino",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,As Guarani e Juruas: a dança das relações na aldeia guarani Yynn Moroti Wherá,2020,Universidade do Estado de Santa Catarina (UDESC),UDESC,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Teatro e sociedade||Índios Guarani - Biguaçu (SC)||Dança na arte,Não informado pela instituição,eng,"Esta dissertação apresenta reflexões acerca dos caminhos traçados por mim como artista e pesquisadora junto à comunidade guarani Yynn Moroti Wherá, de Biguaçu - SC. metodologicamente, assume-se a seguinte estratégia: a narrativa é construída a partir da pesquisa-criação, de forma a aproximar os modos de vida guarani aos modos de vida jurua (não-indígena). A pesquisa e a dissertação são compostas por três etapas: 1- conhecer e olhar para as danças das mulheres guaranis; 2- destacar as relações de parentesco e amizade desenhadas por meio das “pontes” feitas com outros jurua, refletindo sobre os temas da afinidade, maternidade e espiritualidade. E ainda elaborar sobre a experiência da vivência artística que nomeei “Imersão Dançante” que intentou condensar uma alternativa para a elaboração de práticas e processos criativos; 3- contar através de um memorial o processo de criação do espetáculo de teatro de animação Arandua que narra mitos e histórias da cosmologia guarani e suas apresentações em escolas públicas. Do entrelaçamento da etnografia com as reflexões sobre narração, arte comunitária e relacionalidades, surge uma reflexão do papel do artista como dínamo que possibilita alternativas pedagógicas para a compreensão e fortalecimento da cultura guarani e garantia da diversidade e multiculturalidade nos espaços de educação.","HERRAN, Rafaela Samartino. <b>As Guarani e Juruas</b>: a dança das relações na aldeia guarani Yynn Moroti Wherá. 2025. Trabalho de Conclusão de Curso (Curso de Teatro) - Udesc, 2020.||https://repositorio.udesc.br/handle/UDESC/14828",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Baz, Dami Glades Maidana",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Análise dos marcadores conversacionais em Guarani Jopará,2006,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Conversational markers||Guarani Jopará||Guarani Jopará||Indigenous language||Language in contact||Línguas de contato||Línguas indígenas||Marcadores conversacionais||Tupi-guarani||Tupi-guarani,Não informado pela instituição,por,"O projeto NURC surge no Brasil para estabelecer amostras da norma culta falada em cinco grandes capitais brasileiras. Fundamenta-se na pragmática, a conversação entre os falantes é analisada e os resultados desta análise desvendam os elementos típicos da oralidade. Um dos elementos mais estudados tem sido os marcadores conversacionais ou discursivos. Estes são relevantes para a coesão e coerência do texto falado. A partir do estudo sobre a norma culta, averiguamos a presença dos marcadores conversacionais na língua falada no Paraguai, o guarani jopará. Trata-se de uma língua que se mistura com o espanhol. São encontradas grandes mesclas lingüísticas que se evidenciam também nos marcadores conversacionais. Este trabalho visa, portanto, apresentar alguns marcadores conversacionais presentes no corpus e estabelecer suas funções dentro do contexto interacional do ato comunicativo. Visa também apresentar os marcadores conversacionais responsáveis pelos encadeamentos entre os super-tópicos e tópicos do texto oral.",http://www.teses.usp.br/teses/disponiveis/8/8139/tde-07022011-111639/,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Tavares, Marilze",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Um estudo das etnias Guarani Kaiowá e Guarani Ñandeva a partir de suas impressões sobre as línguas e de um recorte do léxico em uso,2024,Universidade Estadual de Londrina (UEL),UEL,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Língua guarani||Variação||Língua guarani (Kaiowá)||Língua guarani (Ñandeva)||Guarani language||Variation,Não informado pela instituição,por,"Resumo: O estado de Mato Grosso do Sul, sobretudo a região sul, caracteriza-se por um contexto linguístico que pode ser considerado complexo Os dois principais fatores dessa complexidade são a fronteira com o Paraguai e a presença de um número relativamente grande de indígenas no estado, principalmente das etnias Guarani Ñandeva e Guarani Kaiowá Esses grupos indígenas, com frequência, são referenciados, pelos meios de comunicação, por exemplo, apenas como Guarani Empiricamente observamos que os indígenas se queixam de que o tratamento generalizante não é adequado Considerando essa problemática, este trabalho pretendeu realizar um estudo que pusesse em evidência as especifidades dos dois subgrupos étnicos, e teve os seguintes objetivos: i) verificar se, de fato, os indígenas têm percepção de diferenças culturais e linguísticas entre eles e verificar se as duas etnias percebem as supostas diferenças da mesma forma ou de formas distintas; ii) investigar se, ao menos no nível do léxico, existem diferenças linguísticas objetivas significativas entre as duas etnias; iii) averiguar se os usos linguísticos dos dois subgrupos, no que se refere ao recorte do léxico em estudo, encontram-se, da mesma forma, contemplados em dicionários de língua guarani; e iv) investigar se, entre as duas etnias, há diferenças em relação à atitude frente às influências linguísticas externas, especialmente em relação à adoção de empréstimos lexicais Para o alcance desses objetivos, selecionamos seis informantes de cada uma das etnias, segundo critérios previamente estabelecidos, com os quais coletamos depoimentos sobre questões linguísticas, e uma amostra do vocabulário – esses dados constituíram o corpus da pesquisa A análise dos dados revelou, em síntese, que, no que se refere às impressões sobre as línguas, os dois grupos étnicos demonstram posicionamento muito semelhante em relação ao que os diferencia e ao que os aproxima – ora enfatizam as diferenças, ora apontam para um processo de homogeneização linguística e cultural; quanto às diferenças no uso do léxico, observamos que elas existem e são significativas, entretanto, em geral, as unidades lexicais utilizadas pelos dois grupos estão devidamente contempladas nos dicionários de guarani (ressalta-se apenas que há pequena desvantagem para os Guarani Kaiowá no que se refere à dicionarização); já em relação às influências externas, mais exatamente ao uso de empréstimos lexicais, os dados revelaram que elas estão presentes, de forma significativa, na língua das duas etnias, mas que são mais recorrentes entre os Guarani Ñandeva De modo geral, o trabalho comprovou que existem diferenças linguísticas que devem ser consideradas na elaboração de materiais sobre a língua (dicionários e gramáticas, por exemplo) Essas diferenças, em um primeiro momento, podem parecer não relevantes do ponto de vista estritamente linguístico, mas são diferenças que os indígenas desejam que sejam evidenciadas, inclusive, por acreditarem que elas constituem as especificidades e a identidade de cada um dos grupos",https://repositorio.uel.br/handle/123456789/15332,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Sian, Matheus Giacomin",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,O Txondaro e os Guarani: alteridade e intenção,2023,Universidade Federal do Espírito Santo (UFES),UFES,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Etnologia Guarani||Txondaro||Alteridade||Animais||Modos de conhecimento||Sociologia,Não informado pela instituição,por,"This dissertation presents an ethnography on the meanings of txondaro among the Guarani, highlighting the spectrum of transformation between humans, gods and animals, based on the ways of updating in each specific relationship, in order to reflect on the Guarani ways of knowledge, and of invention of ignorance. Whether in the collective or individual forms of the txondaro, I focus on the relationality of the term, treating the txondaro as a concept of otherness among the Guarani, due to its ability to always indicate the other. Throughout this dissertation, I aim to produce a narrative that aims to answer what brings people together or distances them and I reflect on how the subjects considered txondaro pose questions about consanguinity, potential affinity and antisociality, based on relationships established with birds, bees and the jaguars; cutting the flow of relationality from otherness.",http://repositorio.ufes.br/handle/10/12651,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Pinheiro, Isael da Silva",Não informado pela instituição,"Bergamaschi, Maria Aparecida||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Arandu: a pedagogia Guarani das belas palavras,2024,Universidade Federal do Rio Grande do Sul (UFRGS),UFRGS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Educação indígena||Escola||Guarani,Não informado pela instituição,por,"Esta tese aborda a educação tradicional guarani e os processos próprios de aprendizagem e ensino. Trata-se de uma pedagogia própria, cujos saberes se pautam principalmente nas narrativas orais dos sábios e sábias guarani, considerados os guardiões dos conhecimentos originários, que são transmitidos de geração para geração. O estudo decorre de um conviver com os Guarani Nhandewa da região norte do Paraná, povo ao qual pertenço, da escuta e dos registros das narrativas orais sobre o tekoporã (modo de ser guarani). O objetivo desta tese foi construir subsídios teóricos/metodológicos para a compreensão e sistematização da pedagogia guarani, dos seus princípios e dos seus fundamentos, contribuindo para a organização dos currículos e programas escolares, bem como na construção de diálogos interculturais, inspirados nos paradigmas da educação escolar indígena. A tese articula diferentes fontes para compor uma narrativa sobre o modo de ser guarani e conta com a roda de conversa, metodologia fundamental na construção colaborativa para o fortalecimento da epistemologia guarani. Com isto, foi possível apresentar e refletir sobre o conceito de tekoa (local onde se dão as condições para o modo de ser guarani), bem como compreender aspectos da educação tradicional, da organização social e das práticas de aprendizagem e ensino.",http://hdl.handle.net/10183/276625,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Andrade, Wildes Souza",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,A construção da nação guarani pela Asamblea del Pueblo Guaraní a partir da comemoração do massacre de Kuruyuki,2014,Universidade de Brasília (UnB),UNB,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Asamblea del Pueblo Guaraní||Índios Guarani - Bolívia,Não informado pela instituição,por,"Dissertação (mestrado)—Universidade de Brasília, Instituto de Ciências Sociais, Centro de Pesquisa e Pós-Graduação sobre as Américas, 2014.","ANDRADE, Wildes Souza. A construção da nação guarani pela Asamblea del Pueblo Guaraní a partir da comemoração do massacre de Kuruyuki. 2014. xiv, 115 f., il. Dissertação (Mestrado em Ciências Sociais)—Universidade de Brasília, Brasília, 2014.||http://repositorio.unb.br/handle/10482/17055||http://dx.doi.org/10.26512/2014.10.D.17055",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
