Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Área do conhecimento CNPq,Tipos de acesso,Tipo de documento,Assuntos em português,Assuntos em inglês,Idioma,Resumo,Link de acesso,Resumo em Português,Resumo em Inglês,Referência Bibliográfica
"Paz, Ana América Magalhães Ávila",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Indianizar para descolonizar a universidade : itinerâncias políticas, éticas e epistemológicas com os estudantes indígenas da Universidade de Brasília",2013,Universidade de Brasília (UnB),UNB,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Índios da América do Sul - Brasil - educação (Superior)||Programas de ação afirmativa||Nativos||Aculturação - índios,Não informado pela instituição,por,"Tese (doutorado)—Universidade de Brasília, Faculdade de Educação, Programa de Pós-Graduação em Educação, 2013.","PAZ, Ana América Magalhães Ávila. Indianizar para descolonizar a universidade : itinerâncias políticas, éticas e epistemológicas com os estudantes indígenas da Universidade de Brasília. 2013. 239 f., il. Tese (Doutorado em Educação)—Universidade de Brasília, Brasília, 2013.||http://repositorio.unb.br/handle/10482/14108",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Correia, Patrícia Carla da Hora",Não informado pela instituição,"Miranda, Theresinha Guimarães||Não informado pela instituição",Não informado pela instituição,"Díaz-Rodríguez, Félix Marcial||Bordas, Miguel Angel García||Souza, Leliana Santos de||Ferreira, Windyz Brasão||Gonçalves, Isa Maria Carneiro||Não informado pela instituição||Não informado pela instituição||Não informado pela instituição||Não informado pela instituição",Não informado pela instituição,Modos de coMviver do índio com deficiência: um estudo de caso na etnia indígena Pankararé,2013,Universidade Federal da Bahia (UFBA),UFBA,brasil,Não informado pela instituição,Programa de Pesquisa e Pós-Graduação em Educação,Educação,openAccess,doctoralThesis,Índios da América do Sul – Vida e costumes sociais||Índios Pankararé – Vida e costumes sociais||Convivência||Pessoas com deficiências||Deficientes||Innovative management practices||Indians Pankararé - Social life and customs||Coexistence||People with disabilities||Disabled,Não informado pela instituição,por,"A tese intitulada ""Modos de coMviver do índio com deficiência: um estudo de caso na etnia indígena Pankararé"" vem discutir as práticas de inclusão que acontecem na coMvivência entre os índios com e sem deficiência. Neste intuito, levantou-se como problema se os modos de coMviver do índio com deficiência na comunidade Pankararé, gerados a partir dos vínculos que se estabelecem nas redes de sua convivência, favoreciam sua participação na cultura e no processo social e econômico da etnia. Partindo desse princípio, o estudo visou analisar as práticas de inclusão existentes na etnia Pankararé, discutindo os vínculos sociais básicos que ali se estabelecem nas redes geradas na coMvivênvia. A coMvivência é prerrogativa para que o ser humano viva em sociedade e esse viver está vinculado ao viver com e para o outro, considerando a sua alteridade e a cultura da diversidade. A pesquisa teve como sustentação teórica a discussão dos aspectos cotidianos e não-cotidianos nos contextos sociais; a teoria sócio-histórico-cultural buscando a interação entre o social, o educacional e o cultural; o gênero humano no processo de transformação da sociedade; a coMvivência como estratégia para a construção da história e a tradição e a tradução na história indígena. Os vínculos sociais básicos foram estudados nos modos de coMviver do índio com deficiência. O estudo teve uma abordagem qualitativa através do estudo de caso etnográfico, com a utilização da observação e da entrevista como instrumentos para coleta de dados. A amostra foi composta por uma professora, o pajé, o cacique e nove familiares dos nove índios com deficiência selecionados para o estudo. A análise e interpretação dos dados foram realizadas a partir do método da Análise de Conteúdos, tendo como tema ou categoria para análise do conteúdo os Vínculos Sociais Básicos. Os dados coletados evidenciaram que as práticas inclusivas acontecem nos vínculos sociais que configuram o espaço afetivo, cultural e público, sendo fruto dos processos que são sínteses da própria experiência. Essas práticas, sendo incorporadas como rotina, podem conduzir o índio com deficiência a uma verdadeira inclusão, a fim de que possa contribuir para o desenvolvimento de sua etnia, uma vez que ainda não são suficientes para ampliar as redes de coMvivência do índio com deficiência.",http://repositorio.ufba.br/ri/handle/ri/18041,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Almeida, Francieli Lisboa de, 1982-",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Um índio com uma câmera : as auto-representações indígenas através do vídeo,2013,Universidade Estadual de Campinas (UNICAMP),UNICAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Indígenas||Imagens||Auto-representação||Indians||Images||Self-representations,Não informado pela instituição,por,Orientador: Vanessa Rosemary Lea,"https://hdl.handle.net/20.500.12733/1621373||ALMEIDA, Francieli Lisboa de. Um índio com uma câmera: as auto-representações indígenas através do vídeo. 2013. 135 p. Dissertação (mestrado) - Universidade Estadual de Campinas, Instituto de Filosofia e Ciências Humanas, Campinas, SP. Disponível em: https://hdl.handle.net/20.500.12733/1621373. Acesso em: 22 fev. 2025.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Cortês, Gabriel||http://lattes.cnpq.br/7883315333441463",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Cárie dentária e fatores associados em indígenas Kotiria do alto rio Uaupés, AM, Brasil",2013,Universidade Federal do Amazonas (UFAM),UFAM,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Saúde indígena||Saúde bucal - Indígenas Kotiria||Saúde bucal - Índios sul-americanos||Indigenous health||South American Indians||CIÊNCIAS DA SAÚDE: SAÚDE COLETIVA,Não informado pela instituição,por,"Objetivo: O presente estudo buscou verificar a prevalência de cárie dentaria e investigar sua associação com fatores socioeconômicos, alimentares e de higiene bucal em indígenas Kotiria do Alto Rio Uaupés, Amazonas, Brasil. Metodologia: O estudo foi do tipo epidemiológico transversal do qual se avaliou 93,5% da população indígena residente no território tradicional Kotiria, pertencentes às faixas etárias de 1 a 5 (n=54), aos 12 (n=11) e de 15 a 19 (n=22) anos. Foi realizado exame clínico intrabucal para aferir a experiência de cárie (índice CPOD/ceod) e necessidade de tratamento por meio de metodologia e critérios definidos pela OMS (1997). Níveis de higiene bucal foram determinados a partir do Índice de Induto Simplificado (DI-S) e do componente de sangramento gengival (SG) do Índice Periodontal Comunitário (CPI). Foram usados questionários para coleta de dados socioeconômicos, de higiene bucal e alimentares. Em acréscimo, foi aplicado um inquérito alimentar recordatório das últimas 24h em três dias não consecutivos para investigar frequência do consumo de alimentos cariogênicos. Também foi realizada observação descritiva para identificar características da prática de higiene bucal e dos hábitos alimentares. A análise foi realizada por meio de estatística descritiva, teste qui quadrado de Pearson, razão da verossimilhança, exato de Fisher, correlação de Pearson, teste t e Anova. Resultados: O índice ceod foi de 4,72 e 8,11 em crianças de 1 a 5 anos e aos 5 anos respectivamente, o CPOD foi de 5,36 e 6,45 em indígenas aos 12 e de 15 a 19 anos. Estavam livres de cárie apenas 21,8% dos avaliados. A necessidade de tratamento mais frequente foi o restaurador seguido da extração. Relataram escovar os dentes 91% dos entrevistados, no entanto apenas 9,4% e 13,2% apresentaram boa higiene bucal (DI-S≤0,6) e boa condição gengival (SG=0). Aleitamento materno exclusivo até os 6 meses foi realizado para 72% das crianças entre 1 a 5 anos, e 35,9% relataram uso de mamadeira. A frequência média do consumo de sacarose foi de 1,4 vezes ao dia e de 0,7 vezes para o consumo de sacarose entre as refeições. A renda média domiciliar foi de R$ 732, sendo renda nula para 16% (n=6) dos domicílios. A escolaridade média em dos pais foi de 8,7 e das mães de 5,1 anos de estudo. Apresentou-se associado à maior frequência de cárie o maior consumo de sacarose entre as refeições (p=0,019) e o acesso descontínuo ao dentifrício (p=0,048). O índice CPOD/ceod apresentou correlação positiva (p=0,034) com o sangramento gengival. Conclusão: Foi possível concluir que a população Kotiria avaliada apresenta elevados índices de cárie e necessidade de tratamento. E que a higiene bucal adequada, acesso ininterrupto ao dentifrício e o menor consumo de sacarose entre as refeições estiveram associados ou correlacionados com melhores condições de saúde bucal.","CORTÊS, Gabriel. Cárie dentária e fatores associados em indígenas Kotiria do alto rio Uaupés, AM, Brasil. 2013. 149 f. Dissertação (Mestrado em Saúde, Sociedade e Endemias na Amazônia) - Universidade Federal do Amazonas, Manaus, 2013.||http://tede.ufam.edu.br/handle/tede/3415",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Costa, Francisco Vanderlei Ferreira da [UNESP]",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Revitalização e ensino de língua indígena: interação entre sociedade e gramática,2013,Universidade Estadual Paulista (UNESP),UNESP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Linguística||Indios Tupinamba||Indios Tupinamba - Linguagem||Linguagem||Tupinamba Indians,Não informado pela instituição,por,"Este trabalho discute a interação da Comunidade Tupinambá com a língua indígena Tupi/Tupinambá, língua que se encontra em processo de revitalização. Para isso, adota-se a postura de iniciá-lo trazendo a própria comunidade Tupi, com suas várias nomeações, isso nos séculos XVI e XVII, indicando as particularidades desse vasto e heterogêneo grupo que ocupava grande parte do litoral da região que seria nomeada de Brasil. Esse primeiro estudo tem a função de localizar a ancestralidade reclamada pela comunidade Tupinambá, mostrando o espaço do grupo Tupi na construção da História nacional. Em seguida, o trabalho volta-se para a comunidade Tupinambá do final do século XX e início do século XXI. Nesta etapa, já mostra a comunidade atual com sua luta para ser reconhecida oficialmente, a luta pela terra e pelos seus direitos, os quais continuam sendo desrespeitados. A História do grupo continua sendo feita, assim é importante mostrar que ele não ficou parado no tempo enquanto as autoridades brasileiras não os reconheciam sequer como índios. Eles continuaram a existir, mantendo sua cultura e sendo sujeitos de suas próprias mudanças étnicas. Por meio de seu movimento organizado, obtiveram as vitórias conquistadas. A partir da localização deste grupo, foi possível direcionar este estudo para a língua que ele pretende revitalizar. Desta forma, revitalização é o assunto seguinte da tese. Nessa seção, discute-se a situação das línguas no mundo, trazendo as políticas internacionais que estão em voga para tentar frear a morte de línguas. Dessas, atinge-se o cenário nacional e local, chegando ao grupo Tupinambá e expondo os motivos da escolha pela revitalização de uma língua indígena, também explorando o porquê dessa língua ser aquela mais estudada no Brasil, o Tupi...","COSTA, Francisco Vanderlei Ferreira da. Revitalização e ensino de língua indígena: interação entre sociedade e gramática. 2013. 354 p. Tese (doutorado) - Universidade Estadual Paulista Julio de Mesquita Filho, Faculdade de Ciências e Letras (Campus de Araraquara), 2013.||http://hdl.handle.net/11449/103623||000717721||costa_fvf_dr_arafcl.pdf||33004030009P4||0656591347145347",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Pinto, Karina Lima de Miranda",http://lattes.cnpq.br/0138329627335718,"Mello, Paulo Jobim Campos||Não informado pela instituição",http://lattes.cnpq.br/3498970521398073||Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Arqueologia e conformação de identidades das comunidades indígenas do Nordeste: um estudo de caso dos Xucuru-Kariri,2013,Universidade Federal de Sergipe (UFS),UFS,BR,Não informado pela instituição,Pós-Graduação em Arqueologia,CNPQ::CIENCIAS HUMANAS::ARQUEOLOGIA,openAccess,masterThesis,Arqueologia pública||Arqueologia relacional||Multivocalidade||Índios do Nordeste||Arqueologia||Índios Xucuru-Kariri||Cultura material,Public archaeology||Reflexive archaeology||Multivocality||Indians of the Northeast,por,"The category ""Indians of the Northeast,"" widely studied in anthropology since the late 1940s, has as its main concern the process of ethnic reclaiming and restructuring of indigenous peoples in this region. This category - classified by the ""non-Indian world"" includes the Xucuru-Kariri of Palmeira dos Índios / AL, who since the 1950s have been gaining ground in the fight for recognition and free exercise of their ethnic identity. In order to affirm their identity, the Xucuru-Kariri have attributed symbolic value to the city‟s pre-colonial archaeological sites, which correspond to their ancestry in the region. Thus, throughout the process of group restructuring, the sites have always been present in works produced by anthropologists, historians, and archaeologists. However, during their archaeological production, the sites were classified according to a cultural-historical perspective which, within academia, removed the possibility of a dialogue between the Xucuru-Kariri and the researchers. This paper, guided by a public archaeological bias, as well as theoretical and methodological multivocal precepts, examines the place that material culture and archaeology occupies for the Xucuru-Kariri, as well as what this field has done for them. I conducted a participatory mapping that promoted a horizontal dialogue between me as a researcher, and the community; and through the current perspective of reflexive archaeology, I attempted to break the hegemonic view that often results in epistemic violence as determined by modernity in regards to the dichotomous processes among different societies. The results obtained carry the vision of local materiality from the perspective of the Xucuru-Kariri, how it is manipulated by the group, and how it is signified within their cosmological universe and (re)signified in the ""non-Indian world.",https://ri.ufs.br/handle/riufs/3236,Não informado pela instituição,Não informado pela instituição,"PINTO, Karina Lima de Miranda. Arqueologia e conformação de identidades das comunidades indígenas do Nordeste: um estudo de caso dos Xucuru-Kariri. 2013. 129 f. Dissertação (Mestrado em Arqueologia) - Universidade Federal de Sergipe, Laranjeiras, 2013."
"Catão, Maria do Rosario Costa",http://lattes.cnpq.br/7668968577459683,"Cabral, Newton Darwin de Andrade||Não informado pela instituição",http://lattes.cnpq.br/9338652376910655||Não informado pela instituição,"Ribeiro, Emanuela Sousa||Aragão, Gilbraz de Souza||Não informado pela instituição||Não informado pela instituição||Não informado pela instituição",http://lattes.cnpq.br/5058999330254035||http://lattes.cnpq.br/2791943760545079||Não informado pela instituição||Não informado pela instituição||Não informado pela instituição,Dom Aldo Mongiano e a defesa das causas indígenas em Roraima (1975-1996),2013,Universidade Católica de Pernambuco (UNICAP),UNICAP,BR,Ciências da Religião,Mestrado em Ciências da Religião,CNPQ::CIENCIAS HUMANAS::TEOLOGIA,openAccess,masterThesis,"Mongiano, Aldo, 1919-||dissertações||igreja e problemas sociais - Roraima - Igreja Católica||posse da terra - Roraima||índios - trato - Roraima||Igreja Católica - Roraima - história","Mongiano, Aldo, 1919-||dissertations||church and social problems - Roraima - Catholic Church||tenure - Roraima||indians - tract - Roraima||Catholic Church - Roraima - history",por,"This study is a test about the history of Roraima Catholic Church and its engagement to the fight of the native causes. In it, it is showed the acting of the emeritus bishop Dom Aldo Mongiano, between the years of 1975 and 1996. Together with the priests missionaries of Consolata, he put his ministry in defense of a cause: the limitation and ratification of Indians territories occupied by farmers and prospectors. The facts narrated and analyzed here, are based on books and scientific articles, as well as documents available at the Roraima Diocese and also an interview done by Professor Jaci Guilherme, with Dom Aldo himself. Therefore, breaking the specific methodology of a bibliographic research, the work is also a documentary inquiry. The analysis of the collected documents, revealed that, there were conflicts between the church and the local power for the Indians cause, as well as the way how the ecclesial institution has contributed to the formation and strengthen of Indian citizenship in a process of boldness which emerges gradually.",http://tede2.unicap.br:8080/handle/tede/345,Não informado pela instituição,Não informado pela instituição,"CATÃO, Maria do Rosario Costa. Dom Aldo Mongiano e a defesa das causas indígenas em Roraima (1975-1996). 2013. 131 f. Dissertação (Mestrado em Ciências da Religião) - Universidade Católica de Pernambuco, Recife, 2013."
"Valiente, Maria Francisca",Não informado pela instituição,"Souza, Claudete Cameschi de||Guerra, Vânia Maria Lescano||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Terra, cidadania e exclusão: aspectos da configuração identitária dos indígenas",2013,Universidade Federal de Mato Grosso do Sul (UFMS),UFMS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,"Índios||Exclusão Social||Cidadania||Análise do Discurso||Indians||Marginality, Social||Citizenship||Discourse Analysis",Não informado pela instituição,por,"Este trabalho tem como objetivo geral problematizar o processo de constituição identitária do indígena a partir do discurso do ""Documento Final do Acampamento Terra Livre 2011 - pelo direito à vida e à mãe Terra"". Os objetivos específicos incluem analisar como são construídas as representações sociais de terra, cidadania e exclusão ‒ que constituem o discurso do documento oficial sobre o indígena ‒ a partir da perspectiva discursiva e do processo de referenciação linguística. Procuramos interpretar, com base em regularidades enunciativas localizadas em torno dos objetos de saber terra, cidadania e exclusão, as diferentes formações discursivas e os efeitos de sentido possíveis que despontam dessa relação e os interdiscursos presentes no discurso do documento oficial. Ao abordar o sujeito por suas práticas discursivas, nos quais o poder se exerce e cruza o eixo social, optamos pelo método de análise arqueogenealógico elaborado por Foucault que, em consonância com a Análise de discurso e os Estudos Culturais, formam a base teórica transdisciplinar de nossa pesquisa. Esta dissertação está dividida em três capítulos, a saber: no primeiro capítulo apresentamos as condições de produção do Acampamento Terra Livre e os principais temas que surgiram em torno da questão indígena após a Constituição Federal de 1988; no segundo capítulo apontamos principais noções da Análise de Discurso e dos Estudos Culturais que irão subsidiar nossa análise e no terceiro capítulo procedemos à interpretação dos recortes selecionados tendo em vista a constituição identitária do indígena. As análises apontam os conflitos existentes entre o Acampamento Terra Livre e o Estado e que situam o indígena no entre-lugar (BHABHA, 1998) conflituoso entre a luta por reconhecimento social, em defesa de seus direitos e a impossibilidade de alcançá-los, considerando que a segregação do indígena encontra-se na própria Constituição que inclui/exclui, simultaneamente. A luta pela terra adquire uma dimensão política em um embate de forças entre o Acampamento Terra Livre, o Estado, os fazendeiros e empresários e é representada no discurso do movimento como um lugar de abrigo, proteção, ao mesmo tempo que se torna objeto da falta, do desejo, lugar de exclusão e de (des)estabilização do indígena.",https://repositorio.ufms.br/handle/123456789/2358,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Tsutsui, Mario Luiz da Silva [UNIFESP]",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Aptidão física e estado nutricional dos indígenas Khisedje, Parque Indígena do Xingu",2013,Universidade Federal de São Paulo (UNIFESP),UNIFESP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Aptidão Física||Atividade Motora||Estado Nutricional||População Indígena||Saúde de Populações Indígenas||Índios Sul-Americanos||physical fitness||motor activity||nutritional status||Indians,Não informado pela instituição,por,"O objetivo dessa investigação foi verificar a existência de associação entre aptidão física, atividade física (AF) e o estado nutricional dos indígenas Khisêdjê que vivem no Parque indígena do Xingu, de ambos os sexos e com idade ≥ 20 anos. Para tal, em estudo transversal cuja coleta de dados se deu nos anos de 2010 e 2011, obtiveram-se informações relativas a variáveis demográficas (sexo e idade), aptidão física (capacidade cardiorrespiratória (CC), força, resistência muscular (RM) e flexibilidade), atividade física (contador de passos – pedômetro) e estado nutricional (índice de massa corpora (IMC) e perímetro de cintura (PC). Participaram do estudo 166 indígenas (87,4% do total de sujeitos elegíveis). A existência relação entre as variáveis de interesse foi avaliada pela estatística qui-quadrado (variáveis categóricas) ou pelo teste t de Student (variáveis quantitativas). Foram consideradas como estatisticamente significantes aquelas relações cujo valor de p foi < 0,05. Entre os participantes, 40% era do sexo feminino (n=66). A média de idade foi de 38,4 anos (desvio padrão = 14,6 anos). Em relação à aptidão física, observou-se que a maior parte dos indígenas apresentou bom desempenho em praticamente todos os testes com exceção do teste de força, onde apenas 1% dos participantes apresentou desempenho bom. Entre aqueles que participaram da avaliação de AF com o pedômetro, 67,15% foram classificados como muito ativos ou plenamente ativos. A prevalência de sobrepeso ou obesidade foi de 50,0%, enquanto que a de obesidade central (OC) foi de 39,2%. Entre as variáveis indicativas do grau de aptidão física, apenas a CC associou-se significativamente ao IMC (p = 0,014), enquanto que a presença de OC associou-se com as variáveis de CC (p < 0,001), teste de flexibilidade (p=0,034), teste de RM de tronco (p=0,036) e com o número médio de passos/dia (p = 0,005). Esses resultados indicam que apesar da alta prevalência de excesso de peso e de obesidade central observada entre os Khisêdjê, esses indivíduos possuem bons níveis de aptidão física e AF. A ausência de associação da AF e da maioria das variáveis de aptidão física com o estado nutricional explica–se, pelo menos em parte, pela rotina diária que impõe aos Khisêdjê, para sua subsistência (agricultura, caça e pesca, por exemplo), um estilo de vida ativo.","TSUTSUI, Mario Luiz da Silva.. Aptidão Física atual e estado nutricional dos indígenas Khisêdjê,Parque Indígena do Xingu. 2013. 70f. Dissertação (Mestrado em Saúde Coletiva) – Escola Paulista de Medicina, Universidade Federal de São Paulo. São Paulo, 2013.||Versão Final 27maio2013 - PDF A.pdf||http://repositorio.unifesp.br/handle/11600/22725",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Malacarne, Jocieli",Não informado pela instituição,"Basta, Paulo Cesar||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Tuberculose na população indígena de Rondônia: caracterização do acesso aos serviços de saúde e diagnóstico situacional entre os Wari da aldeia Igarapé Ribeirão,2013,Fundação Oswaldo Cruz (FIOCRUZ),FIOCRUZ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Não informado pela instituição,Não informado pela instituição,por,"Introdução: Apesar da tuberculose (TB) se manter como um dos mais importantes problemas de saúde pública no Brasil, sobretudo entre os povos indígenas, pouco se sabe a respeito das dificuldades enfrentadas pelos doentes indígenas para acessar os serviços de saúde e obter o tratamento adequado, conforme preconizado pelas diretrizes nacionais. Objetivos: Este estudo tem como objetivo investigar o acesso de indígenas suspeitos e portadores de TB aos serviços de saúde no Estado de Rondônia (RO) e realizar diagnóstico situacional da TB entre os Wari´ da aldeia Igarapé Ribeirão. Métodos: Realizou-se um estudo que ocorreu no período entre 2009-2011, onde foram entrevistados indígenas com sintomas respiratórios (SR) e em tratamento para TB em quatro Casas de Saúde do Índio (CASAI) de Rondônia. Além disso, realizou-se um estudo transversal na aldeia Igarapé Ribeirão em fevereiro de 2011, onde utilizou-se a PT em todos os indígenas, além de baciloscopia e cultura de escarro e RX nos sintomáticos respiratórios e indígenas com história de tratamento para TB. Resultados: No contexto das CASAI, foram entrevistados 76 indígenas com SR e/ou suspeita de TB. Houve predomínio das etnias Suruí (40,8%), Wari´ (19,7%) e Karitiana (11,8%). Observou-se que 34,2% dos indígenas relataram ter chegado a CASAI por conta própria e 31,6% referiram ter sido encaminhado pelo AIS. Desde o início dos primeiros sintomas, 34,2% dos entrevistados demoraram mais de 30 dias para chegar a CASAI. A falta de transporte foi a maior dificuldade enfrentada para chegar ao serviço de saúde, e 32,9% relataram que foi preciso mais de 5 semanas para obter um diagnóstico. Dentre esses entrevistados, 52 iniciaram tratamento para TB e o tempo gasto desde a primeira consulta até o início do tratamento foi superior a 30 dias em 61,5% dos indígenas, sendo que o tratamento supervisionado não foi realizado em 34,6% dos casos. Na aldeia Igarapé Ribeirão foram examinados 263 indígenas, dos quais 9,1% referiram sintomas respiratórios e 18,6% história anterior de TB. A prevalência de infecção por MTB foi 40,3% e o RAI 2,4%. As variáveis faixa etária ≥15anos (RP=5,5;IC95%3,5-8,6), contato com doente de TB há menos de 2 anos (RP=3,8;IC95%1,2- 11,9), antecedentes de TB (RP=1,4;IC95%1,2-1,7) e cicatriz vacinal BCG (RP=1,9;IC95%1,2-2,9) mostraram associação com PT ≥ 5 mm. Discussão: Nossos achados revelaram as principais dificuldades enfrentadas pelos indígenas para obter acesso aos serviços de saúde, receber um diagnóstico correto e iniciar o tratamento oportuno para TB. Ademais, foi possível dimensionar a situação epidemiológica da TB entre os indígenas da aldeia Igarapé Ribeirão, e revelar que a transmissão se mantém em altos patamares, pois a prevalência de ITBL foi elevada, fazendo com que a população esteja submetida a um permanente risco de infecção e adoecimento. Conclusão: O desempenho dos serviços de saúde em RO, em relação às ações de detecção, diagnóstico, tratamento e acompanhamento dos casos de TB entre os indígenas estão em desacordo com as normas preconizadas pelas Diretrizes Brasileiras para o Controle da Tuberculose. Parte desse problema se manifesta por meio dos elevados indicadores de transmissão revelados em nosso estudo. Dessa forma, sugerimos que as autoridades em saúde revejam as estratégias atualmente empregadas para o controle do agravo entre essas populações e busquem priorizar a detecção e o tratamento precoce dos casos nas aldeias, assim como investir no diagnóstico e tratamento da infecção latente. Acreditamos que somente dessa forma, vislumbrar-se-á um cenário mais favorável, em médio/longo prazo.",https://www.arca.fiocruz.br/handle/icict/36441,Não informado pela instituição,Não informado pela instituição,"MALACARNE, Jocieli. Tuberculose na população indígena de Rondônia: caracterização do acesso aos serviços de saúde e diagnóstico situacional entre os Wari da aldeia Igarapé Ribeirão. 2013. xv,112 f. Dissertação (Mestrado em Epidemiologia em Saúde Pública) - Escola Nacional de Saúde Pública Sergio Arouca, Fundação Oswaldo Cruz, Rio de Janeiro, 2013."
