Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Área do conhecimento CNPq,Tipos de acesso,Tipo de documento,Assuntos em português,Assuntos em inglês,Idioma,Resumo,Link de acesso,Resumo em Português,Resumo em Inglês,Referência Bibliográfica
"Melo, Constantino José Bezerra de",http://lattes.cnpq.br/7004244655814185,"Vasconcelos, Sérgio Sezino Douets||Não informado pela instituição",Não informado pela instituição,"Silva, Edson Hely||Peixoto, José Adelson Lopes||Souza, José Tadeu Batista de||Silva, Drance Elias da||Não informado pela instituição",Não informado pela instituição,O ritual sagrado: a religião indígena do povo Xukuru do Ororubá (Pesqueira e Poção-PE).,2019,Universidade Católica de Pernambuco (UNICAP),UNICAP,Brasil,Departamento de Pós-Graduação,Doutorado em Ciências da Religião,CIENCIAS HUMANAS::TEOLOGIA,openAccess,doctoralThesis,Índios da América do Sul - Religião e mitologia||Índios Xukuru - Religião e mitologia||Etnologia||Teses,Theses||Indians of South America - Religion and Mythology||Xukuru Indians - Religion and Mythology||Ethnology,por,"In this study, we seek to understand the construction of the Indigenous Religion of the Sacred Ritual in the Terreiros of the Xukuru people of Ororubá (Pesqueira and Poção/PE) with the resumption and re-enchantment of the Terreiros of Serra do Ororubá. The research was based on the epistemological assumptions of the Sciences of Religion, in the interdisciplinary dialogue with other areas of knowledge to analyze the socio-historical and anthropological processes of the construction of the indigenous religion. We chose the categories ethnic emergency and territorialization in the approach of Social Anthropology to problematize the concept “Indians of the Northeast” and the religion concept of the Sciences of Religion as a human construct to analyze the formatting of the Indigenous Religion expressed by the Xukuru of the Ororubá indians, understanding how this religion was managed and is configured in the present. We analyze the construction of religious identity with its approaches and relations with other religious symbolic systems, through the concept of cultural identity and hybridization used in Anthropology, as well as the concept of Brazilian matrix religion, taking into account the possibilities of double or multiple religious belongings among the participants in the religion of the Sacre Ritual of the Xukuru Indians of the Ororubá. In the field research, we adopted the ethnographic method, having as instruments to collect data and information participant observation and interviews with open and semi-structured questions. Eighteen indigenous people were interviewed, practicing the activities of pajé, bacurau, gaiteiro, médiuns and leaders in the Terreiro of the Sacred Ritual. With this methodology, we seek to understand the reconstruction of individual and collective memories about the Religion of the Sacred Ritual. As a result of this research, we hope to contribute to the discussions and understanding of how the Xukuru Indians of Ororuba elaborated the construction of their Indigenous Religion in the format of the Sacred Ritual with the resumption and re-enchantment of the Terreiros in the Serra do Ororubá, mobilizing a process of religious and politics on the frontiers of dialogue with the other religious experiences of other symbolic systems in the indigenous teritory.",http://tede2.unicap.br:8080/handle/tede/1159,Não informado pela instituição,Não informado pela instituição,"MELO, Constantino José Bezerra de. O ritual sagrado : a religião indígena do povo Xukuru do Ororubá (Pesqueira e Poção-PE) . 2019. 298 f. Tese (Doutorado) - Universidade Católica de Pernambuco. Programa de Pós-graduação em Ciências da Religião. Doutorado em Ciências da Religião, 2019."
"Jimenes, Amilcar Aroucha",Não informado pela instituição,"Martins, Maria Cristina Bohn||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Sobre flechas e canetas: faces da política indígena na Manaus contemporânea (1980 2019),2019,Universidade do Vale do Rio dos Sinos (UNISINOS),UNISINOS,Brasil,Escola de Humanidades,Programa de Pós-Graduação em História,ACCNPQ::Ciências Humanas::História,openAccess,doctoralThesis,Política indígena||Nova história indígena||Campo indigenista brasileiro||Índios na cidade,Indigenous politics||New indigenous history||Brazilian Indigenous Field||Brazilian Natives||Indians||Natives in the City of Manaus,por,"Este trabalho tem como foco a história de formação da política indígena na cidade de Manaus. O horizonte teórico que norteia a narrativa está fundamentado nas discussões ao redor do conceito de resistência adaptativa, que por sua vez é tributário de esforços vinculados à tradição historiográfica que ficou conhecida como Nova História Indígena. O objetivo central da narrativa reside no entendimento de como a ação de grupos indígenas na cidade de Manaus é capaz de levantar novos caminhos para o desenvolvimento dessa discussão. Para alcançar esse objetivo, a pesquisa se concentrou no trabalho de campo realizado entre as organizações indígenas atuantes na cidade de Manaus, em complemento com bibliografia pertinente ao tema e outras fontes escritas. Todo o esforço analítico empregado ao longo da narrativa resultou na tentativa de estabelecer uma nova leitura sobre a emergência política indígena, nas últimas décadas, a partir de um tensionamento com os fatos observados nos casos concretos da política indígena na cidade de Manaus.",http://www.repositorio.jesuita.org.br/handle/UNISINOS/9092,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Orellana, Aly David Arturo Yamall",http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4276788E6,"Bittencourt, Circe Maria Fernandes||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"A produção acadêmica em Educação Escolar Indígena no Brasil: autorias, tendências e perspectivas -1980 a 2017",2019,Pontifícia Universidade Católica de São Paulo (PUC-SP),PUC_SP,Brasil,Faculdade de Educação,"Programa de Estudos Pós-Graduados em Educação: História, Política, Sociedade",CNPQ::CIENCIAS HUMANAS::EDUCACAO::TOPICOS ESPECIFICOS DE EDUCACAO,openAccess,doctoralThesis,Educação escolar indígena||Índios - Educação||Pesquisa educacional,"Pesquisa bibliográfica||Indigenous scholar education||Indians - Education||Education - Research||Searching, Bibliographical",por,"This thesis approaches the academic production on Indigenous School Education from 1980 to 2017. It is grounded on the hypothesis that researches on the theme are very comprehensive and carried out by different areas of knowledge; thus, they are not limited to the Education field. Moreover, they must have different theoretical framework and research methods. It aims at identifying and evaluating studies’ trends regarding Indigenous School Education, comprehending themes, authorships, emphasis and distributive aspects in time and space. Therefore, from data obtained by the survey and mapping of bibliographic records, this study may subsidize future researches that intend to investigate native peoples’ schooling processes. The analytical categories used for this study were: 1) the ones who produce - indigenous and nonindigenous; 2) places of production - what programs, institutions, regions and periods in which those researches were produced; 3) what are the central problems being investigated? Are these researches more general, historical, or case studies? 4) how have they been produced - are they funded or not? This is a bibliographical research; an inventorial and descriptive methodology has been applied, which can be characterized as State of Art, in order to identify, mainly, emergent and recurrent relevant themes, places and theoretical and methodological frameworks within the various analyzed studies, as well as conceptions which have sustained indigenous school education in Brazil. Database is constituted of 485 theses and dissertations from different areas of knowledge. Papers and books resulted from those researches have also been analyzed and systematized in tables with the purpose of getting to know how knowledge produced by theses and dissertations is distributed, regarding the fact that they have restricted circulation",https://tede2.pucsp.br/handle/handle/22296,Não informado pela instituição,Não informado pela instituição,"Orellana, Aly David Arturo Yamall. A produção acadêmica em Educação Escolar Indígena no Brasil: autorias, tendências e perspectivas -1980 a 2017. 2019. 150 f. Tese (Doutorado em Educação: História, Política, Sociedade) - Programa de Estudos Pós-Graduados em Educação: História, Política, Sociedade, Pontifícia Universidade Católica de São Paulo, São Paulo, 2019."
"Alonso, Victor Federico",http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4333187T9,"Rangel, Lucia Helena Vitalli||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Formação do movimento indígena “Congresso Nacional Indígena” em San Cristóbal de Las Casas, Chiapas",2019,Pontifícia Universidade Católica de São Paulo (PUC-SP),PUC_SP,Brasil,Faculdade de Ciências Sociais,Programa de Estudos Pós-Graduados em Ciências Sociais,CNPQ::CIENCIAS SOCIAIS APLICADAS,openAccess,doctoralThesis,Chiapas (México) - História||San Cristobal de Las Casas||Movimento Indígena||Índios do México - Relações com o governo||Movimentos sociais - México - História,Chiapas (Mexico) - History||Indigenous Movement||Social movements - Mexico - History,por,"The aim of this thesis focus in analyse the construction of an indigenous popular movement in the city of San Cristobal de Las Casas, state of Chiapas, Mexico, composed by the Tzeltales, Choles, Tojolabales, Lacandones, Tzotzil, Mochos e Zoques, people of the Mesoamerican civilization. Supported not only by the Jesuits and the Dominican priests of city main dioceses and the progressive’s intellectuals like anthropologists, historians and politician persecuted of the state in the 70s who has brought some new and interesting proposes for ethnography researches. The main innovation of these popular movement is its refuse for the state. The negation of the bureaucratization and corporatism contributed for the formation of the Nation Indigenous Congress (CNI) an autonomous national indigenous organization, led by its actual candidate for the presidency of the Mexico republic. An indigenous called María de Jesús Patricio Martínez, Marichuy",https://tede2.pucsp.br/handle/handle/22292,Não informado pela instituição,Não informado pela instituição,"Alonso, Victor Federico. Formação do movimento indígena “Congresso Nacional Indígena” em San Cristóbal de Las Casas, Chiapas. 2019. 248 f. Tese (Doutorado em Ciências Sociais) - Programa de Estudos Pós-Graduados em Ciências Sociais, Pontifícia Universidade Católica de São Paulo, São Paulo, 2019."
"Nascimento, Maria Rosemi Araújo do",http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4791852T5,"Feldmann, Marina Graziela||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Formação de professores e currículo: uma prática em Ciências da Natureza para a diversidade com alunos indígenas em escola não indígena na cidade de Manaus/AM,2019,Pontifícia Universidade Católica de São Paulo (PUC-SP),PUC_SP,Brasil,Faculdade de Educação,Programa de Estudos Pós-Graduados em Educação: Currículo,CNPQ::CIENCIAS HUMANAS::EDUCACAO::CURRICULO,openAccess,doctoralThesis,Professores - Formação profissional||Índios - Educação||Currículo||Ciência - Estudo e ensino,Teachers - Occupational training||Indians - Education||Curriculum||Science - Study and teaching,por,"The teaching of Natural Sciences to indigenous students in non-indigenous schools is the object of this research. In this sense, we approach about the formation of educators and their performance in cultural diversity. This is a study about indigenous students in a nonindigenous school in relation to the Natural Sciences curriculum component, in which we built our reflections on the perspective of an education for interculturality, between the Indian and the non-Indian. The participants of the research were three elementary school teachers, working in the first three years, which comprise the cycle for literacy, called by SEMED Manaus Pedagogical Block. It had as its locus a rural school of the municipal public system of Manaus and its objectives were: to analyze the practice of teaching the curriculum component Natural Sciences when taught to indigenous people in non-indigenous schools; to investigate the teaching of the Natural Sciences curriculum component received by indigenous students in non-indigenous classes during the first three years of elementary school; understand what the proposed Guidelines for Indigenous School Education and official documents provide for the curriculum component Natural Sciences in Elementary School, early years; identify what the initial education provides, as a curriculum, for the care of indigenous students, in relation to the curriculum component Natural Sciences; highlight the data found in the shared class, as a possible indicator for improving the learning of indigenous students in non-indigenous classes. For the methodological approach, we adopted, as an approach, the predominantly qualitative research and adopted, as a strategy, a simple descriptive case study, since the facts investigated involve the subjectivity of the subjects and their context in time and cultural space and in their Real daily life. The investigation was carried out, firstly, through theoretical studies and, later, we used the field research for data collection and analysis construction. The research instruments used were the questionnaire, the semi-structured interview, the direct observation: unsystematic through the pedagogical walk; systematic observation of scripted classes; and the implementation of a shared class, using the perspective of intercultural didactics. The interaction between different cultures improves human coexistence and enables the knowledge of self and others; the preservation of cultures allows the next generations to continue the value customs of a civilization; The mother tongue is the main identity of a people and the spread of their culture for the construction of their history. Such assumptions may constitute north or small rivers to begin our journey towards an education in the perspective of interculturality, taking as a starting point the teaching of Natural Sciences and its contents, in the care and preservation of the natural environment, for survival. as an integral part of nature and respect for human diversity",https://tede2.pucsp.br/handle/handle/22928,Não informado pela instituição,Não informado pela instituição,"Nascimento, Maria Rosemi Araújo do. Formação de professores e currículo: uma prática em Ciências da Natureza para a diversidade com alunos indígenas em escola não indígena na cidade de Manaus/AM. 2019. 195 f. Tese (Doutorado em Educação: Currículo) - Programa de Estudos Pós-Graduados em Educação: Currículo, Pontifícia Universidade Católica de São Paulo, São Paulo, 2019."
"Gargioni, Ana Alice dos Passos, 1990-",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,A performatização de identidades por vlogueiros indígenas no YouTube,2019,Universidade Estadual de Campinas (UNICAMP),UNICAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Vídeo-blogs indígenas||Índios - Identidade étnica||Mídia digital||Youtube (Recurso eletrônico)||Indigenous video blogs||Indians - Ethnic identity||Digital media||YouTube (Eletronic resource),Não informado pela instituição,por,"Orientadores: Marcelo El Khouri Buzato, Terezinha de Jesus Machado Maher","https://hdl.handle.net/20.500.12733/1637578||GARGIONI, Ana Alice dos Passos. A performatização de identidades por vlogueiros indígenas no YouTube. 2019. 1 recurso online (196 p.) Tese (doutorado) - Universidade Estadual de Campinas, Instituto de Estudos da Linguagem, Campinas, SP. Disponível em: https://hdl.handle.net/20.500.12733/1637578. Acesso em: 22 fev. 2025.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Cardoso, Guilherme Ramos, 1987-",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Ariku karai pyry : o ""ficar no meio dos brancos"" para os Awa do Pindaré, MA",2019,Universidade Estadual de Campinas (UNICAMP),UNICAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Índios Awá-Guajá||Relações étnicas||Etnologia||Indígenas da América do Sul - Maranhão - História||Awa Indians||Ethnic relations||Ethnology||Indians of South America - Maranhão - History,Não informado pela instituição,por,Orientador: Emília Pietrafesa de Godoi,"https://hdl.handle.net/20.500.12733/1637863||CARDOSO, Guilherme Ramos. Ariku karai pyry: o ""ficar no meio dos brancos"" para os Awa do Pindaré, MA. 2019. 1 recurso online (255 p.) Tese (doutorado) - Universidade Estadual de Campinas, Instituto de Filosofia e Ciências Humanas, Campinas, SP. Disponível em: https://hdl.handle.net/20.500.12733/1637863. Acesso em: 22 fev. 2025.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Stibich, Ivan Abreu",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Esforços para a implantação de uma “nova política indigenista” pelas gestões petistas (2003-2016) : etnografia de um processo com foco na Fundação Nacional do Índio (Funai).,2019,Universidade de Brasília (UnB),UNB,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Fundação Nacional do Índio (Funai)||Políticas governamentais||Práticas de poder||Política indigenista||Participação social,Não informado pela instituição,por,"Nessa tese discuto, a partir da observação de uma série de eventos relacionados aos esforços por parte das administrações petistas em âmbito federal (2003-2016) de implantação de uma “nova política indigenista”, diferentes tecnologias e razões de governo de pessoas e coletividades indígenas. Implantada ao longo do período em questão, a referida política tinha entre seus propósitos declarados a promoção daquilo que se entendia como protagonismo indígena por meio de uma série instrumentos de compartilhamento de responsabilidades pela gestão e execução de ações de governo de indígenas. Argumento que esses mecanismos podem ser entendidos eles próprios como tecnologias de governo voltadas à produção de cidadãos-indígenas capazes de se autogovernar e de governar seus pares e apresento alguns dos efeitos dessa pratica de poder sobre os indígenas e suas formas de ação política.","STIBICH, Ivan Abreu. Esforços para a implantação de uma “nova política indigenista” pelas gestões petistas (2003-2016) : etnografia de um processo com foco na Fundação Nacional do Índio (Funai). 2019. 258 f., il. Tese (Doutorado em Antropologia)—Universidade de Brasília, Brasília, 2019.||https://repositorio.unb.br/handle/10482/38533",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Correia, Silvia Barbosa",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Afirmação da identidade étnica de indígenas no Ceará: uma análise a partir dos povos Jenipapo Kanindé e Tapeba,2019,Universidade de Fortaleza (UNIFOR),UNIFOR,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Psicologia social||Índios Tapebas||Índios Jenipapo Kanindé||Identidade (Sociologia),Não informado pela instituição,por,"Esta tese de doutorado teve como objetivo geral compreender o processo de afirmação identitária de povos indígenas no Ceará. Para tanto, foram desenvolvidos um estudo teórico e três empíricos. O primeiro estudo consistiu em uma revisão integrativa com o objetivo de realizar um levantamento de estudos na área da psicologia social que se dedicaram a estudar a identidade étnica de indígenas. Os artigos, com os relatos desses estudos, foram pesquisados nas bases eletrônicas SciELO, Pepsic, LILACS, BVS- Psi e APA, usando como descritores: identidade étnica, indígena, índio, identidade social e psicologia social. O levantamento localizou 19 estudos nacionais e internacionais, publicados entre os anos 2006 e 2018. Considerando o conteúdo, a análise dos estudos indicou quatro eixos temáticos: (1) Compreensão da identidade étnica a partir da Psicologia Social; (2) Representações sociais, preconceito e discriminação contra indígenas; (3) Efeitos da relação interétnica para indígenas e (4) Os desafios da relação pesquisador e indígenas. O segundo estudo consistiu em uma pesquisa qualitativa descritiva que teve como objetivo conhecer as representações sociais do indígena, considerando as imagens e significados compartilhados por não indígenas. Para alcançar esse objetivo, participaram 38 pessoas, consideradas não indígenas, que responderam a um Teste de Associação Livre de Palavras ¿ TALP, uma entrevista semiestruturada e um questionário sociodemográfico. A análise dos dados coletados a partir do TALP indicou que as imagens acerca dos indígenas se organizam nas seguintes categorias: sujeito distinto, sujeito primitivo, sujeito de direito, sujeito excluído e, por fim, sujeito valorizado. Para análises das entrevistas, foi utilizado o software ATLAS TI, que permitiu a criação de uma rede semântica com as representações acerca do indígena, ancoradas sobretudo na ideia do indígena como ser primitivo e desvalorizado socialmente. O terceiro estudo se propôs explicar a identidade étnica a partir do papel da identificação grupal, da identificação como ativista e o comprometimento com a causa indígena, do engajamento político e cultural e da consciência de acesso a direitos. Para alcançar esse objetivo, realizou-se uma pesquisa quantitativa, com 96 indígenas, pertencentes aos povos Jenipapo Kanindé e Tapeba. A coleta aconteceu nos territórios desses povos, sendo utilizado um instrumento composto por quatro escalas ¿ identificação grupal, identidade étnica, identidade ativista e comprometimento, escala de engajamento político ¿ e um questionário sociodemográfico. Por meio de uma análise de regressão linear múltipla, os resultados apontam que a identidade étnica de grupos indígenas no Ceará é fortalecida a partir do engajamento político e cultural de seus membros, da identificação grupal e da identidade ativista. O quarto e último estudo teve como objetivo conhecer como os indígenas das etnias Tapeba e Jeninpapo Kanindé afirmam e vivenciam sua identidade étnica. Para tanto, foi utilizado um roteiro de entrevista semiestruturada. As análises, feitas com o auxílio do software ATLAS TI e tendo como base as teorias da identidade social, das representações sociais e das minorias ativas, indicaram três grandes categorias, estruturadas a partir de redes semânticas, a saber (1) identidade étnica, que revela aspectos estruturadores da identidade, (2) relação intergrupal, que concentra elementos que refletem os efeitos da relação estabelecida entre indígenas e não indígenas; e por fim, a (3) identidade política, caracterizada por reunir elementos que indicam a violação, o acesso a direitos e a visibilidade de povos indígenas enquanto minoria étnico-racial que luta pela garantia de sua sobrevivência e afirmação de seu povo. Palavras-Chave: Identidade étnica, indígena, representações sociais, Psicologia Social",https://biblioteca.sophia.com.br/terminalri/9575/acervo/detalhe/126318,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"TARRAGÓ, Eduardo",Não informado pela instituição,"ATHIAS, Renato Monteiro||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Territorialidades em conflito : sobre revisões de limites de terras indígenas no norte da Amazônia,2019,Universidade Federal de Pernambuco (UFPE),UFPE,Brasil,Não informado pela instituição,Programa de Pos Graduacao em Antropologia,Não informado pela instituição,openAccess,doctoralThesis,Antropologia||Terras – Divisão e demarcação – Roraima||Etnologia||Índios Macuxi||Índios Wapichana,Não informado pela instituição,por,"Esta pesquisa tem como tema os conflitos fundiários que envolvem populações ameríndias no contexto do estado de Roraima, norte da Amazônia brasileira. O problema de pesquisa consistiu em descrever as relações entre os conflitos fundiários historicamente estabelecidos em Roraima e os problemas atuais que ensejam pedidos de revisão de limites por parte das comunidades Macuxi e Wapichana localizadas em vinte e três terras indígenas em demarcação descontínua, na região da Bacia do Rio Branco. A pesquisa esteve fundamentada na abordagem da Antropologia da territorialidade, por oferecer suporte teórico-metodológico adequado para avaliar fenômenos atuais que envolvem processos demarcatórios ou de revisão de limites de terras de uso e ocupação tradicional. Os dados foram obtidos por pesquisa em documentos do Ministério Público Federal (MPF) e da Fundação Nacional do Índio (FUNAI), e pela realização de entrevistas com algumas lideranças indígenas. Como resultados, foi possível identificar que as demandas fundiárias das comunidades de terras indígenas Macuxi e Wapichana demarcadas de forma descontínua guardam um sentido de territorialidade que conflita historicamente com interesses políticos e econômicos de grupos não indígenas desde o contato colonial até os dias atuais. Tais conflitos se traduzem em problemas socioambientais estruturalmente estabelecidos, dentre os quais se destacam: restrições de acesso a recursos naturais, conflitos com fazendeiros, pressão demográfica sobre áreas agricultáveis de roças ou sobre a caça, redução das relações intercomunitárias e maior dependência de instituições de defesa de direitos indígenas para fazer frente a problemas decorrentes de questões territoriais. A revisão de limites de terras indígenas em Roraima continua sendo uma reivindicação de grande parte destas populações, especialmente porque, segundo as lideranças indígenas, o processo demarcatório conduzido a partir da década de 1980 excluiu áreas de uso e ocupação tradicional que passaram então a fazer parte de propriedades rurais do entorno, com a anuência do Estado. Em nível nacional, não há perspectivas de revisão de limites que leve a ampliações de terras indígenas demarcadas em ilha e, portanto, os problemas socioambientais relacionados a demandas fundiárias das comunidade indígenas dos Macuxi e Wapichana tendem a aumentar nos próximas décadas, assim como a pressão organizada destas populações sobre as instituições públicas do Estado brasileiro.",https://repositorio.ufpe.br/handle/123456789/40261,Não informado pela instituição,Não informado pela instituição,"TARRAGÓ, Eduardo. Territorialidades em conflito: sobre revisões de limites de terras indígenas no norte da Amazônia. 2019. Tese (Doutorado em Antropologia) – Universidade Federal de Pernambuco, Recife, 2019."
