Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Área do conhecimento CNPq,Tipos de acesso,Tipo de documento,Assuntos em português,Assuntos em inglês,Idioma,Resumo,Link de acesso,Resumo em Português,Resumo em Inglês,Referência Bibliográfica
"Silveira, Jane Silva da",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,A necessidade de se compatibilizar legitimidade e legitimação para efetivar o direito dos povos indígenas ao território.,2023,Universidade do Estado do Amazonas (UEA),UEA,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Direito dos povos indígenas ao território||Legitimidade||Povos Indígenas||Indigenous peoples' right to territory||Legitimacy||Indian people||Direito,Não informado pela instituição,por,"The objective of this research was to discuss instruments that can enforce the legitimacy of the rights of indigenous peoples to the territory, analyzing the relationship of these peoples with the land and the importance of demarcation and prior consultation in guaranteeing their self-determination. To achieve this objective, the methodology of the deductive method was used, which starts from theories and general laws to reach the particular and presents a structure of thought that allows the validation of already existing information. The research was bibliographic, based on existing documents on the subject, such as books, legal sources and published scientific articles, as well as documentary research, using official documents and statistics. As for the purposes, the research was qualitative. It was concluded that the land for indigenous peoples covers a whole sphere that transcends the physical space, being fundamental for their dignity, for their physical and cultural reproduction, for the maintenance of their way of life, maintenance of knowledge and cultural expressions. The demarcation of indigenous lands and prior consultation are crucial measures to enforce the legitimacy of indigenous peoples' right to territory and their self-determination. The participation of indigenous peoples in the construction of public policies directed to them is necessary, so that they are builders of their priorities and thus can guarantee legitimacy to their right to the territory.",https://ri.uea.edu.br/handle/riuea/2363,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Briedis, Franciele de Carvalho",http://lattes.cnpq.br/0480452315465845,"Lenzi, Giane Gonçalves||Não informado pela instituição",http://lattes.cnpq.br/6021910491013265||Não informado pela instituição,"Lenzi, Giane Gonçalves||Tusset, Angelo Marcelo||Emmendoerfer, Magnus Luiz||Não informado pela instituição||Não informado pela instituição",http://lattes.cnpq.br/6021910491013265||http://lattes.cnpq.br/1204232509410955||http://lattes.cnpq.br/0919407313173824||Não informado pela instituição||Não informado pela instituição,Artesanato indígena brasileiro: análise da dimensão econômica da sustentabilidade,2023,Universidade Tecnológica Federal do Paraná (UTFPR),UTFPR,Brasil,Não informado pela instituição,Programa de Pós-Graduação em Engenharia de Produção,CNPQ::ENGENHARIAS::ENGENHARIA DE PRODUCAO,openAccess,masterThesis,Artesanato||Arte indígena||Sustentabilidade||Economia||Renda||Handicraft||Indian art||Sustainability||Economics||Income,Não informado pela instituição,por,"A produção artesanal é historicamente difundida entre comunidades indígenas, mas, mesmo havendo dedicação a este ofício cultural pelos povos originários brasileiros, observa-se, pelo seu elevado grau de pobreza, que a receita oriunda de seu comércio pode ser pouco expressiva. Desta forma, a presente pesquisa objetivou analisar o artesanato indígena brasileiro com foco na dimensão econômica da sustentabilidade. O método utilizado, se deu por investigação exploratória e comparativa, de natureza aplicada, realizada por meio de pesquisa documental como forma de procedimento técnico. A fonte documental de dados, é oriunda do Sistema de Informações Cadastrais do Artesanato Brasileiro (SICAB), este sistema foi criado pelo Programa do Artesanato Brasileiro (PAB), e inclui sessão especial para as comunidades tradicionais, o que permitiu o acesso a dados produtivos relativos à comunidade indígena brasileira. Neste contexto, a partir de parâmetros como, faixa de renda familiar, gênero, distribuição geográfica, produtos confeccionados, técnica e matéria prima utilizada, local de produção, entre outros, se possibilitou realizar cruzamentos e comparações dos dados, relacionando as faixas de renda familiar com as características produtivas. Um dos pontos identificados nos resultados, foi a região Norte do Brasil como proporcionalmente a mais engajada em número de cadastrados indígenas no SICAB, contando com o maior número de instrutores de curso de técnica artesanal, participação em capacitação, participação em evento comercial, exportação, e acesso a financiamento para sua produção. A região Nordeste do Brasil se destacou com a liderança nos índices de renda acima de um salário mínimo aos indígenas que tem o artesanato como principal atividade. Por outro lado, a região Sul chamou atenção pela menor proporção nesses índices de renda. As análises e informações apresentadas serão úteis à academia, por disponibilizar literatura ainda pouco explorada no meio. Além disso, agrega contribuições à sociedade, com informações que poderão ser utilizadas para embasar decisões estratégicas de políticas públicas, empreendedores, e da própria comunidade artesã indígena.",http://repositorio.utfpr.edu.br/jspui/handle/1/31068,Não informado pela instituição,Não informado pela instituição,"BRIEDIS, Franciele de Carvalho. Artesanato indígena brasileiro: análise da dimensão econômica da sustentabilidade. 2023. Dissertação (Mestrado em Engenharia de Produção) - Universidade Tecnológica Federal do Paraná, Ponta Grossa, 2023."
"Silva, Yuri Magalhães",Não informado pela instituição,"Correa, Marina Aparecida Oliveira dos Santos||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,A múltipla pertença religiosa do indígena : a evangelização das Assembleias de Deus no povo Xukuru do Ororubá de 1980 a 2022,2023,Universidade Federal de Sergipe (UFS),UFS,Não informado pela instituição,Não informado pela instituição,Pós-Graduação em Ciências da Religião,CIENCIAS HUMANAS::TEOLOGIA,openAccess,masterThesis,Religião||Pentecostalismo||Evangelização||Índios Xukuru||Pesqueira (PE)||Assembleias de Deus||Pernambuco||Xukuru do Ororubá||Hibridismo,Pentecostals||Assemblies of God||Hybridity||Evangelization,por,"The present study is a field and qualitative action research that investigates the hybridity in the evangelization of the Assemblies of God (ADs) in the indigenous people Xukuru do Ororubá from 1980 to 2022 in the municipality of Pesqueira, rural Pernambuco, comprising the multiple indigenous and religious affiliations the format of assembly evangelization that is deconstructed and reconstructed without losing something or practice that refers to the indigenous way of being. With the breakup of the State and the (Catholic) Church at the beginning of the Brazilian Republic, a fertile field for new religions was created in a Brazil that was deep and full of contrasts, but it was not until the 1980s that the ADs became a Pentecostal corporation and expand close to the Xukuru indigenous territory. In the gaps left, many counterattacks are undertaken and a range of arrows shot that we don't know where they will fall and who they will hit, are the attempts and possibilities of invention of a Christian world. On the other hand, politicizing the village and village politics are movements that impact the evangelization of a village people. Furthermore, the indigenous camouflage themselves to fit into another religious community, however, even denying their ancestors, they maintain their roots in a multiple religious belonging. Max Weber's typologies of power and domination, Pierre Bourdieu's concept of the symbolic field, Stuart Hall's identity crisis at a crossroads of uncertain interactions of order/disorder, subject/object of Edgar Morin's complexity theory offer a theoretical weight for the proposed analysis.",http://ri.ufs.br/jspui/handle/riufs/17479,Não informado pela instituição,Não informado pela instituição,"SILVA, Yuri Magalhães. A múltipla pertença religiosa do indígena : a evangelização das Assembleias de Deus no povo Xukuru do Ororubá de 1980 a 2022. 2023. 212 f. Dissertação (Mestrado em Ciências da Religião) – Universidade Federal de Sergipe, São Cristóvão, 2023."
"Caixeta, Marília Araújo",http://lattes.cnpq.br/1963665013436405,"Fontenele, Alysson Maia||Não informado pela instituição",http://lattes.cnpq.br/5916938811645981||Não informado pela instituição,"Fontenele, Alysson Maia||Munhoz Caleiro, Manuel||Silva, Liana Amin Lima da||Não informado pela instituição||Não informado pela instituição",Não informado pela instituição,Função contramajoritária do Supremo Tribunal Federal na proteção dos elementos culturais imateriais dos povos indígenas,2023,Universidade Federal de Goiás (UFG),UFG,Brasil,Faculdade de Direito - FD (RG),Programa de Pós-graduação em Direito Agrário (FD),CIENCIAS SOCIAIS APLICADAS::DIREITO::DIREITO PRIVADO,openAccess,masterThesis,Função contramajoritária do STF||Cultura imaterial||Povos indígenas||Democracia participativa||Interculturalidade,Countermajoritarian function of the STF||Immaterial culture||Indian people||Participatory democracy||Interculturality,por,"The theme of the dissertation promotes a reflection on the role of the judiciary in protecting the intangible cultural rights of indigenous peoples, understood as a subjective cultural space that demands attention for its perpetuation over time. Thus, the research problem is whether there is a power-duty of the countermajoritarian role in protecting the cultural rights of indigenous peoples. In turn, the hypothesis resists in the affirmation that there is a function in the Federal Constitution, at the same time that this function can be a remedial mechanism for the violence suffered by native peoples. The general objective is to penetrate this subjective cultural space in modern legal dogmatics and to value it. In view of these needs, the research supports the basic theories and thoughts built by Peter Haberle and Boaventura de Souza Santos, in order to try to make a paradigmatic transition of the current judicial system, so that it reaches legal pluralism and effectiveness of the diversity of rights that are affirmed. The method used is the hypothetical-deductive, using bibliographic technique and comparative analysis of judicial decisions. Finally, the research shows the importance of rethinking the role of countermajoritarianism by expanding the interpretation of the constitutional norm beyond state institutions, because for the legitimacy of the Democratic State of Law it is necessary to insert other more democratic interpretations. The broadening of the interpretation allows the re-signification of law, as an autonomous social field, for social transformation, since the current judicial system, rooted in hegemonic western assumptions that need to be broken",http://repositorio.bc.ufg.br/tede/handle/tede/13105,Não informado pela instituição,Não informado pela instituição,"PENHA , J. R. Função contramajoritária do Supremo Tribunal Federal na proteção dos elementos culturais imateriais dos povos indígenas. 2023. 134 f. Dissertação (Mestrado em Direito Agrário) - Faculdade de Direito, Universidade Federal de Goiás, Goiânia, 2023."
Ronald Goivado dos Santos,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Jogos indígenas e jogos matemáticos na educação escolar indígena Pataxó de Porto Seguro,2023,Universidade Federal de Minas Gerais (UFMG),UFMG,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Jogos de Matemática||Educação escolar indígena||Povo Pataxó||Etnomatemática||Educação||Jogos educativos||Jogos em educação matemática||Índios Pataxó - Educação,Não informado pela instituição,por,"This dissertation presents descriptive autobiographic research with a strong basis in my observations from the perspective of an indigenous educator; everyday life, life and Pataxó culture form the background of this look at the role of Mathematics games in indigenous school education. The starting point is my observations about indigenous and mathematical games that, in a certain way, are used by teachers who work in Pataxó Indigenous School Education in the municipality of Porto Seguro. In addition to personal observation, I incorporated the reflections of the educators I work with on the challenges of mathematics education, with a particular focus on contributions on the use of this teaching method as an optional pedagogical procedure. In the end, this work focused on the objective of organizing a booklet of mathematical games with adaptations for the specificities of the Pataxó people. The focus on mathematical games in this work was based on ethnomathematics, as the games that were selected are used and adapted by indigenous teachers from Pataxó indigenous school education in Porto Seguro-BA.",http://hdl.handle.net/1843/74927,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Sebastião, Joana Gabriela Diniz",https://lattes.cnpq.br/4113694059345772,"Caleiro, Manuel Munhoz||Não informado pela instituição",http://lattes.cnpq.br/5142709078738401||Não informado pela instituição,"Caleiro, Manuel Munhoz||Arruda, André Felipe Soares de||Colman, Rosa Sebastiana||Não informado pela instituição||Não informado pela instituição",Não informado pela instituição,Mineração e territorialidades indígenas: pandemia e contradição estatal,2023,Universidade Federal de Goiás (UFG),UFG,Brasil,Faculdade de Direito - FD (RMG),Programa de Pós-graduação em Direito Agrário (FD),CIENCIAS SOCIAIS APLICADAS::DIREITO,openAccess,masterThesis,Direito agrário||Povos indígenas||Território||Capitalismo||Neoliberalismo||Mineração,Agrarian law||Indian people||Territory||Capitalism||Neoliberalism||Mining,por,"Mining is an extractive activity with a high capacity for decimating nature. In turn, it is one of the economic activities that is part of the list of developmental and neoliberal policies exercised since the early 1980s in Brazil, but has a history of compromising the well-being of nature and traditional populations, such as indigenous peoples, since the European colonization of the American continent. The genocide in the face of indigenous peoples was not stopped with the advent of capitalism, it only transformed the already existing colonization. The catastrophe of the junction between State, capital and mining is once again perceptible, when the new coronavirus pandemic spreads across planet Earth, and the decimation of indigenous populations and nature remains, by Decree no 10.282/2020, when it became the mining as an essential activity, in the midst of the chaos that was putting the lives of the entire Brazilian population at risk, but the danger suffered by indigenous peoples with the state’s failure to take political decisions during the critical period of the pandemic stands out. Thus, in this dissertation, the hypothesis of the contradiction between the reality of indigenous peoples and their territoriality living in constant threat is raised, in view of the provisions of articles 231 and 232 of the Federal Constitution, and the propulsion of mining in indigenous territories, taking advantage of the pandemic by COVID-19. The general objective was to evaluate the state contradiction in the face of the developmental policy unfolded in Brazil, and the protection and demarcation of indigenous territories, in the face of the social and economic dynamics of neoliberalism, during the pandemic. With that, the specific objectives are to describe mining in Latin America, understanding the socio-environmental and economic context and the territorial organization, as it is reflected in the present day; verify the effects of the pandemic on capitalism and indigenous populations in Brazil; finally, verify the contradictions of the State between protecting indigenous territories and promoting mining. The methodology of approach used is the historical and dialectic materialism, with a methodology of procedure of bibliographic research, audiovisual and collection of data in the state autarchies. The conclusion was that the state contradiction became more flagrant in the face of the pandemic, by defining mining as essential for the Brazilian population, even if its action processes provoke agrarian conflict, death by intoxication, the destruction of nature and compromise the well-being of indigenous peoples.",http://repositorio.bc.ufg.br/tede/handle/tede/13124,Não informado pela instituição,Não informado pela instituição,"SEBASTIÃO, J. G. D. Mineração e territorialidades indígenas: pandemia e contradição estatal. 2023. 110 f. Dissertação (Mestrado em Direito Agrário) - Faculdade de Direito, Universidade Federal de Goiás, Goiânia, 2023."
"Resende, Cristina da Conceição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Demarcando a sala de aula: práticas educativas e de criação a partir dos fazeres artísticos do povo indígena Tabajara da Paraíba,2023,Universidade Federal da Paraíba (UFPB),UFPB,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,"Artes - Indígenas Tabajara||Dança - Arte indígena||Decolonial - Cultural indígena||Cultura indígena - Perspectiva antirracista||Tabajara Indians||Dance||Anti-racist||CNPQ::LINGUISTICA, LETRAS E ARTES::ARTES::TEATRO",Não informado pela instituição,por,"The present research called “DEMARCING THE CLASSROOM: educational and creative practices based on the artistic practices of the Tabajara indigenous people of Paraíba” aims to develop a teaching-learning work on indigenous art from an anti-racist and decolonial perspective, based on the Toré Dance and the graphics of the Tabajara indigenous people of Paraíba. This work aims to stimulate the development of art creations inspired by the artistic endeavors of the Tabajara people and was developed with students from the Municipal Elementary School and EJA Professora Noêmia Alves de Souza, located in the Municipality of Conde, Paraíba. Therefore, the aim is to present in a decolonial way the local culture expressed by the Tabajaras who, despite having been silenced and erased from history for more than a century, have resisted the marks of colonization, reviving since 2005 their cultural expressions such as form of political and cultural resistance. This is a participatory research with a qualitative approach in which filming, photographs, writings, conversation circles and artistic productions of the students who participated were used for data analysis, contributing directly to the realization of this work, which in addition to the intrinsic results , culminated in a dance presentation based on the Toré Dance movements and a visual arts exhibition based on graphic creations inspired by Tabajara body paintings. The results that conclude this research make it possible to understand that despite all the structural difficulties faced to develop this project, there is an urgent need for a teaching-learning process that discusses indigenous cultures, treating the issue from a decolonial and anti-racism in classes in the Art component and also in other components, in order to contribute to effective teaching that provides students with an understanding and access to narratives in an undistorted way about cultural diversity and the ways of life that exist in our country.",https://repositorio.ufpb.br/jspui/handle/123456789/31119,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
José Carlos Nunes da Cruz,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Cestaria Xakriabá: arte, identidade e os caminhos possíveis na educação escolar indígena Xakriabá",2023,Universidade Federal de Minas Gerais (UFMG),UFMG,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Cestaria Xakriabá||Artes||Ensino/aprendizagem de arte||Arte - Estudo e ensino||Cestaria - Técnica||Indíos Xakriabá||Indígenas - Educação,Não informado pela instituição,por,"La investigación que dio lugar a esta tesis se desarrolló en el territorio Xakriabá, Municipio de São João das Missões-MG, a partir de descripciones de experiencias en el ámbito de la educación escolar indígena Xakriabá, como docente/investigador del Arte y la Cultura Xakriabá, y en otros momentos de la formación escolar fuera del territorio. Se presenta el contexto histórico del territorio Xakriabá y los pueblos donde se realizaron las observaciones, ya que la cestería es parte de prácticas tradicionales que se encuentran en proceso de quedar en desuso. Se discuten las posibilidades de cómo la educación escolar indígena Xakriabá puede contribuir al fortalecimiento de la cestería Xakriabá y otras actividades que se vinculan a ella. Las tensiones de las prácticas tradicionales se ponen de relieve frente a los desafíos y cambios contemporáneos en la enseñanza/aprendizaje y el formato escolar, que a menudo está cerrado en disciplinas aisladas. Se describen los procesos de elaboración de cestería, resaltando las formas particulares de elaborarlas, tomando como referencia algunas piezas tradicionales, destacando los materiales que forman parte del territorio y se utilizan para su elaboración, y las formas de manejo. La intención es brindar una base para la producción de materiales didácticos que consideren la interdisciplinariedad de las prácticas artísticas de la cestería, para su uso en las escuelas.",http://hdl.handle.net/1843/69863,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Fonseca, Larissa Mattos da",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Fogo e movimento : uma abordagem tecnológica sobre a agricultura indígena na Amazônia,2023,Universidade de Brasília (UnB),UNB,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Etnologia - índios||Agricultura||Antropologia da técnica||Amazônia - Brasil,Não informado pela instituição,por,"Dissertação (mestrado) — Universidade de Brasília, Instituto de Ciências Sociais, Departamento de Antropologia, Programa de Pós-Graduação em Antropologia Social, 2023.","FONSECA, Larissa Mattos da. Fogo e movimento: uma abordagem tecnológica sobre a agricultura indígena na Amazônia. 2023. 128 f. Dissertação (Mestrado em Antropologia Social) — Universidade de Brasília, Brasília, 2023.||http://repositorio2.unb.br/jspui/handle/10482/46521",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Ribeiro, Maíra Taquiguthi",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Para além do território: a categoria Ró do povo A’uwẽ Xavante no centro da disputa territorial na Terra Indígena Sangradouro/Volta Grande,2023,Universidade Estadual Paulista (UNESP),UNESP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Agronegócio||Territorialidade||Terra indígena||Povos indígenas||Mato Grosso||Índios Xavante||Agribusiness||Territoriality||Indigenous lands||Indigenous peoples||Territorialidad||Tierra indígena||Pueblos indígenas,Não informado pela instituição,por,"Ao analisar as estratégias de avanços do agronegócio e de resistências do povo A’uwẽ, conhecido como Xavante, na Terra Indígena (TI) Sangradouro/Volta Grande, em Mato Grosso, buscamos subsidiar a compreensão dos desafios territoriais dos povos indígenas na atualidade e, a partir das categorias endógenas, contribuir para as discussões teóricas na Geografia. Na primeira seção, são apresentados os objetivos e metodologia. No segundo capítulo, discutimos a territorialidade do povo A’uwẽ, buscando identificar categorias espaço-temporais próprias a’uwẽ, particularmente Ró, uma categoria complexa e polissêmica que pode ser compreendida como o próprio mundo a’uwẽ. A partir do processo histórico que levou à configuração territorial atual, destacamos que a luta pelo território, enquanto demarcação de Terras Indígenas, passa a ser uma estratégia de resistência. No capítulo seguinte, mais do que descrever um histórico de ocupação não indígena no Ró, buscamos demonstrar como a força motriz desta dinâmica de destruição do mundo a’uwẽ foi a acumulação por espoliação. Recorremos a dois momentos históricos significativos: nos anos 1940, com a Marcha para o Oeste, e nos anos 1960 até 1980, através das políticas de integração nacional da ditadura militar. Em seguida, é apresentado o modo atual de operação do agronegócio, o mapeamento da sua territorialização sobre o antigo domínio a’uwẽ e as suas consequências socioambientais. A partir de duas experiências de produção de commodities em larga escala dentro das TI a’uwẽ, com ênfase na TI Sangradouro/Volta Grande, evidenciamos sua relação com as disputas territoriais, retomando os desafios e estratégias de resistências do povo A’uwẽ. Nesta disputa, Ró, enquanto espaço de liberdade e sem limites, se opõe à prisão que representa a noção de território dos não indígenas. Assim, a categoria território encerra uma profunda contradição, pois se o território une a luta pela terra com a luta pela autodeterminação, por outro lado, a concepção ocidental de território perpassa pela aceitação da lógica do espaço limitado, privado, mercantilizado e cercado. Nesta contradição, a luta pelo território a’uwẽ é, em última instância, a luta pelo Ró, ainda que estas sejam dialeticamente categorias opostas.",http://hdl.handle.net/11449/244809||33004013068P6,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
