Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Área do conhecimento CNPq,Tipos de acesso,Tipo de documento,Assuntos em português,Assuntos em inglês,Idioma,Resumo,Link de acesso,Resumo em Português,Resumo em Inglês,Referência Bibliográfica
"Lucena, Enilze Alves Ferreira de",http://lattes.cnpq.br/0410538367265402,"Nascimento, Eulina Coutinho Silva do||Não informado pela instituição",http://lattes.cnpq.br/4832316123512245||Não informado pela instituição,"Mattos, José Roberto Linhares de||Gregório, Ronaldo Malheiros||Barbosa, Gabriela dos Santos||Não informado pela instituição||Não informado pela instituição",Não informado pela instituição,"A escolarização e o modo de ser guarani: desafios e anseios na trajetória discente no projeto de educação de jovens e adultos Guarani Mbya em Angra dos Reis, Rio de Janeiro",2018,Universidade Federal Rural do Rio de Janeiro (UFRRJ),UFRRJ,Brasil,Instituto de Agronomia,Programa de Pós-Graduação em Educação Agrícola,Educação,openAccess,masterThesis,Educação Escolar Indígena||Educação de Jovens e Adultos Guarani Mbya||Escolas diferenciadas,Indigenous School Education||Guarani Mbya Youth and Adult Education||Differentiated Schools,por,"A educação escolar indígena tem conquistado legalmente o direito a uma escola intercultural, bilíngue, específica e diferenciada, mas em muitos estados do país esses direitos não são garantidos. Os Guarani, no Estado do Rio de janeiro, ainda não usufruem de políticas públicas que lhes assegurem uma educação escolar diferenciada proposta pelo Estado e nem de ações colaborativas que possam proporcionar recursos e materiais necessários à autonomia da comunidade indígena na gestão de sua escola. A partir da análise do desenvolvimento da educação escolar indígena no estado do Rio de Janeiro, este trabalho se propõe a descrever a trajetória discente no projeto inédito de Educação de Jovens e Adultos Guarani Mbya em Angra dos Reis, Rio de Janeiro. O curso EJA Guarani – 2º segmento na modalidade Ensino de Jovens e Adultos presencial, intercultural, diferenciado e específico, foi realizado numa parceria entre a Secretaria de Educação do Município de Angra dos Reis, a Universidade Federal Fluminense e outras universidades via projetos de extensão entre 2012 e 2014. Assim, o objetivo central desta pesquisa é investigar a importância desse projeto na formação e no modo de ser dos alunos Guarani Mbya da Aldeia Sapukai de Angra dos Reis, no Rio de Janeiro, as dificuldades encontradas durante o curso e os desafios para a continuação dos estudos após a conclusão do Ensino Fundamental. Através de entrevistas aos egressos do curso, foi possível observar a relação entre o modo de ser guarani e as dificuldades encontradas pelos alunos no percurso do projeto, e discutir as tensões da continuidade da formação do aluno guarani diante da realidade da educação escolar indígena no Rio de Janeiro",https://rima.ufrrj.br/jspui/handle/20.500.14407/12610,Não informado pela instituição,Não informado pela instituição,"LUCENA, Enilze Alves Ferreira de. A escolarização e o modo de ser guarani: desafios e anseios na trajetória discente no projeto de educação de jovens e adultos Guarani Mbya em Angra dos Reis, Rio de Janeiro. 2018. 68 f.. Dissertação( Mestrado em Educação Agrícola) - Instituto de Agronomia - Universidade Federal Rural do Rio de Janeiro, Seropédica-RJ, 2018 ."
"Batista, Kátia Mara",Não informado pela instituição,"Citadini-Zanette, Vanilde||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Saberes tradicionais do povo Guarani Mbya como cultura de referência: contribuição teórica à sociobiodiversidade e à sustentabilidade ambiental,2017,UNESC,UNESC,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Indios Guarani Mbya – Usos e costumes||Sustentabilidade e meio ambiente||Biodiversidade – Conservação||Sociobiodiversidade||Nativos – Ecologia||Conhecimento tradicional associado,Não informado pela instituição,por,"Tese apresentada ao Programa de Pós-Graduação em Ciências Ambientais da Universidade do Extremo Sul Catarinense – UNESC, como requisito parcial para a obtenção do título de Doutora em Ciências Ambientais.",http://repositorio.unesc.net/handle/1/5475,"O povo Guarani Mbya está presente em Santa Catarina há quase um milênio. Com base na historiografia colonial, o povo Guarani histórico era cultivador de milho e, segundo estudos arqueológicos, há uma hipótese da existência de duas rotas migratórias ligadas à tradição Tupi (cultivadores de mandioca) e à tradição Guarani (cultivadores de milho), que se encontraram na costa atlântica, num tempo anterior à chegada dos colonizadores europeus. Diante desses relatos encontrados na literatura, buscou-se aprofundar a investigação e a discussão teórica sobre a relação dos povos indígenas com a natureza e suas contribuições à sustentabilidade ambiental, uma vez que, conforme abordado anteriormente, os povos indígenas estabeleceram contato com o meio natural desde o início dos tempos e com ele evoluíram, em um processo dinâmico da relação social entre homem e natureza. Neste estudo, a utilização da abordagem interdisciplinar, utilizando aportes conceituais e reflexões de diversas áreas do conhecimento, contribuiu para maior compreensão da visão de mundo e das características culturais do povo Guarani Mbya, bem como das singularidades socioambientais. No longo período de tempo em constante convivência com o meio natural do estado de Santa Catarina, esse povo desenvolveu estratégias de uso e de conservação da biodiversidade, as quais poderão ser referências de sociobiodiversidade em novos estudos sobre sustentabilidade ambiental. Por meio da pesquisa bibliográfica e documental e da análise de conteúdo, método utilizado para esta investigação, ficou demonstrado que, apesar das dificuldades atuais de acesso e de manejo nos ambientes que ocupam, esse povo desempenha um papel importante no incremento da biodiversidade local, caracterizando-se por apresentar acentuada diversidade inter e intraespecífica, a qual pode ser encontrada na composição de seus ambientes de cultivo, bem como na conservação da floresta e de variáveis ambientais, como água e solos, pelas práticas sustentáveis que utilizam. Essas técnicas culturais e esses saberes tradicionais poderão ser alternativas na construção de novas abordagens interdisciplinares que buscam formas de resolução para os impactos socioambientais e alimentares da atualidade. Essas averiguações levaram a confirmar a hipótese da pesquisa de que as referências culturais e os saberes tradicionais de manejo do meio ambiente do povo Guarani Mbya têm assegurado a conservação da biodiversidade e a sustentabilidade ambiental. Como este estudo apontou, para que essa prática continue ocorrendo, é fundamental que esses povos tenham a garantia de permanência em seus territórios.",Não informado pela instituição,Não informado pela instituição
"Rêgo, Francisco Gabriel de Almeida",http://lattes.cnpq.br/9954565013371431,"Serafim, José Francisco||Não informado pela instituição",http://lattes.cnpq.br/3865920667222556||Não informado pela instituição,"Serafim, José Francisco||Coelho, Sandra Straccialano||Felix, José Carlos||Araújo, Juliano José de||Ramos, Maria Natália Pereira",http://lattes.cnpq.br/3865920667222556||http://lattes.cnpq.br/3270013522367931||http://lattes.cnpq.br/5640037933035066||http://lattes.cnpq.br/2407575072406966||Não informado pela instituição,o caminhar entre mundos: estabilidade e mobilidade na mise en scéne documental do Coletivo Mbya- Guaranide Cinema,2023,Universidade Federal da Bahia (UFBA),UFBA,Brasil,Faculdade de Comunicação,Programa de Pós-Graduação em Comunicação e Cultura Contemporâneas ( POSCOM) ,"CNPQ::LINGUISTICA, LETRAS E ARTES::ARTES::CINEMA||CNPQ::CIENCIAS SOCIAIS APLICADAS::COMUNICACAO",openAccess,doctoralThesis,Cinema - Estética||Indígenas no cinema||Mbya-Guarani.||Crítica cinematográfica||Mise en scène.||Documentário - Cinema,Não informado pela instituição,por,"Nessa pesquisa, buscamos analisar a mise en scène em quatro documentários realizados pelo Coletivo Mbya-Guarani de Cinema, integrantes do projeto Vídeo nas Aldeias (VNA). Pretendemos analisar os seguintes longas metragens: Duas aldeias, uma caminhada (2008), Bicicletas de Nhanderú (2011), Desterro Guarani (2011) e Tava, a Casa de Pedra (2012). Por meio de uma abordagem da cinematografia e da cenografia, buscamos analisar o espaço, os dispositivos e os sujeitos presentes na cena documental. Dessa forma, são dimensionadas as estratégias encenativas presentes na mise en scène, de modo a compreender seus significados, agenciamentos e uma perspectiva política comum à filmografia estudada. Analisamos as características concernentes aos documentários, tentando compreender as especificidades das práticas cinematográficas e cenográficas em uma dialética que apontamos como fundamental para a investigação da mise en scène no documentário. Buscamos, assim, caminhar em duas abordagens analíticas acerca desse conceito: 1) uma perspectiva específica aos filmes analisados, visando compreender aspectos inerentes à cinematografia e a cenografia em cada um dos documentários; e 2) uma conceituação mais geral de modo a fundamentar o estudo do fenômeno da mise en scéne no gênero documental. Na perspectiva do corpus aqui estudado, objetivamos analisar essa categoria como representativa dos aspectos etnográficos comuns aos Mbya-Guarani, capaz de nos revelar uma articulação entre aspectos significativos dessa cultura, em uma proposta que centraliza tanto os sujeitos e a coletividade por meio do registro do espaço comuns às comunidades indígenas representadas. Na perspectiva mais geral acerca do fenômeno da mise en scéne, buscamos estabelecer uma conceituação que pudesse levar em conta a historicidade dessa categoria e uma perspectiva mais ampla de modo a envolver aspectos significativos do fazer audiovisual, tal como a previsibilidade e imprevisibilidade, o diálogo com os sujeitos presentes na cena, o registro e o domínio do espaço como elementos significativos para o processo de construção do documentário. Apontamos, inicialmente, como principais referências teóricas para esse projeto, posicionamentos concernentes aos campos da antropologia fílmica, dos estudos cinematográficos e da teoria documental. Como conclusão principal para essa pesquisa, apresentamos que o aspecto político do protagonismo representativo indígena estaria presente na mise en scène, por meio da constituição de uma cena em estreita relação com as características culturais e sociais dos indígenas, tendo no espaço um ponto importante de articulação dos dispositivos baseados tanto na técnica de realização documental quanto dos aspectos materiais e imateriais, englobando, por sua vez, um conjunto de dispositivos que tem por função dispor os sujeitos envolvidos naquilo que chamamos de espaço da cena, e que se estabelece, notadamente, nos documentários analisados, por aspectos tradicionais, políticos e identitários comuns à cultura Mbya-Guarani.",https://repositorio.ufba.br/handle/ri/36783,Não informado pela instituição,Não informado pela instituição,"RÊGO, Francisco Gabriel de Almeida. O caminhar entre mundos: Estabilidade e Mobilidade na Mise en scène documental do Coletivo Mbya-Guarani de Cinema. Orientador: José Francisco Serafim. 2022. 225f. il. Tese (Doutorado em Comunicação e Cultura Contemporâneas) - Faculdade de Comunicação, Universidade Federal da Bahia, 2023."
"Santos, Lucas Keese dos",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,A esquiva do xondaro: movimento e ação política entre os Guarani Mbya,2016,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Amerindian Cosmologies||Amerindian political forms||Antropologia política||Cosmologias Ameríndias||Formas políticas ameríndias||Guarani Mbya||Guarani Mbya||Indigenous resistance||Political Anthropology||Resistência indígena,Não informado pela instituição,por,"Este trabalho pretende discutir como as relações com a alteridade operam politicamente entre os Guarani Mbya; de que maneira os seus movimentos, como a esquiva, conformam modos políticos de conduzir a incorporação do exterior, transformando posições e relações de poder. Tomado primeiramente a partir da dança do xondaro, personagem que remete a diferentes funções e a uma forma de relação, o movimento da esquiva irá além para ajudar a pensar as dinâmicas entre corpos, coletivos e mundos, contribuindo para suspender oposições exclusivas entre resistência e fuga. A esquiva (jeavy uka fazer errar) surge como um movimento nem exclusivamente positivo, nem negativo. Em termos políticos: não submete e tampouco deixa se submeter. A análise aborda também a prática da enganação conforme ela aparece em narrativas mitológicas guarani, cuja operação revela um mecanismo de crítica política na mitologia. Ao final, após revisitarmos oprocesso histórico da resistência guarani, chegamos ao contexto contemporâneoda luta indígena pelas demarcações, na qual desdobram-se atualizações de figuras-chaves da política ameríndia, como o xamã e o guerreiro. Assim, seja no passadoou no presente, busco demonstrar como a esquiva guarani é um movimentocapaz de produzir, de forma concomitante, possibilidades de resistência opostas einterdependentes.",http://www.teses.usp.br/teses/disponiveis/8/8134/tde-29062017-111237/,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Testa, Adriana Queiroz",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Palavra, sentido e memória: educação e escola nas lembranças dos Guarani Mbyá",2007,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,educação escolar indígena||educação indígena||Guarani Mbya||Guarani Mbyá||história oral||indigenous education||indigenous school education||memória||memory||oral history,Não informado pela instituição,por,"Este trabalho se baseia nas histórias de vida de professores guarani mbyá para acompanhar, nas suas trajetórias de lembranças e experiências, a construção de diferentes processos de aprendizagem, que evidenciam as possíveis e impossíveis relações entre a educação escolar indígena e os diferentes modos de produção e transmissão de conhecimento desenvolvidos pelos Guarani Mbyá. As histórias de vida se inserem numa descrição dos contextos etnográficos percorridos no âmbito da pesquisa e dialogam com as narrativas de outras pessoas guarani, principalmente, das lideranças mais velhas, explicitando diferentes perspectivas sobre o papel das escolas indígenas em meio a outros espaços e formas de construção do conhecimento.",http://www.teses.usp.br/teses/disponiveis/48/48134/tde-25092009-162947/,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Silva, Fabio de Oliveira Nogueira da",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Elementos de etnografia Mbyá: lideranças e grupos familiares na aldeia Tekoá Pyaú (Jaraguá - São Paulo),2008,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Guarani||Guarani||Jaraguá||Jaraguá||Kinship||Leadership||Liderança.||Mbyá||Mbyá||Parentesco,Não informado pela instituição,por,"O presente trabalho tem como objetivo apresentar dados etnográficos sobre os Guarani Mbyá nas aldeias Tekoá Ytu e Tekoá Pyaú, localizadas junto ao Parque Estadual do Jaraguá, em São Paulo, capital. Foram priorizados os elementos relativos à organização social, parentesco e liderança, os quais formam o pano de fundo desta etnografia. As lideranças indígenas Mbyá são aqui compreendidas como um locus privilegiado para a observação das relações internas do grupo indígena, das relações entre as famílias extensas, entre aldeias diferentes e com os não índios. Suas opiniões, classificações e ordenamento das identidades e das alteridades produzidas nessas relações são descritas e colocadas em diálogo com a literatura etnológica Mbyá clássica e atual. Por fim, discuto a pertinência de se explorar a noção de tekó (o \""modo de ser\"") Guarani para se compreender as construções socioculturais deste grupo indígena, e também sugerindo que tal noção participa de forma importante da cosmovisão Mbyá. Também apresento um levantamento sobre a produção acadêmica (Teses e Dissertações) que tem os Guarani como foco de análise. São quase duzentas monografias, de diversas áreas do conhecimento e de diversas instituições de ensino e pesquisa no Brasil, finalizadas a partir da década de 1980. Analiso alguns dos dados que podem ser obtidos desse levantamento, observando o crescimento exponencial dos estudos sobre os Guarani nas últimas décadas.",http://www.teses.usp.br/teses/disponiveis/8/8134/tde-26052008-150345/,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Souza, Janaina Aline dos Santos e",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"A prática docente Guarani Mbya: liderança, engajamento e luta",2018,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Educação escolar indígena||Educational innovation||Guarani Mbya||Guarani Mbya||Indigenous school education||Inovação educacional||Prática docente||Teaching practice,Não informado pela instituição,por,"A presente dissertação de mestrado é sobre como as professoras e professores indígenas guarani mbya entendem sua prática docente. Parte do pressuposto de que a educação escolar indígena começa a ser ressignificada a partir de 1990, quando o Estado reconhece e dá maior respaldo às demandas dos movimentos e organizações indígenas. Assim, reestrutura-se uma instituição tipicamente não-indígena, norteada até então por princípios de catequização, civilização, integração e preservação. Ao se reconstruir junto aos projetos de futuro de cada etnia, a escola indígena se constitui como inovação educacional. A pesquisa de campo verificou qual a visão que docentes indígenas têm de suas práticas, considerando a hipótese de que estas se centram no modo de transmissão dos saberes tradicionais de sua cultura ou na mera reprodução do modelo de ensino escolar predominante, originalmente não-indígena, ainda que se trate oficialmente de uma escola diferenciada. As observações centraram-se na Escola Estadual Indígena Guarani Gwyra Pepo, situada na aldeia Tenonde Porã, em Parelheiros, capital de São Paulo. Foram feitas entrevistas com as professoras e professores guarani. As informações recolhidas foram analisadas com bases teóricas das pesquisas antropológicas sobre a etnia Guarani e sociológicas sobre inovação educacional, bem como pelo recurso às produções da etnologia ameríndia sobre educação escolar indígena. Conclui-se que a prática docente das professoras e professores guarani é entendida como forma de luta, favorecida pelos espaços de discussão sobre educação escolar indígena e pela própria atuação como liderança. Para elas e eles, a prática docente é vista tanto como valorização do nhandereko quanto como subsídio para compreender e enfrentar a sociedade não-indígena dominante, sendo modelo de engajamento e luta para reconceituação da educação pública de modo geral.",http://www.teses.usp.br/teses/disponiveis/48/48134/tde-14122018-092436/,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Yokoi, Leticia Zanon",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"\""Nós vemos longe\"": narrativas e atuações de mulheres mbya em São Paulo",2021,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Guarani Mbya||Guarani Mbya||Indigenous Women||Mulheres Indígena||São Paulo||São Paulo||Século XXI||XXI Century,Não informado pela instituição,por,"Nesta pesquisa são abordadas histórias de mulheres indígenas cujo fio condutor é a atuação ligada à manutenção do nhandereko, o \""nosso modo de ser/viver\"", ou \""nossa cultura/nosso sistema\"" mbya. O objetivo foi compreender as suas atuações e alianças neste atual momento de crescimento das organizações de mulheres indígenas no Brasil e aproximação a outros movimentos e agentes. Para isto realizei entrevistas centradas em suas memórias e acompanhei atividades do cotidiano, de cerimônias, encontros e manifestações dentro e fora das Terras Indígenas entre os anos 2018 e 2019. Foi possível observar e analisar os caminhos que elas seguem para se aproximar das condições desejáveis de vida a partir das concepções compartilhadas com seus parentes e antepassados, além do diálogo com mulheres de outros povos e não indígenas. Inseridas em um mundo entremeado pelas cicatrizes coloniais, elas criam formas para se manter e garantir o bem-estar das comunidades. Os temas que perpassam suas histórias se cruzam com a defesa do acesso à terra, fundamental para a existência.",https://www.teses.usp.br/teses/disponiveis/8/8138/tde-20072021-184612/,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Aranha, Aline de Oliveira",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Inspirações sobre o fazer(-se) polític@ entre os Guarani-Mbya,2017,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Cosmopolitical diplomacy||Diplomacia cosmopolítica||Guarani-Mbya||Guarani-Mbya||Leadership||Liderança||Mbya women||Mulheres Mbya||Shamanism||Xamanismo,Não informado pela instituição,por,"A intenção aqui é pensar como as transformações nas formas e estratégias mbya de liderança e ação cosmopolítica são mobilizados e produzidos, criativamente, no confronto cada vez mais intenso com a política e modo de ser, pensar e de se comportar jurua (não-indígena), elucidando o (in)tenso trabalho de tradução implicado nessas e em outras amplas redes de relações que compõem o mundo guarani. Há aí toda uma gestão e mobilização dessas relações de aliança e parentesco, em que diferentes domínios e perspectivas demandam diferentes retóricas e ações, e identidades étnicas tornam-se armas políticas, principalmente após a Constituição de 1988, envolvendo então toda uma diplomacia cosmopolítica mbya que parte de uma ética de moderação, xamânica, com vistas à fabricação de pessoas e coletivos saudáveis e alegres nesta terra perecível (tekoaxy), e se acentua ainda mais nesse contexto de constrangimento territorial e superpovoação, que impõe diversos limites ao exercício de sua territorialidade. Estas transformações estão inseridas em contextos como os de luta pela demarcação de terras e salvaguarda de direitos indígenas constitucionais, tal como em projetos de fortalecimento cultural sob a rubrica da cultura, nos quais o domínio da burocracia passa a corresponder a um maior domínio da arena de batalha e, com isso, afirmação e demarcação da diferença e resistência mbya contra o Estado. Retórica esta que passa então a afetar diretamente a produção de enunciados e perspectivas guarani para o futuro de suas lideranças e de sua comunidade. Estamos também diante de um contexto cada vez maior de valorização e protagonismo público de jovens mulheres mbya (kunhãgue), assim como da abertura e conquista de espaços de fala e atuação política no âmbito da comunidade, antes majoritariamente ocupados por figuras masculinas ou mais velhas e experientes. A partir disso, buscamos então refletir sobre a complementaridade e fortalecimento mútuo de ambos sujeitos, kunhãgue e avakue (homens mbya), e como suas diferentes capacidades-poderes (-poaka) se relacionam aos processos mbya de construção e composição de pessoas, lideranças e chefias, coletivos, discursos e práticas. A ideia então é alargamos de fato nossas concepções de política e pensar as movimentações desempenhadas pelos diversos sujeitos correspondendo mais a disposições cosmopolíticas diferenciantes e, portanto, relacionais, do que a funções ou (o)posições propriamente ditas ou mesmo fixas, a capacidades singulares de agir, fazer agir, afetar e ser afetado, que contam com diferentes modalidades e estilos de liderança e áreas de atuação, influência e prestígio. Tais figuras políticas podem ainda ser pensadas como tradutoras de mundos ou diplomatas cosmopolíticas, transitando por diferentes códigos e agenciando diferentes mundos.",http://www.teses.usp.br/teses/disponiveis/8/8134/tde-19072018-141406/,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Pierri, Daniel Calazans",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,O perecível e o imperecível: lógica do sensível e corporalidade no pensamento Guarani-Mbya,2013,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Amerindian Cosmologies||Corporalidade||Corporality||Cosmologias Ameríndias||Guarani-Mbya||Guarani-Mbya||Land without evil||Terra sem mal,Não informado pela instituição,por,"Esta dissertação apresenta uma análise de aspectos da cosmologia guarani-mbya focada nas relações de alteridade entre os Guarani, as divindades e espíritos, os animais e os brancos. Todo o percurso realizado é atravessado por uma questão fundamental: a da articulação que as narrativas analisadas neste trabalho permite entrever entre o tema da perda da imortalidade e aquele das escolhas distintas realizadas na primeira terra, pelos Guarani e pelos brancos, a respeito do uso da tecnologia e da relação com os demiurgos. O mote clássico do profetismo, ou busca da terra sem mal, é revisitado a partir de uma nova perspectiva, centrada nas concepções a respeito do corpo e suas possibilidades de transformação, e no papel que a oposição sensível entre o perecível e o imperecível adquire na reflexão sobre as relações entre os mundos terrestres e os mundos celestes. O argumento conflui para demonstrar como as reflexões dos Guarani-Mbya aqui abordadas constituem-se em uma crítica xamânica ao fetichismo da mercadoria e ao cristianismo.",http://www.teses.usp.br/teses/disponiveis/8/8134/tde-06122013-122942/,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
