Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Área do conhecimento CNPq,Tipos de acesso,Tipo de documento,Assuntos em português,Assuntos em inglês,Idioma,Resumo,Link de acesso,Resumo em Português,Resumo em Inglês,Referência Bibliográfica
"Benucci, Thiago Magri",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,O jeito yanomami de pendurar redes,2020,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Architecture||Arquitetura||Casa||House||Shamanism||Xamanismo||Yanomami||Yanomami,Não informado pela instituição,por,"Esta dissertação é um estudo etnográfico sobre a arquitetura yanomami. A pesquisa parte da relação etnográfica construída com interlocutores do Rio Marauiá (Amazonas, Brasil) para descrever e pensar com as concepções em torno das formas de construir e habitar yanomami: os acampamentos temporários na floresta, as casas-aldeia nas clareiras domésticas, as casas-montanha habitadas pelos espíritos e também as casas de espíritos construídas no peito dos pajés durante as iniciações xamânicas. Dentre os problemas e conceitos que permeiam esse trabalho, destacam-se os movimentos de agregação e de desagregação dos grupos e das moradas; os regimes de transformação das casas e dos corpos; os sentidos míticos e xamânicos em torno das categorias do perecível e do imperecível; e a ubiquidade e a recursividade das casas de espíritos xamânicos.",https://www.teses.usp.br/teses/disponiveis/8/8134/tde-09032021-171034/,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Albuquerque de Moraes, Ana Carolina, 1981-",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"""Sonhos"", de Claudia Andujar : experimentalismo e cosmovisão yanomami = ""Dreams"", by Claudia Andujar: experimentalism and Yanomami cosmovision",2023,Universidade Estadual de Campinas (UNICAMP),UNICAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,"Andujar, Claudia, 1931-||Índios Yanomami||Xamanismo||Fotografia||Decolonização||Yanomami||Shamanism||Photography||Decoloniality",Não informado pela instituição,por,Orientador: Maria de Fátima Morethy Couto,"https://hdl.handle.net/20.500.12733/14606||ALBUQUERQUE DE MORAES, Ana Carolina. ""Sonhos"", de Claudia Andujar: experimentalismo e cosmovisão yanomami = ""Dreams"", by Claudia Andujar: experimentalism and Yanomami cosmovision. 2023. 1 recurso online (291 p.) Tese (doutorado) - Universidade Estadual de Campinas, Instituto de Artes, Campinas, SP. Disponível em: https://hdl.handle.net/20.500.12733/14606. Acesso em: 22 fev. 2025.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Melo, Valeria Moreira Coelho de||http://lattes.cnpq.br/2950435529858441",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"O movimento do mundo: Cosmologia, alteração e xamanismo entre os Akw-Xerente",2016,Universidade Federal do Amazonas (UFAM),UFAM,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Akwẽ-Xerente||Alteridade||Xamanismo||Otherness||Shamanism||CIÊNCIAS HUMANAS: ANTROPOLOGIA: ETNOLOGIA INDÍGENA,Não informado pela instituição,por,"O presente texto é resultado de pesquisa realizada entre os Akwẽ-Xerente, falantes de língua Jê e habitantes do estado do Tocantins. Constitui uma análise sobre como esse povo pensa a alteridade e como o xamanismo e os processos que visam à construção do corpo e da pessoa emergem nesse contexto. A relação com o exterior é abordada a partir do ímpeto Xerente de circular para além das fronteiras de suas aldeias como que enfatizando a incorporação de conhecimentos, coisas e pessoas como parte inerente da condição akwẽ. A noção de movimento é um dos fios condutores que norteia a reflexão: ela está presente de diferentes maneiras no cotidiano desses índios. O texto se insere no debate teórico mais amplo em torno da divisão, estabelecida na antropologia das terras baixas sul-americanas, entre Brasil Central e Amazônia. Há um interesse especial na crítica que vem sendo feita a esta percepção. A discussão construída aqui vai de encontro, portanto, a abordagens que questionam a imagem das sociedades Jê enquanto autossuficientes e formadoras de um complexo cultural isolado.","MELO, Valeria Moreira Coelho de. O movimento do mundo: Cosmologia, alteração e xamanismo entre os Akw-Xerente. 2016. 211 f. Tese (Doutorado em Antropologia Social) - Universidade Federal do Amazonas, Manaus, 2016.||http://tede.ufam.edu.br/handle/tede/5519",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Moreira, Fernanda Cristina",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Redes xamânicas e redes digitais: por uma concepção ecológica de comunicação,2014,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,amerindian perspectivism||atopia||atopia||communication||comunicação||digital ecology||digital technologies||ecologia digital||internet das coisas||internet of things||networks||perspectivismo ameríndio||redes de redes||shamanism||tecnologias digitais||xamanismo,Não informado pela instituição,por,"Partimos de um contexto tecnológico-comunicativo marcado, especialmente, pela ubiquidade, pela pervasividade, pela comunicação das coisas (LEMOS), por eventos e existências que transcorrem em metaterritorialidades informativas (DI FELICE) e pela enorme quantidade de dados gerados por tecnologias móveis, tais como smartphones, sensores, e etiquetas RFID. Tal situação tecnológica aponta para a possibilidade sempre presente de qualquer entidade, humana ou não (geleiras, animais, árvores, alimentos, embalagens etc.), assumir a qualidade informativo-digital, ou a metalinguagem do código, experienciar perspectivas outras e entrar em agenciamentos que a transformam ontologicamente. Essa \""ecologia digital\"", ao trazer à tona a constituição reticular dos seres e ambientes, tornando transponíveis as fronteiras e experienciáveis as diferenças, inaugura uma condição habitativa atópica (DI FELICE) que reúne corpos, tecnologias, naturezas em uma relação simbiótica e dinâmica. Esses processos inéditos engendrados pelas novas tecnologias de comunicação e informação nos impõem a necessidade de buscar alternativas teóricas e conceituais aos dualismos derivados da Grande Divisão (LATOUR) entre Natureza e Sociedade que fundou o pensamento moderno ocidental e fundamentou as próprias concepções predominantes no campo científico da comunicação. O contexto latino-americano em que esta pesquisa se insere representa uma oportunidade para o estabelecimento de \""alianças perturbadoras\"" (STENGERS) com práticas não-científicas e pensamentos não (somente) europeus, entre os quais destacamos o xamanismo e o perspectivismo ameríndio (VIVEIROS DE CASTRO), que, além de se mostrarem reticulares e ecológicos em sua constituição, engendrando desde sempre outros tipos de relação (não-instrumentais e nem dialógicas ou separatistas) com não-humanos, considerados todos sujeitos potenciais e parte de seu \""social\"", revelam também sua dimensão comunicativa quando seus próprios praticantes, os xamãs, comparam-se às tecnologias comunicativas dos \""brancos\"" (FERREIRA). Desse encontro, apresentamos uma possível ideia xamânica de redes comunicativas que, ao ultrapassar a dimensão somente humana, hermenêutica e a interação dialógica e conceber a relação com a terra-floresta (ALBERT e KOPENAWA) e suas agências emaranhadas a partir de uma \""anarquia ontológica\"" (VIVEIROS DE CASTRO), do trânsito e da conexão entre mundos, torna-se uma chave conceitual fértil para pensar a comunicação digital e suas potencialidades.",http://www.teses.usp.br/teses/disponiveis/27/27152/tde-27022015-145359/,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Freitas, Pedro Menezes",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Os ritos e a música de Confúcio e sua raíz xamânica,2021,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Ancient China||China Antiga||Confucianism||Confucianismo||Rites||Ritos||Shamanism||Xamanismo,Não informado pela instituição,por,"A presente pesquisa tem como objetivo identificar aspectos xamânicos na origem da concepção de \""ritos\"" proposta pelo pensador da China antiga Confúcio. Por se tratar de uma antiga e influente tradição, o confucianismo apresenta ideias diversas e um caráter multifacetado. \""Ritos\"" compõe uma ideia chave neste esquema. Confúcio raramente definia de maneira objetiva conceitos do seu pensamento. Citações dele e fontes de estudiosos de sua linha de pensamento revelam um amplo leque de sentidos que esse termo expressa. Noções convencionais de ritos como práticas religiosas caminham ao lado de normas de comportamento e etiqueta, além de instituições e práticas implementadas por figuras virtuosas do passado. Tendo em vista essas várias manifestações para os \""ritos\"" de Confúcio, volta-se a atenção para uma de suas várias origens, as tradições xamânicas, presentes nos primórdios da civilização chinesa. No decorrer da pesquisa, será identificado o aparecimento do xamanismo chinês e seu processo de transformações até chegar no modelo de \""ritos\"" estabelecido por Confúcio, através das fontes selecionadas e com apoio bibliográfico.",https://www.teses.usp.br/teses/disponiveis/8/8164/tde-29092021-161051/,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Andrade, Ugo Maia",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,O real que não é visto: xamanismo e relação no baixo Oiapoque (AP),2007,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Baixo Oiapoque||Fenomenologia||Lower Oiapoque river||Phenomenology||Redes de relações sociais||Relacionalism||Relacionismo||Shamanism||Social relationship networks||Xamanismo,Não informado pela instituição,por,"O presente trabalho aborda dinâmicas de relações sociais, inter e intra-comunitárias, geradas no campo do xamanismo e abrangendo duas qualidades de pessoas: as visíveis, ou \""humanos\"", e as invisíveis, \""não-humanos\"". O foco é tanto o xamanismo enquanto instituição ou \""filosofia indígena\"", quanto as redes de relações e dinâmicas sociais por ele geradas na região do Baixo Oiapoque (fronteira com a Guiana Francesa), envolvendo conjuntos de relações de reciprocidades múltiplas, como o intercâmbio ritual e a agressão simbólica entre os Karipuna, Galibi-Marworno, Palikur e não-índios das cidades de Oiapoque, Saint Georges (Guiana Francesa) e localidades adjacentes. O pensamento xamânico regional, combinando qualidades sensíveis a fim de predicar primariamente as pessoas invisíveis do cosmos, tem na percepção e na relação as peças principais de construção de mundo, donde decorre um ativo e fundamental relacionismo indígena",https://www.teses.usp.br/teses/disponiveis/8/8134/tde-27122022-161122/,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Soares, Debora Leonel",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Xamanismo e cosmovisão andina: um estudo sobre práticas de curanderismo Mochica expressas na cerâmica ritual,2015,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Andes||Andes||Archaeology||Arqueologia||Iconografia||Iconography||Moche||Mochica||Shamanism||Xamanismo,Não informado pela instituição,por,"Este trabalho propôs analisar a cerâmica ritual produzida pelos Mochica, sociedade que ocupou a costa norte peruana entre os séculos I e VIII d.C., com base em três eixos principais: o papel mediador de personagens geralmente entendidos como xamãs, ou sacerdotes; os rituais de sacrifício humano e os processos de verticalização do poder político; e as dinâmicas de transformação e suas implicações nas relações entre entes humanos e não humanos. Estes temas, observados na iconografia e morfologia dos artefatos estudados, orientaram o processo de identificação dos conjuntos cerâmicos selecionados para esta pesquisa. A análise pautou-se na identificação de atributos de personagens classificados como xamãs, curandeiros e sacerdotes, com o objetivo de problematizar a utilização de tais categorias no estudo da cultura material relacionada às práticas rituais Mochica. O debate sobre xamanismo foi inspirado pela teoria antropológica contemporânea que discute o \""multinaturalismo ameríndio\"". A reflexão centrou-se nos conceitos de transição, movimento e transformação, temas estruturantes das práticas xamânicas e organização sociocosmológica andina.",http://www.teses.usp.br/teses/disponiveis/71/71131/tde-12082015-164534/,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Montardo, Deise Lucy Oliveira",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Através do ""Mbaraka': música e xamanismo guarani.",2002,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,anthropology of music||antropologia da música||ethnology||ethnomusicology||etnologia||etnomusicologia||guarani||shamanism||xamanismo,Não informado pela instituição,por,"Este trabalho teve como foco central a música dos rituais xamanísticos realizada pelos índios Guarani Kaiová, do tronco lingüístico tupi-guarani. Os Guarani com seus três subgrupos têm no Brasil um total de cerca de 40.000 pessoas. A pesquisa de campo teve duração total de oito meses, durantes os quais residi na casa de meus informantes guarani kaiová, nhandeva e mbyá nas áreas Amambai e Pirajuy, no Estado do Mato Grosso do Sul, e Mbiguaçu e Morro dos Cavalos, no Estado de Santa Catarina. Apresento a narrativa da história de vida e da iniciação ao xamanismo da mulher que foi minha principal informante, Odúlia Mendes, chamando a atenção para como, tanto em sua vida como nos mitos de criação guarani, os cantos e as danças são o caminho através do qual ocorre a comunicação e o encontro com as divindades e com os criadores ancestrais e se viabiliza a continuidade da sobrevivência da Terra. Através da análise do material musical, das letras das canções e das coreografias do ritual exploro uma série de aspectos da teoria musical nativa, bem como identifico dois gêneros distintos, um relacionado à prece e outro à guerra. Na performance analisada a xamã que a conduz exorta os participantes a ouvir, no gênero que identifiquei estar relacionado à prece a ao sentimento de saudade. Enquanto ouvem, cantam e dançam há uma polifonia de vozes, da xamã, dos deuses, dos participantes, que vão se alternando enquanto é percorrido o caminho. O outro gênero é acompanhado por coreografias de luta, movimentos de ataque e defesa descritos pelos informantes como um treino de habilidade para formação de guerreiros. Os Guarani têm quinhentos anos de contato com o ""Ocidente"", e neste trabalho, através do estudo da música nos seus rituais cotidianos e comparando com dados de outros grupos indígenas e de outros continentes, verifica-se como as práticas rituais são constitutivas da sua cultura.",http://www.teses.usp.br/teses/disponiveis/8/8134/tde-11032003-152546/,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Alves, Jessica Martins",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Apropriações culturais das práticas xamânicas na contemporaneidade: um estudo dos ritos e significados da cura,2002,Pontifícia Universidade Católica de Campinas (PUC-CAMPINAS),PUC_CAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Xamanismo||Pluralidade religiosa||Religião como técnica||Cura alternativa||Intituto Cristão Filhos da Luz||Shamanism||Religious plurality||Religion as technique||Alternative cure,Não informado pela instituição,por,"Novas formas de afirmar o sagrado vêm se mostrando mais presentes no Brasil contemporâneo. É este o caso observado com o neoxamanismo, num cenário em que o religioso e o secular se reconfiguram de maneiras inéditas, mesclando-se práticas e saberes tradicionais com conteúdos novos, de forma a atender às demandas das sociedades ocidentais. O que orienta a questão central desta pesquisa é, a partir de um estudo de caso – o Instituto Cristão Filhos da Luz - problematizar como as práticas, conteúdos simbólicos e discursivos aí observados, ressignificam elementos do xamanismo ameríndio, com propósitos atuais. Para tanto, a metodologia parte de uma abordagem histórico-cultural do fenômeno religioso, que amparada nos fundamentos da Escola italiana de História das Religiões, investiga de que modo as matrizes americanas do xamanismo, ao serem apropriadas no plano discursivo e na ritualidade, produzem uma realidade simbólico-ritual capaz de criar soluções de cura para as patologias individuais e coletivas da mente, do corpo e da alma. Especificamente, a pesquisa se ampara no ferramental conceitual de Ernesto De Martino, procurando compreender comoo contexto ritualístico abordado, ao criar o que o autor define como um “regime protegido” de práticas mágicas estruturadas, funciona como um lugar de deshistorificação e reelaboração cultural, eficaz na resolução da “crise da presença”, que em traduziria o risco de perda do ser no mundo. No caso estudado, além das técnicas performáticas, será considerado o uso da ayahuasca, substância psicoativa capaz de induzir o estado de dissociação psíquica dos participantes do ritual e sua reconstituição em contexto simbólico, com eficácia na resolução de determinadas dores da existência humana.",http://repositorio.sis.puc-campinas.edu.br/xmlui/handle/123456789/16544||8405298354751571,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Oliveira, Yan Gabriel Souza de",http://lattes.cnpq.br/0141240752863164,"Noguera, Renato||Não informado pela instituição",http://lattes.cnpq.br/7589245190503189||Não informado pela instituição,"Noguera, Renato||Ramos, Pedro Hussak van Velthen||Carvalho e Faria, Filipe Ceppas de||Não informado pela instituição||Não informado pela instituição",http://lattes.cnpq.br/7589245190503189||http://lattes.cnpq.br/2002089262954285||http://lattes.cnpq.br/9172119452015896||Não informado pela instituição||Não informado pela instituição,"Xamanismo, ou, devir outro da filosofia. ensaios de recepção à contracolonialidade filosófica e à cosmopolítica xamânica imanentes em ‘ a queda do céu’",2019,Universidade Federal Rural do Rio de Janeiro (UFRRJ),UFRRJ,Brasil,Instituto de Ciências Humanas e Sociais,Programa de Pós-Graduação em Filosofia,Filosofia,openAccess,masterThesis,Filosofia ameríndia||A queda do céu||Davi Kopenawa||Xamanismo||Cosmopolítica||Contracolonialidade||Descolonização||Devir outro||Onirismo Especulativo||Perspectivismo Multinaturalista,Amerindian Phylosophy||The falling sky||Davi kopenawa||Shamanism||Cosmopolitcs||Countercoloniality||Decolonization||Becoming other||Speculative onirism||Multinaturalist perspectivism,por,"Minha pesquisa de mestrado perseguiu, incansavelmente, o objetivo de traçar uma leitura filosófico-receptiva do livro A Queda do Céu: palavras de um xamã yanomami, de Davi Kopenawa & Bruce Albert. Com dois objetivos principais: pôr à prova a possibilidade de considerarmos tal obra enquanto um ‘livro de filosofia ameríndia’ (apesar de estar assinado por um xamã yanomami e um antropólogo francês); e, simultaneamente, investigar o que esta consideração (ao se comprovar) poderia suscitar aos debates e à produção de conhecimento filosófico desenvolvidos nos circuitos universitários. Em suma, uma investigação sobre ‘como e porque’ parece fundamental para uma recepção filosófico-acadêmica dos enunciados xamânicos de Kopenawa, recentemente publicados. Ao longo dos mais de dois anos de desenvolvimento da pesquisa e, sobretudo, com o processo de redação desta dissertação, fomos levados a caminhos diversos e imprevisíveis de leitura e reflexão, explicados na Introdução. Neste resumo, creio ser válido, apenas, frisar alguns pontos: lançamos mão de uma estratégia dialógica multipolarizada, criando e testando alianças conceituais com os mais diversos autores, filosóficos ou não, ameríndios ou não. Desde o início, entre os referenciais mais importantes, estavam os antropólogos Eduardo Viveiros de Castro e Tânia Stolze de Lima, devido ao conceito, por eles cunhado, de perspectivismo multinaturalista. Posto que o nosso caminho hipotético chave fosse o da investigação sobre, até que ponto, a obra de Kopenawa & Albert apresenta-nos uma explicação praxológica e autônoma da teoria que aquele conceito evocava, e que acabou por complexificá-la ainda mais. No que tange mais diretamente à disciplina filosófica, mantemos um íntimo e ambíguo relacionamento com as obras de Deleuze & Guattari e com a concepção que estes autores apresentaram do que caracteriza a Filosofia – além do conceito de “cosmopolítica”, cunhado por Isabelle Stengers e ressignificado complexamente pela “crítica xamânica da economia política da natureza”, imanente à nossa obra central. E, paralelamente, com pensadores latino-americanos contemporâneos que apontam para a urgência de uma descolonização epistêmica das práticas e dos saberes filosóficos. Nesse ponto, nossa referência conceitual mais importante foi, sem dúvidas, o autor e mestre quilombola Antônio Bispo dos Santos, sua teoria da Contracolonialidade e sua sugestão acerca de uma distinção conceitual entre Contracolonialidade e Descolonização, que procuramos desenvolver. Por fim, não menos importante, ao formularmos hipoteticamente um campo do conhecimento que identificamos como aquele das Filosofias Contracolonialistas, fez-se necessário um diálogo mais direto entre o xamanismo yanomami, pesquisado em A Queda do Céu, com outras tradições contracoloniais; o fizemos, sobretudo, a partir da “ciência encantada das macumbas”, apresentada e analisada por Simas & Rufino, em outra obra recente",https://rima.ufrrj.br/jspui/handle/20.500.14407/13501,Não informado pela instituição,Não informado pela instituição,"OLIVEIRA, Yan Gabriel Souza de. Xamanismo, ou, devir outro da filosofia. ensaios de recepção à contracolonialidade filosófica e à cosmopolítica xamânica imanentes em ‘ a queda do céu’. 2019.219 f. Dissertação (Mestrado em Filosofia) - Instituto de Ciências Humanas e Sociais, Universidade Federal Rural do Rio de Janeiro, Rio de Janeiro, 2019."
