Amostra;Label;DBPEDIA_Thesis;URI
;;dbpedia;
1;PNLD;thesis;lei_1063903_a_representacao_da_africa_e_dos_afrodescendentes_nos_livros_didaticos_de_geografia_no_brasil_20052014
1;PNLD;thesis;a_arte_indigena_para_alem_dos_cliches_por_novas_abordagens_nas_aulas_de_arte
1;PNLD;thesis;entre_a_realidade_e_o_imaginario__as_representacoes_de_indigenas_na_sala_de_aula_e_nos_livros_didaticos
1;PNLD;thesis;a_representacao_da_identidade_negra_no_livro_didatico_de_espanhol_do_ensino_fundamental_ii
1;PNLD;thesis;leitura_critica_de_um_livro_didatico_de_lingua_portuguesa__reflexoes_sobre_aspectos_coloniais_em_autorias_de_textos
1;Programa Nacional do Livro Didático;thesis;nos_meandros_do_reconhecimento_a_tematica_indigena_em_livros_didaticos_de_historia_no_contexto_de_implementacao_da_lei_1164508_20082014
1;Programa Nacional do Livro Didático;thesis;os_territorios_indigenas_na_producao_didatica_de_geografia_do_brasil
1;Programa Nacional do Livro Didático;thesis;pretunhol_representacao_negra_em_livros_didaticos_de_espanhol
1;Programa Nacional do Livro Didático;thesis;a_representacao_da_identidade_negra_no_livro_didatico_de_espanhol_do_ensino_fundamental_ii
1;Programa Nacional do Livro Didático;thesis;historia_e_cultura_afrobrasileira_e_africana_nos_livros_didaticos_de_historia_indicados_pelo_programa_nacional_do_livro_didatico_pnld2013
2;Racionais MC’s;thesis;a_musica_e_o_cordel_como_recursos_didaticos_na_abordagem_do_racismo_no_ensino_de_sociologia
2;Racionais MC’s;thesis;os_atravessamentos_dos_corpos_em_homem_na_estrada_negro_drama_e_diario_de_um_detento
2;Racionais MC’s;thesis;movimento_hip_hop_paulistano_a_producao_artistica_dos_racionais_mcs
;IBGE;;a_dimensao_subjetiva_da_desigualdade_racial_significacoes_de_posgraduandos_negros_sobre_o_percurso_escolar_ate_o_doutorado
;;;
##### ;Os dados de NER para ORG estão muito ruins, e não vale a pena continuar a anotacao.;;
